Cod_setor;Situacao_setor;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;V256;V257;V258;V259;V260;V261;V262;V263;V264;V265;V266;V267;V268;V269;V270;V271;V272;V273;V274;V275;V276;V277;V278;V279;V280;V281;V282;V283;V284;V285;V286;V287;V288;V289;V290;V291;V292;V293;V294;V295;V296;V297;V298;V299;V300;V301;V302;V303;V304;V305;V306;V307;V308;V309;V310;V311;V312;V313;V314;V315;V316;V317;V318;V319;V320;V321;V322;V323;V324;V325;V326;V327;V328;V329;V330;V331;V332;V333;V334;V335;V336;V337;V338;V339;V340;V341;V342;V343;V344;V345;V346;V347;V348;V349;V350;V351;V352;V353;V354;V355;V356;V357;V358;V359;V360;V361;V362;V363;V364;V365;V366;V367;V368;V369;V370;V371;V372;V373;V374;V375;V376;V377;V378;V379;V380;V381;V382;V383;V384;V385;V386;V387;V388;V389;V390;V391;V392;V393;V394;V395;V396;V397;V398;V399;V400;V401;V402;V403;V404;V405;V406;V407;V408;V409;V410;V411;V412;V413;V414;V415;V416;V417;V418;V419;V420;V421
240010905000001;1;78;8;1;0;0;0;84;2;1;0;0;0;39;47;0;1;0;0;31;55;0;1;0;0;39;47;0;1;0;0;0;86;0;1;0;0;0;86;0;1;0;0;84;2;1;0;0;0;0;86;0;1;0;0;0;86;0;1;0;0;10;1;32;3;28;2;6;1;1;0;2;1;10;1;35;0;29;1;7;0;1;0;3;0;3;8;14;21;17;13;3;4;1;0;1;2;2;9;9;26;16;14;3;4;1;0;0;3;3;8;14;21;17;13;3;4;1;0;1;2;0;11;0;35;0;30;0;7;0;1;0;3;0;11;0;35;0;30;0;7;0;1;0;3;10;1;35;0;29;1;7;0;1;0;3;0;0;11;0;35;0;30;0;7;0;1;0;3;0;11;0;35;0;30;0;7;0;1;0;3;46;4;33;4;48;2;37;0;25;25;14;23;19;31;12;25;25;25;14;23;0;50;0;37;0;50;0;37;48;2;37;0;0;50;0;37;0;50;0;37
240010905000002;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240010905000003;1;47;175;2;5;0;0;221;1;7;0;0;0;198;24;4;3;0;0;194;28;4;3;0;0;198;24;4;3;0;0;29;193;2;5;0;0;8;214;0;7;0;0;207;15;4;3;0;0;0;222;0;7;0;0;0;222;0;7;0;0;6;25;17;49;9;55;6;21;1;2;10;28;31;0;66;0;63;1;27;0;3;0;38;0;26;5;57;9;58;6;26;1;3;0;32;6;26;5;55;11;57;7;26;1;3;0;31;7;26;5;57;9;58;6;26;1;3;0;32;6;3;28;5;61;10;54;10;17;2;1;1;37;3;28;1;65;3;61;0;27;0;3;1;37;28;3;60;6;61;3;25;2;3;0;34;4;0;31;0;66;0;64;0;27;0;3;0;38;0;31;0;66;0;64;0;27;0;3;0;38;22;106;27;74;127;1;101;0;118;10;84;17;115;13;83;18;118;10;84;17;18;110;13;88;1;127;7;94;117;11;94;7;0;128;0;101;0;128;0;101
240010905000004;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
240010905000005;1;56;44;17;12;0;0;92;8;29;0;0;0;62;38;1;28;0;0;74;26;12;17;0;0;60;40;1;28;0;0;3;97;0;29;0;0;0;100;0;29;0;0;97;3;29;0;0;0;0;100;0;29;0;0;0;100;0;29;0;0;2;5;19;9;25;17;16;16;10;9;1;0;6;1;28;0;40;2;30;2;16;3;1;0;6;1;8;20;20;22;20;12;9;10;0;1;5;2;14;14;29;13;26;6;11;8;1;0;5;2;8;20;19;23;20;12;9;10;0;1;0;7;1;27;1;41;0;32;1;18;0;1;0;7;0;28;0;42;0;32;0;19;0;1;7;0;27;1;41;1;32;0;18;1;1;0;0;7;0;28;0;42;0;32;0;19;0;1;0;7;0;28;0;42;0;32;0;19;0;1;44;41;29;15;79;6;42;2;42;43;21;23;53;32;33;11;41;44;20;24;1;84;2;42;0;85;0;44;82;3;44;0;0;85;0;44;0;85;0;44
240010905000006;1;186;76;1;1;0;0;260;2;2;0;0;0;252;10;2;0;0;0;244;18;1;1;0;0;248;14;2;0;0;0;0;262;0;2;0;0;15;247;0;2;0;0;227;35;1;1;0;0;0;262;0;2;0;0;0;262;0;2;0;0;7;7;27;20;60;19;55;22;36;9;2;0;13;1;46;1;79;0;77;0;45;0;2;0;13;1;46;1;75;4;75;2;45;0;0;2;13;1;42;5;71;8;74;3;45;0;0;2;13;1;45;2;73;6;74;3;45;0;0;2;0;14;0;47;0;79;0;77;0;45;0;2;0;14;1;46;4;75;5;72;5;40;0;2;11;3;34;13;71;8;70;7;41;4;1;1;0;14;0;47;0;79;0;77;0;45;0;2;0;14;0;47;0;79;0;77;0;45;0;2;90;38;97;39;128;0;134;2;123;5;131;5;121;7;124;12;123;5;127;9;0;128;0;136;6;122;9;127;115;13;113;23;0;128;0;136;0;128;0;136
240010905000007;1;153;63;17;11;0;0;214;2;27;1;0;0;62;154;2;26;0;0;61;155;3;25;0;0;65;151;3;25;0;0;0;216;0;28;0;0;0;216;0;28;0;0;207;9;21;7;0;0;0;216;0;28;0;0;0;216;0;28;0;0;32;11;62;26;57;30;10;2;1;1;8;4;42;1;87;1;86;1;12;0;2;0;12;0;7;36;25;63;25;62;3;9;0;2;4;8;10;33;23;65;24;63;3;9;0;2;4;8;8;35;26;62;27;60;3;9;0;2;4;8;0;43;0;88;0;87;0;12;0;2;0;12;0;43;0;88;0;87;0;12;0;2;0;12;40;3;84;4;80;7;12;0;2;0;10;2;0;43;0;88;0;87;0;12;0;2;0;12;0;43;0;88;0;87;0;12;0;2;0;12;107;45;63;29;149;3;92;0;41;111;23;69;40;112;24;68;44;108;24;68;0;152;0;92;0;152;0;92;140;12;88;4;0;152;0;92;0;152;0;92
240010905000008;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240010905000009;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240010905000010;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
