Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;
240010905000001;1;95;0;0;0;3;0;1;2;3;2;4;1;0;3;3;1;2;1;2;2;3;6;7;2;4;3;2;1;2;2;1;0;1;3;0;0;1;0;1;2;1;2;0;2;1;0;0;0;0;1;2;1;0;2;2;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;40;2;32;0;11;2;5;0;116;0;2;3;2;2;0;3;1;4;1;1;3;3;2;2;4;2;1;4;2;3;3;2;2;5;3;2;7;2;0;0;1;2;2;1;2;1;0;1;2;1;3;1;1;2;0;2;0;1;1;4;4;2;0;1;0;0;0;0;3;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;2;23;42;31;1;7;1;1;1
240010905000002;2;201;4;3;7;3;3;7;5;4;6;7;4;6;7;7;4;3;5;6;3;6;8;4;1;6;8;3;4;5;4;4;2;0;3;3;4;3;5;3;3;1;2;2;2;1;1;2;1;2;1;0;0;1;0;2;2;1;1;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;1;0;1;75;2;75;1;20;4;4;0;237;2;2;4;7;6;6;6;4;3;9;9;4;7;5;5;1;7;7;8;7;6;7;4;3;5;6;3;4;5;4;4;4;3;4;5;4;3;3;2;5;4;6;5;3;0;2;2;1;1;1;2;1;1;1;0;1;0;2;0;1;1;1;0;0;2;1;1;0;0;0;0;2;0;0;1;1;22;92;76;1;11;3;10;0
240010905000003;1;293;0;2;6;3;5;4;7;10;7;8;4;9;11;6;8;6;13;9;3;8;8;9;9;5;4;4;8;5;2;6;3;6;8;3;2;4;1;5;10;4;1;4;0;3;4;3;2;3;3;2;1;3;1;1;1;4;3;3;2;1;0;1;1;1;1;3;0;0;1;0;1;0;0;0;0;4;90;23;121;0;26;5;9;0;334;0;2;2;8;6;4;6;10;6;7;6;10;11;6;9;2;8;9;8;6;2;8;5;7;7;4;3;5;6;7;5;7;9;5;6;3;7;5;3;7;7;4;3;2;11;1;1;3;3;5;2;1;4;4;2;4;4;4;1;3;3;0;2;2;1;2;2;2;2;1;4;2;1;0;0;4;82;85;99;5;12;6;15;0
240010905000004;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
240010905000005;1;164;0;0;2;2;2;1;2;2;5;5;1;6;3;6;4;4;3;1;3;2;3;3;2;1;4;6;3;2;3;2;0;7;4;2;4;4;3;4;3;5;3;2;2;6;2;3;1;1;1;1;1;1;2;0;2;0;1;2;1;0;0;1;1;1;1;4;3;0;0;1;0;0;0;0;0;1;77;19;53;0;5;3;1;0;193;1;0;2;6;1;6;5;4;6;4;5;3;4;3;1;3;3;7;1;1;5;5;3;5;5;4;0;1;4;4;4;3;7;1;4;4;3;5;7;2;2;1;1;3;0;1;4;1;2;3;5;1;4;2;2;0;1;2;1;2;2;2;0;2;0;0;0;1;1;2;2;0;1;0;0;0;40;77;59;0;5;0;2;0
240010905000006;1;274;2;1;0;5;5;5;3;6;3;7;5;4;5;8;5;7;3;7;3;5;5;3;5;8;4;2;7;5;3;2;5;3;5;5;3;2;5;4;3;4;5;9;3;3;1;6;2;4;3;2;4;2;1;5;4;4;1;3;1;0;2;2;1;2;0;3;5;4;2;0;2;0;3;2;1;10;118;26;77;2;14;10;10;0;390;4;3;3;4;4;4;6;7;2;6;3;4;5;4;6;7;2;7;10;9;5;7;6;7;4;10;6;7;1;4;4;7;6;7;4;2;1;3;4;7;11;4;7;7;5;4;3;4;7;3;4;8;4;6;4;7;2;5;4;2;8;3;3;7;6;3;6;5;1;2;3;6;6;1;1;26;132;100;92;6;12;8;13;0
240010905000007;1;255;0;5;3;1;10;4;3;5;4;7;3;6;9;6;6;6;6;8;7;8;13;8;5;5;11;5;8;9;6;5;3;6;3;6;5;4;4;0;2;3;2;5;4;1;2;1;1;1;2;2;0;0;2;2;2;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;3;98;20;96;1;6;6;7;2;313;2;4;10;7;9;17;2;5;8;6;4;6;5;8;7;6;9;13;3;8;5;13;12;8;5;6;6;8;7;2;6;2;6;3;5;2;0;3;4;3;2;3;2;3;4;0;1;3;5;3;3;2;1;3;2;3;1;3;3;3;1;1;3;0;1;0;1;3;1;2;0;1;0;0;1;3;69;96;87;5;11;4;8;1
240010905000008;8;221;3;7;5;8;1;6;4;4;4;1;1;4;5;3;4;4;2;4;4;4;2;7;4;5;8;7;5;8;8;2;5;2;7;6;1;2;0;3;3;2;5;0;2;1;3;2;1;3;4;2;3;1;5;0;2;2;2;2;2;1;2;2;1;0;1;1;1;0;0;1;2;0;0;0;0;2;99;3;79;0;3;0;7;1;203;3;2;5;3;2;5;2;6;3;3;3;4;7;5;2;2;3;3;4;2;6;4;10;6;6;8;6;2;2;1;4;2;3;2;2;2;0;2;2;3;3;1;4;2;4;5;2;3;2;3;2;1;6;0;2;1;3;2;1;2;3;0;1;2;1;0;0;0;1;1;0;0;0;1;1;1;11;107;52;2;5;2;8;0
240010905000009;8;117;0;0;1;1;4;2;1;3;0;3;7;0;4;2;0;3;4;1;0;7;6;1;3;7;4;4;1;2;1;3;0;1;1;2;1;4;1;0;1;3;1;2;0;4;1;0;0;1;1;1;2;1;1;0;1;2;2;2;0;0;1;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;52;6;37;1;4;0;8;0;132;2;0;1;2;6;1;1;5;2;4;3;3;8;3;3;2;2;4;2;4;1;3;2;3;2;2;1;5;2;4;2;7;2;3;3;0;1;0;0;0;4;3;2;1;0;0;1;1;6;3;0;1;1;0;2;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;9;62;37;2;6;0;3;0
240010905000010;5;120;0;1;2;3;2;2;2;3;1;5;2;7;3;2;5;6;6;4;5;1;2;2;3;1;0;2;3;0;0;4;0;1;1;1;2;3;0;3;2;4;2;1;4;2;0;1;1;1;0;3;3;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37;6;60;0;5;2;2;0;130;0;0;0;1;0;1;2;5;2;2;3;4;4;3;4;5;4;1;3;3;5;2;3;3;3;3;3;4;1;1;1;1;1;4;1;4;0;5;2;2;0;2;0;4;1;1;1;1;3;3;3;0;3;1;1;1;3;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;17;40;60;2;4;1;5;0
