Cod_setor;Situacao_setor;V001;V002;V003
240010905000001;1;40;0;0
240010905000002;2;114;0;0
240010905000003;1;102;0;0
240010905000004;1;41;"X";"X"
240010905000005;1;70;0;0
240010905000006;1;90;0;0
240010905000007;1;154;0;0
240010905000008;8;88;0;0
240010905000009;8;65;0;0
240010905000010;5;28;0;0
240010905000011;5;44;0;0
240010905000012;8;138;0;0
240010905000013;1;83;0;0
240010905000014;1;15;0;0
240010905000015;1;55;"X";"X"
240010905000016;1;60;0;0
240010905000017;1;2;"X";"X"
240010905000018;1;40;0;0
240010905000019;1;9;0;0
240010905000020;1;41;0;0
240010905000021;1;78;0;0
240010905000022;1;3;"X";"X"
240010905000023;1;42;0;0
240010905000024;1;96;1;0
240010905000025;1;23;0;0
240010905000026;1;48;0;0
240010905000027;1;85;0;0
240010905000028;1;16;0;0
240020805000001;1;187;1;0
240020805000002;1;86;1;0
240020805000003;1;108;0;0
240020805000004;1;113;0;0
240020805000005;1;131;2;0
240020805000006;1;123;0;0
240020805000007;1;207;0;0
240020805000008;1;170;0;1
240020805000009;1;128;0;0
240020805000010;1;136;3;0
240020805000011;1;128;0;0
240020805000012;1;168;1;0
240020805000013;1;92;0;0
240020805000014;1;186;0;1
240020805000015;1;156;0;0
240020805000016;1;205;0;0
240020805000017;1;190;2;0
240020805000018;1;262;0;0
240020805000019;1;132;0;0
240020805000020;1;144;0;0
240020805000021;1;250;2;0
240020805000022;1;137;0;0
240020805000023;1;187;0;1
240020805000024;1;120;0;0
240020805000025;1;147;0;2
240020805000026;1;77;0;0
240020805000027;1;248;0;0
240020805000028;1;179;2;0
240020805000029;1;184;0;0
240020805000030;5;79;0;0
240020805000031;7;33;0;1
240020805000032;8;74;0;0
240020805000033;8;232;0;3
240020805000034;5;131;0;0
240020805000035;5;40;0;0
240020805000036;8;89;0;0
240020805000037;7;151;0;0
240020805000038;8;126;0;0
240020805000039;8;121;1;0
240020805000040;8;67;1;0
240020805000041;4;68;1;0
240020805000042;4;81;0;0
240020805000043;4;135;0;0
240020805000044;4;61;2;0
240020805000045;4;105;0;0
240020805000046;5;99;1;0
240020805000047;5;113;0;0
240020805000048;8;129;2;0
240020805000049;7;115;0;1
240020805000050;8;123;1;0
240020805000051;8;1;"X";"X"
240020805000052;5;55;0;0
240020805000053;7;17;"X";"X"
240020805000054;7;44;1;0
240020805000055;8;73;1;3
240020805000056;7;78;0;0
240020805000057;7;84;0;0
240020805000058;5;141;2;0
240020805000059;1;156;1;0
240020805000060;1;145;2;0
240020805000061;1;197;1;0
240020805000062;1;116;0;0
240020805000063;1;40;0;0
240020805000064;1;233;0;0
240020805000065;1;206;0;0
240020805000066;1;146;0;0
240020805000067;1;338;2;0
240020805000068;1;53;2;1
240020805000069;1;89;0;0
240020805000070;1;285;0;0
240020805000071;1;210;0;0
240020805000072;7;9;0;0
240030705000001;1;102;0;0
240030705000002;1;132;0;0
240030705000003;1;154;2;0
240030705000004;1;51;0;1
240030705000005;1;95;0;0
240030705000006;8;169;0;0
240030705000007;5;65;0;0
240030705000008;8;224;0;0
240030705000009;7;70;0;0
240030705000010;8;32;0;0
240030705000011;7;57;0;0
240030705000012;7;89;0;0
240030705000013;7;63;0;0
240030705000014;1;54;0;0
240030705000015;1;110;0;0
240030705000016;1;122;0;0
240030705000017;7;59;1;0
240030705000018;7;90;1;0
240030705000019;1;39;0;0
240030705000020;1;192;0;0
240030705000021;8;132;0;0
240040605000001;1;162;1;0
240040605000002;8;169;0;0
240040605000003;1;145;1;0
240040605000004;8;33;0;0
240050505000001;1;108;0;0
240050505000002;1;95;0;0
240050505000003;1;127;0;0
240050505000004;1;85;0;0
240050505000005;1;189;1;0
240050505000006;1;126;0;0
240050505000007;1;91;0;0
240050505000008;1;90;1;0
240050505000009;1;231;2;1
240050505000010;8;103;0;0
240050505000011;8;120;1;0
240050505000012;8;83;1;0
240050505000013;8;75;0;0
240050505000014;8;82;0;0
240050505000015;8;122;0;0
240050505000016;1;148;0;0
240050505000017;1;66;0;0
240050505000018;1;134;0;0
240050505000019;1;52;0;0
240050505000020;8;136;2;0
240060405000001;1;186;0;0
240060405000002;1;128;0;0
240060405000003;1;192;0;0
240060405000004;8;72;0;0
240060405000005;8;88;0;0
240060405000006;8;77;0;0
240060405000007;1;75;0;0
240070305000001;1;107;2;0
240070305000002;1;368;0;0
240070305000003;1;126;1;0
240070305000004;1;71;0;0
240070305000005;1;113;1;0
240070305000006;8;96;0;0
240070305000007;5;106;0;0
240070305000008;8;253;4;0
240070305000009;5;64;0;0
240070305000010;8;103;0;0
240070305000011;1;145;5;0
240070305000012;1;201;0;0
240070305000013;1;209;1;0
240070305000014;1;89;0;0
240070305000015;1;66;0;0
240070305000016;8;4;0;0
240070305000017;5;30;0;0
240070305000018;1;96;0;0
240080205000001;1;88;0;1
240080205000002;1;148;0;0
240080205000003;1;59;0;0
240080205000004;1;98;0;0
240080205000005;1;164;0;0
240080205000006;1;257;0;0
240080205000007;1;132;0;0
240080205000008;1;165;0;0
240080205000009;1;143;0;0
240080205000010;8;123;0;0
240080205000011;8;22;0;0
240080205000012;8;80;0;0
240080205000013;1;107;0;0
240080205000014;1;136;0;0
240080205000015;1;218;0;3
240090105000001;1;204;0;0
240090105000002;1;163;1;0
240090105000003;1;128;1;0
240090105000004;8;140;0;0
240090105000005;8;95;0;0
240090105000006;8;47;0;0
240090105000007;8;46;0;0
240090105000008;8;135;0;0
240090105000009;8;63;0;0
240090105000010;1;104;1;0
240090105000011;1;69;0;0
240100805000001;1;92;0;0
240100805000002;1;121;3;0
240100805000003;1;149;0;0
240100805000004;1;100;0;0
240100805000005;1;135;1;0
240100805000006;1;172;0;0
240100805000007;1;205;1;0
240100805000008;1;141;0;0
240100805000009;1;147;0;0
240100805000010;1;212;0;0
240100805000011;1;83;0;1
240100805000012;1;207;0;0
240100805000013;1;173;0;0
240100805000014;1;140;0;0
240100805000015;8;240;0;0
240100805000016;8;60;0;0
240100805000017;8;49;0;0
240100805000018;8;87;0;0
240100805000019;8;165;0;0
240100805000020;8;73;0;0
240100805000021;8;84;0;0
240100805000022;8;143;0;0
240100805000023;8;110;0;0
240100805000024;8;41;1;0
240100805000025;8;58;0;0
240100805000026;8;102;0;0
240100805000027;5;88;0;0
240100805000028;7;41;0;0
240100805000029;8;151;0;0
240100805000030;5;20;0;0
240100805000031;7;31;0;0
240100805000032;7;45;0;0
240100805000033;1;142;0;0
240100805000034;1;86;0;0
240100805000035;1;97;0;0
240100805000036;1;95;0;0
240100805000037;8;123;0;0
240100805000038;8;46;0;0
240100805000039;8;44;0;0
240100805000040;8;75;0;0
240100805000041;8;77;0;0
240100805000042;8;53;0;0
240100805000043;8;136;0;0
240100805000044;8;109;0;0
240100805000045;8;161;0;0
240100805000046;8;67;0;0
240100805000047;8;72;0;0
240100805000048;5;104;0;0
240100805000049;8;90;0;0
240100805000050;8;66;0;0
240110705000001;1;175;1;0
240110705000002;1;195;0;0
240110705000003;1;95;0;0
240110705000004;1;144;0;0
240110705000005;1;74;0;0
240110705000006;1;123;0;0
240110705000007;1;143;0;0
240110705000008;1;84;0;0
240110705000009;1;181;1;0
240110705000010;1;113;8;0
240110705000011;1;202;1;0
240110705000012;1;180;2;0
240110705000013;1;80;1;0
240110705000014;1;175;0;0
240110705000015;1;198;0;0
240110705000016;5;100;0;0
240110705000017;5;115;1;0
240110705000018;5;117;0;0
240110705000019;8;73;1;0
240110705000020;8;1;"X";"X"
240110705000021;8;57;0;0
240110705000022;5;65;1;0
240110705000023;7;56;0;0
240110705000024;7;25;0;0
240110705000025;8;47;0;0
240110705000026;1;148;1;0
240110705000027;1;91;1;0
240110705000028;1;86;0;0
240110705000029;1;126;1;0
240110705000030;1;294;3;0
240110705000031;1;317;0;0
240110705000032;1;68;1;0
240110705000033;1;122;0;0
240110705000034;7;34;"X";"X"
240110705000035;8;131;1;1
240120605000001;1;89;0;0
240120605000002;1;107;0;0
240120605000003;1;186;4;0
240120605000004;1;152;0;0
240120605000005;1;222;1;0
240120605000006;1;266;0;0
240120605000007;4;87;3;0
240120605000008;6;8;0;0
240120605000009;8;148;0;0
240120605000010;8;103;0;0
240120605000011;5;163;0;0
240120605000012;8;117;0;0
240120605000013;4;187;1;1
240120605000014;1;99;0;0
240120605000015;1;61;0;0
240120605000016;1;227;4;0
240120605000017;1;114;0;0
240120605000018;4;96;1;0
240120605000019;8;74;0;1
240130505000001;1;117;0;0
240130505000002;1;68;1;0
240130505000003;1;102;0;0
240130505000004;1;174;2;0
240130505000005;8;78;0;0
240130505000006;8;122;0;0
240130505000007;8;108;0;0
240130505000008;8;164;0;0
240130505000009;8;78;0;0
240130505000010;8;44;0;0
240130505000011;8;76;0;1
