Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
240010905000001;1;13;90;21;4;3;0;0;0;0;106;2472;42982;17047;5410;5400;0;0;0;0;237;131;73311;6;46;11;1;0;0;0;0;0;46;1040;22750;8790;1300;0;0;0;0;0;110;64;33880;7;44;10;3;3;0;0;0;0;60;1432;20232;8257;4110;5400;0;0;0;0;127;67;39431;13;90;21;4;3;0;0;0;0;106;2472;42982;17047;5410;5400;0;0;0;0;237;131;73311;6;46;11;1;0;0;0;0;0;46;1040;22750;8790;1300;0;0;0;0;0;110;64;33880;7;44;10;3;3;0;0;0;0;60;1432;20232;8257;4110;5400;0;0;0;0;127;67;39431;
240010905000002;2;49;172;37;4;1;0;0;0;0;244;7312;82822;29944;4800;2200;0;0;0;0;507;263;127078;12;100;28;3;1;0;0;0;0;95;2355;47560;22915;3730;2200;0;0;0;0;239;144;78760;37;72;9;1;0;0;0;0;0;149;4957;35262;7029;1070;0;0;0;0;0;268;119;48318;49;172;37;4;1;0;0;0;0;244;7312;82822;29944;4800;2200;0;0;0;0;507;263;127078;12;100;28;3;1;0;0;0;0;95;2355;47560;22915;3730;2200;0;0;0;0;239;144;78760;37;72;9;1;0;0;0;0;0;149;4957;35262;7029;1070;0;0;0;0;0;268;119;48318;
240010905000003;1;32;206;73;18;5;2;1;0;1;383;4490;101011;60868;24426;10500;7500;7000;0;15000;721;338;230795;9;109;36;10;2;0;0;0;1;184;1603;53750;28854;13830;3800;0;0;0;15000;351;167;116837;23;97;37;8;3;2;1;0;0;199;2887;47261;32014;10596;6700;7500;7000;0;0;370;171;113958;32;206;73;18;5;2;1;0;1;383;4490;101011;60868;24426;10500;7500;7000;0;15000;721;338;230795;9;109;36;10;2;0;0;0;1;184;1603;53750;28854;13830;3800;0;0;0;15000;351;167;116837;23;97;37;8;3;2;1;0;0;199;2887;47261;32014;10596;6700;7500;7000;0;0;370;171;113958;
240010905000004;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
240010905000005;1;13;92;47;32;19;13;0;3;1;140;2093;44720;39507;41674;40960;50100;0;27000;15000;360;220;261054;4;51;26;20;14;9;0;2;1;44;840;25080;21767;26284;30949;34800;0;17000;15000;171;127;171720;9;41;21;12;5;4;0;1;0;96;1253;19640;17740;15390;10011;15300;0;10000;0;189;93;89334;13;92;47;32;19;13;0;3;1;140;2093;44720;39507;41674;40960;50100;0;27000;15000;360;220;261054;4;51;26;20;14;9;0;2;1;44;840;25080;21767;26284;30949;34800;0;17000;15000;171;127;171720;9;41;21;12;5;4;0;1;0;96;1253;19640;17740;15390;10011;15300;0;10000;0;189;93;89334;
240010905000006;1;35;205;97;45;37;34;2;6;3;201;6111;98286;83809;61469;73870;123270;13000;52000;43800;665;464;555615;12;84;44;18;19;20;1;3;1;78;2145;40170;37875;25030;38700;68970;7000;26000;12800;280;202;258690;23;121;53;27;18;14;1;3;2;123;3966;58116;45934;36439;35170;54300;6000;26000;31000;385;262;296925;35;205;97;45;37;34;2;6;3;201;6111;98286;83809;61469;73870;123270;13000;52000;43800;665;464;555615;12;84;44;18;19;20;1;3;1;78;2145;40170;37875;25030;38700;68970;7000;26000;12800;280;202;258690;23;121;53;27;18;14;1;3;2;123;3966;58116;45934;36439;35170;54300;6000;26000;31000;385;262;296925;
240010905000007;1;127;246;54;7;1;1;0;1;0;222;14826;117341;41096;8862;1800;5000;0;10000;0;659;437;198925;33;148;40;7;1;1;0;1;0;98;4246;70929;30106;8862;1800;5000;0;10000;0;329;231;130943;94;98;14;0;0;0;0;0;0;124;10580;46412;10990;0;0;0;0;0;0;330;206;67982;127;246;54;7;1;1;0;1;0;222;14826;117341;41096;8862;1800;5000;0;10000;0;659;437;198925;33;148;40;7;1;1;0;1;0;98;4246;70929;30106;8862;1800;5000;0;10000;0;329;231;130943;94;98;14;0;0;0;0;0;0;124;10580;46412;10990;0;0;0;0;0;0;330;206;67982;
240010905000008;8;81;186;48;6;4;0;0;0;0;176;9858;87560;35100;9010;8000;0;0;0;0;501;325;149528;20;131;40;6;4;0;0;0;0;81;3630;60360;28210;9010;8000;0;0;0;0;282;201;109210;61;55;8;0;0;0;0;0;0;95;6228;27200;6890;0;0;0;0;0;0;219;124;40318;81;186;48;6;4;0;0;0;0;176;9858;87560;35100;9010;8000;0;0;0;0;501;325;149528;20;131;40;6;4;0;0;0;0;81;3630;60360;28210;9010;8000;0;0;0;0;282;201;109210;61;55;8;0;0;0;0;0;0;95;6228;27200;6890;0;0;0;0;0;0;219;124;40318;
240010905000009;8;35;108;21;2;1;2;0;0;0;143;4947;49770;15770;2610;1900;9000;0;0;0;312;169;83997;11;81;19;2;1;1;0;0;0;53;2225;36950;13730;2610;1900;4000;0;0;0;168;115;61415;24;27;2;0;0;1;0;0;0;90;2722;12820;2040;0;0;5000;0;0;0;144;54;22582;35;107;21;2;1;2;0;0;0;142;4947;49440;15770;2610;1900;9000;0;0;0;310;168;83667;11;80;19;2;1;1;0;0;0;53;2225;36620;13730;2610;1900;4000;0;0;0;167;114;61085;24;27;2;0;0;1;0;0;0;89;2722;12820;2040;0;0;5000;0;0;0;143;54;22582;
240010905000010;5;39;66;15;2;7;3;0;0;0;127;5674;30620;12142;2700;14100;9000;0;0;0;259;132;74236;16;42;6;0;3;2;0;0;0;58;2850;19120;5320;0;5800;6000;0;0;0;127;69;39090;23;24;9;2;4;1;0;0;0;69;2824;11500;6822;2700;8300;3000;0;0;0;132;63;35146;39;65;15;2;7;3;0;0;0;126;5674;30110;12142;2700;14100;9000;0;0;0;257;131;73726;16;41;6;0;3;2;0;0;0;58;2850;18610;5320;0;5800;6000;0;0;0;126;68;38580;23;24;9;2;4;1;0;0;0;68;2824;11500;6822;2700;8300;3000;0;0;0;131;63;35146;
