Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
240010905000001;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;1;0;1;0;0;2;3;4;1;0;1;0;0;0;0;1;0;0;0;1;2;1;3;0;0;1;0;0;0;1;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;3;2;0;1;2;2;8;1;2;1;0;1
240010905000002;2;44;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;2;0;1;0;0;1;1;2;3;0;0;0;0;0;0;2;1;0;0;0;1;0;3;0;1;1;1;2;1;0;2;1;1;0;1;0;1;1;1;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;2;0;1;2;2;4;0;3;2;2;1;2;1
240010905000003;1;101;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;1;2;3;0;0;3;1;1;2;1;5;2;3;1;2;3;2;2;2;3;0;0;3;1;0;1;3;3;0;0;1;2;2;2;5;1;1;4;1;0;1;2;3;3;1;3;1;1;2;3;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;1;2;9;5;10;10;8;7;4;11;5;6;4;0
240010905000004;1;23;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
240010905000005;1;44;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2;1;0;1;2;0;2;1;0;1;1;0;0;0;2;1;2;2;4;1;0;1;2;0;0;2;1;1;1;1;0;2;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;1;0;3;3;6;2;7;8;3;3;2;2;0
240010905000006;1;136;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;0;2;3;5;1;0;0;1;0;0;3;1;1;0;0;1;0;2;5;2;4;2;2;1;3;0;2;2;4;4;1;4;2;3;1;4;2;1;5;3;2;5;3;1;3;5;0;1;4;6;4;1;1;1;0;3;4;1;3;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;132;0;1;1;9;7;5;3;15;7;14;11;18;10;15;16
240010905000007;1;92;0;0;0;0;0;0;0;0;2;0;2;0;1;0;1;0;0;4;2;0;2;2;3;2;1;4;2;1;0;3;1;0;3;2;1;1;2;3;3;3;0;1;1;4;1;1;2;1;1;1;3;1;0;1;3;0;0;3;1;1;1;1;1;2;1;0;2;0;1;1;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;2;4;6;9;9;6;9;7;3;4;4;3;2;1
240010905000008;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2;2;1;1;1;1;1;1;1;0;0;0
240010905000009;8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;1;1;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;2;0;0;2;0;2;2;0;0;0
240010905000010;5;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;2;0;1;0;2;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;1;1;1;0;2;2;2;4;3;0;0;0;1
240010905000011;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;1;0;1;0;0;0;0;0;1;0;0
240010905000012;8;26;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;0;1;1;0;1;1;0;2;1;3;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;0;0;1;1;3;0;2;4;0;0;2;1;1;0;0
240010905000013;1;50;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;2;1;0;0;0;1;1;1;2;1;0;0;1;0;2;1;0;0;0;2;1;0;1;1;1;3;2;2;1;0;1;1;4;0;1;0;1;0;2;0;0;0;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;32;0;1;0;2;1;4;3;3;2;0;4;3;5;1;3
240010905000014;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;2;0;3;0;0;0;0;3;1;1;1
240010905000015;1;49;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
