Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
240010905000001;1;4;56;15;3;1;0;0;0;0;8;850;26912;12692;4210;1800;0;0;0;0;87;79;46464;2;33;8;1;0;0;0;0;0;6;400;16290;6570;1300;0;0;0;0;0;50;44;24560;2;23;7;2;1;0;0;0;0;2;450;10622;6122;2910;1800;0;0;0;0;37;35;21904;4;56;15;3;1;0;0;0;0;8;850;26912;12692;4210;1800;0;0;0;0;87;79;46464;2;33;8;1;0;0;0;0;0;6;400;16290;6570;1300;0;0;0;0;0;50;44;24560;2;23;7;2;1;0;0;0;0;2;450;10622;6122;2910;1800;0;0;0;0;37;35;21904;
240010905000002;2;13;103;21;2;1;0;0;0;0;20;2256;50262;16345;2600;2200;0;0;0;0;160;140;73663;7;74;19;1;1;0;0;0;0;14;1505;35750;14675;1530;2200;0;0;0;0;116;102;55660;6;29;2;1;0;0;0;0;0;6;751;14512;1670;1070;0;0;0;0;0;44;38;18003;13;103;21;2;1;0;0;0;0;20;2256;50262;16345;2600;2200;0;0;0;0;160;140;73663;7;74;19;1;1;0;0;0;0;14;1505;35750;14675;1530;2200;0;0;0;0;116;102;55660;6;29;2;1;0;0;0;0;0;6;751;14512;1670;1070;0;0;0;0;0;44;38;18003;
240010905000003;1;9;98;47;11;4;0;1;0;1;58;1476;48706;39894;14960;8000;0;7000;0;15000;229;171;135036;1;61;24;6;2;0;0;0;1;33;200;30440;19664;8100;3800;0;0;0;15000;128;95;77204;8;37;23;5;2;0;1;0;0;25;1276;18266;20230;6860;4200;0;7000;0;0;101;76;57832;9;98;47;11;4;0;1;0;1;58;1476;48706;39894;14960;8000;0;7000;0;15000;229;171;135036;1;61;24;6;2;0;0;0;1;33;200;30440;19664;8100;3800;0;0;0;15000;128;95;77204;8;37;23;5;2;0;1;0;0;25;1276;18266;20230;6860;4200;0;7000;0;0;101;76;57832;
240010905000004;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
240010905000005;1;3;45;24;24;15;9;0;3;0;6;468;22520;20317;31014;32620;33300;0;27000;0;129;123;167239;1;29;17;17;12;6;0;2;0;1;250;14360;14007;21884;26609;20800;0;17000;0;85;84;114910;2;16;7;7;3;3;0;1;0;5;218;8160;6310;9130;6011;12500;0;10000;0;44;39;52329;3;45;24;24;15;9;0;3;0;6;468;22520;20317;31014;32620;33300;0;27000;0;129;123;167239;1;29;17;17;12;6;0;2;0;1;250;14360;14007;21884;26609;20800;0;17000;0;85;84;114910;2;16;7;7;3;3;0;1;0;5;218;8160;6310;9130;6011;12500;0;10000;0;44;39;52329;
240010905000006;1;9;106;51;25;22;25;1;5;3;17;1781;50726;44774;34304;43810;91370;7000;43000;43800;264;247;360565;2;46;25;13;13;18;1;2;1;7;450;21870;21860;18530;26200;63170;7000;17000;12800;128;121;188880;7;60;26;12;9;7;0;3;2;10;1331;28856;22914;15774;17610;28200;0;26000;31000;136;126;171685;9;106;51;25;22;25;1;5;3;17;1781;50726;44774;34304;43810;91370;7000;43000;43800;264;247;360565;2;46;25;13;13;18;1;2;1;7;450;21870;21860;18530;26200;63170;7000;17000;12800;128;121;188880;7;60;26;12;9;7;0;3;2;10;1331;28856;22914;15774;17610;28200;0;26000;31000;136;126;171685;
240010905000007;1;32;133;37;6;0;1;0;1;0;35;4715;63989;27842;7662;0;5000;0;10000;0;245;210;119208;8;89;27;6;0;1;0;1;0;21;1383;42809;19482;7662;0;5000;0;10000;0;153;132;86336;24;44;10;0;0;0;0;0;0;14;3332;21180;8360;0;0;0;0;0;0;92;78;32872;32;133;37;6;0;1;0;1;0;35;4715;63989;27842;7662;0;5000;0;10000;0;245;210;119208;8;89;27;6;0;1;0;1;0;21;1383;42809;19482;7662;0;5000;0;10000;0;153;132;86336;24;44;10;0;0;0;0;0;0;14;3332;21180;8360;0;0;0;0;0;0;92;78;32872;
240010905000008;8;14;98;40;6;3;0;0;0;0;11;2432;46270;29110;9010;6000;0;0;0;0;172;161;92822;9;92;37;6;3;0;0;0;0;10;1660;43680;26050;9010;6000;0;0;0;0;157;147;86400;5;6;3;0;0;0;0;0;0;1;772;2590;3060;0;0;0;0;0;0;15;14;6422;14;98;40;6;3;0;0;0;0;11;2432;46270;29110;9010;6000;0;0;0;0;172;161;92822;9;92;37;6;3;0;0;0;0;10;1660;43680;26050;9010;6000;0;0;0;0;157;147;86400;5;6;3;0;0;0;0;0;0;1;772;2590;3060;0;0;0;0;0;0;15;14;6422;
240010905000009;8;11;67;15;1;1;1;0;0;0;6;1847;31090;10700;1500;1900;4000;0;0;0;102;96;51037;7;56;15;1;1;1;0;0;0;5;1375;25640;10700;1500;1900;4000;0;0;0;86;81;45115;4;11;0;0;0;0;0;0;0;1;472;5450;0;0;0;0;0;0;0;16;15;5922;11;66;15;1;1;1;0;0;0;6;1847;30760;10700;1500;1900;4000;0;0;0;101;95;50707;7;55;15;1;1;1;0;0;0;5;1375;25310;10700;1500;1900;4000;0;0;0;85;80;44785;4;11;0;0;0;0;0;0;0;1;472;5450;0;0;0;0;0;0;0;16;15;5922;
240010905000010;5;12;30;8;0;5;3;0;0;0;6;2305;13230;6742;0;10100;9000;0;0;0;64;58;41377;7;26;5;0;3;2;0;0;0;3;1490;11190;4570;0;5800;6000;0;0;0;46;43;29050;5;4;3;0;2;1;0;0;0;3;815;2040;2172;0;4300;3000;0;0;0;18;15;12327;12;29;8;0;5;3;0;0;0;6;2305;12720;6742;0;10100;9000;0;0;0;63;57;40867;7;25;5;0;3;2;0;0;0;3;1490;10680;4570;0;5800;6000;0;0;0;45;42;28540;5;4;3;0;2;1;0;0;0;3;815;2040;2172;0;4300;3000;0;0;0;18;15;12327;
