Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
110001505000001;1;0;522231;522231;0;1;17;46;112;78;28;15;3;0;3;
110001505000002;1;0;406191;406191;0;7;13;45;104;65;19;7;1;0;3;
110001505000003;1;0;241587;241587;0;10;13;47;83;35;6;1;1;0;5;
110001505000004;1;0;88502;88502;0;0;7;24;26;17;2;1;0;0;7;
110001505000005;1;0;262860;262860;0;18;55;105;121;11;4;1;0;0;41;
110001505000006;1;1;264068;262968;1100;6;26;71;83;50;5;2;0;0;12;
110001505000007;1;0;274668;274668;0;4;21;52;105;41;3;1;0;0;3;
110001505000008;1;1;201844;201454;390;7;12;37;51;12;4;2;1;2;3;
110001505000009;1;0;474963;474963;0;5;16;37;74;57;14;16;4;1;5;
110001505000010;1;0;24863;24863;0;2;10;7;9;2;1;0;0;0;2;
110001505000011;1;0;460480;460480;0;0;10;44;93;68;19;13;4;0;4;
110001505000012;1;0;464233;464233;0;2;21;57;121;79;13;6;4;0;21;
110001505000013;1;0;598038;598038;0;4;18;76;149;76;26;12;9;1;11;
110001505000014;1;4;653553;649313;4240;3;19;53;106;61;23;7;5;3;9;
110001505000015;1;0;127032;127032;0;0;0;11;18;31;2;1;3;0;2;
110001505000016;1;0;353249;353249;0;2;5;15;40;63;17;16;4;0;6;
110001505000017;1;0;374746;374746;0;2;15;34;89;55;14;6;3;1;13;
110001505000018;1;0;506276;506276;0;4;7;41;84;57;16;18;11;1;7;
110001505000019;4;0;190278;190278;0;6;10;46;68;16;4;2;0;1;3;
110001505000020;8;2;126141;123841;2300;5;21;38;34;22;2;1;0;0;5;
110001505000021;8;0;30950;30950;0;0;5;6;14;5;1;0;0;0;0;
110001505000022;8;1;266114;265964;150;5;24;57;56;33;6;2;1;2;3;
110001505000023;8;0;120676;120676;0;14;12;26;40;14;4;1;0;1;7;
110001505000024;8;0;260513;260513;0;22;55;62;74;40;5;4;0;0;3;
110001505000025;8;0;91035;91035;0;6;10;34;31;12;0;2;0;0;0;
110001505000026;8;0;66683;66683;0;8;14;23;15;4;3;1;0;0;1;
110001505000027;8;0;163166;163166;0;6;17;38;53;15;0;3;1;1;7;
110001505000028;8;33;42758;31270;11488;13;11;20;15;4;0;1;0;0;17;
110001505000029;8;5;28167;25688;2479;5;5;8;10;7;1;0;0;0;1;
110001505000030;8;0;26549;26549;0;1;2;9;5;3;0;0;1;0;0;
110001505000031;8;0;175055;175055;0;19;19;28;50;20;2;1;1;1;3;
110001505000033;8;1;213066;212466;600;29;46;65;53;10;3;2;1;2;11;
110001515000001;2;2;32905;30961;1944;0;5;12;7;5;1;0;0;0;0;
110001515000002;8;0;125063;125063;0;9;27;32;28;18;2;2;1;0;5;
110001515000003;8;0;34981;34981;0;6;9;12;14;4;0;1;0;0;0;
110001520000001;1;6;77088;65564;11524;2;6;11;14;15;3;1;0;0;1;
110001520000004;8;1;175977;175467;510;6;37;55;55;14;2;1;1;0;4;
110001525000001;1;0;31784;31784;0;2;4;26;9;2;0;0;0;0;8;
110001525000002;8;0;24352;24352;0;22;14;11;0;0;0;0;0;0;9;
110001525000003;8;0;23986;23986;0;5;7;14;10;0;0;0;0;0;13;
110001525000004;8;0;31454;31454;0;1;6;6;11;2;0;1;0;0;8;
110001525000005;8;0;20252;20252;0;0;1;7;8;4;0;0;0;0;6;
110001525000006;8;0;87646;87646;0;3;3;9;9;2;3;0;0;1;7;
110001525000007;8;0;100161;100161;0;9;19;33;29;11;1;0;1;0;1;
110001530000001;1;0;92249;92249;0;3;16;34;23;8;1;0;0;0;11;
