Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;;
110001505000001;1;303;4;165;3;49;2;16;167;2;52;0;17;1;97;72;30;22;13;5;43;126;18;34;7;11;92;77;30;22;13;5;4;165;6;46;1;17;0;169;0;52;0;18;81;88;25;27;10;8;13;156;1;51;1;17;32;137;13;39;3;15;0;32;9;193;32;0;199;3;15;17;123;79;3;29;65;137;15;17;118;84;6;26;5;197;0;32;0;202;17;15;97;105;0;32;13;189;10;22;37;165;0;2;0;5;0;1;2;0;5;0;1;0;2;0;3;2;1;0;2;0;2;3;1;0;2;0;3;2;1;0;0;2;0;5;0;1;0;2;0;5;0;1;2;0;3;2;1;0;0;2;0;5;0;1;0;2;0;5;0;1;9;227;0;0;233;3;0;0;136;100;0;0;66;170;0;0;131;105;0;0;11;225;0;0;0;236;0;0;112;124;0;0;15;221;0;0;49;187;0;0;;
110001505000002;1;264;2;219;1;34;0;8;210;11;34;1;8;0;19;202;2;33;0;8;0;221;0;35;0;8;19;202;2;33;0;8;1;220;0;35;0;8;0;221;0;35;0;8;111;110;12;23;4;4;47;174;9;26;1;7;0;221;0;35;0;8;1;67;2;184;65;3;179;7;4;64;17;169;0;68;0;186;4;64;17;169;0;68;1;185;0;68;0;186;24;44;101;85;20;48;36;150;0;68;0;186;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;3;252;0;1;244;11;1;0;20;235;0;1;0;255;0;1;20;235;0;1;1;254;0;1;0;255;0;1;124;131;0;1;57;198;0;1;0;255;0;1;;
110001505000003;1;201;0;139;0;33;0;20;126;13;29;4;17;3;12;127;5;28;7;13;0;139;0;33;0;20;12;127;5;28;7;13;0;139;1;32;2;18;0;139;0;33;0;20;24;115;5;28;8;12;36;103;7;26;5;15;1;138;0;33;2;18;0;8;0;186;7;1;167;19;0;8;24;162;0;8;0;186;0;8;24;162;0;8;3;183;0;8;0;186;2;6;36;150;3;5;45;141;0;8;3;183;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;196;0;1;177;19;1;0;27;169;1;0;0;196;0;1;27;169;1;0;2;194;1;0;0;196;0;1;41;155;1;0;47;149;0;1;2;194;0;1;;
110001505000004;1;84;5;58;3;10;0;8;49;14;12;1;7;1;12;51;3;10;2;6;0;63;0;13;0;8;12;51;3;10;2;6;3;60;2;11;0;8;0;63;0;13;0;8;7;56;1;12;0;8;51;12;10;3;7;1;0;63;0;13;0;8;4;33;2;43;29;8;38;7;7;30;9;36;0;37;0;45;7;30;9;36;3;34;1;44;0;37;0;45;2;35;6;39;31;6;36;9;0;37;0;45;0;0;0;6;0;0;0;0;3;3;0;0;0;0;1;5;0;0;0;0;0;6;0;0;0;0;1;5;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;1;5;0;0;0;0;5;1;0;0;0;0;0;6;0;0;0;1;7;69;1;0;63;13;0;1;17;59;0;1;0;76;0;1;17;59;0;1;5;71;0;1;0;76;0;1;8;68;1;0;61;15;0;1;0;76;;
110001505000005;1;356;70;206;10;31;4;25;189;87;28;13;20;9;0;276;0;41;0;29;0;276;0;41;0;29;0;276;0;41;0;29;0;276;0;41;0;29;0;276;0;41;0;29;3;273;0;41;0;29;21;255;6;35;4;25;0;276;0;41;0;29;34;112;48;145;97;49;137;56;0;146;0;193;0;146;0;193;0;146;0;193;0;146;0;193;0;146;0;193;1;145;2;191;16;130;14;179;0;146;0;193;1;2;0;2;0;8;2;1;0;2;5;3;0;3;0;2;0;8;0;3;0;2;0;8;0;3;0;2;0;8;0;3;0;2;0;8;0;3;0;2;0;8;0;3;0;2;0;8;0;3;0;2;1;7;0;3;0;2;0;8;79;223;0;1;221;81;0;1;0;302;0;1;0;302;0;1;0;302;0;1;0;302;0;1;0;302;0;1;3;299;0;1;26;276;0;1;0;302;0;1;;
110001505000006;1;254;81;113;20;18;10;10;151;43;32;6;15;5;13;181;6;32;0;20;0;194;0;38;0;20;13;181;6;32;0;20;0;194;0;38;0;20;0;194;0;38;0;20;43;151;9;29;4;16;27;167;4;34;4;16;33;161;4;34;4;16;69;81;41;58;114;36;81;18;17;133;2;97;0;150;0;99;17;133;2;97;0;150;0;99;0;150;0;99;27;123;27;72;21;129;13;86;19;131;21;78;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;2;107;139;0;0;194;52;0;0;19;227;0;0;0;246;0;0;19;227;0;0;0;246;0;0;0;246;0;0;56;190;0;0;33;213;0;0;41;205;0;0;;
110001505000007;1;230;40;135;11;29;8;6;147;28;33;7;10;4;18;157;5;35;2;12;15;160;5;35;3;11;15;160;5;35;3;11;0;175;0;40;0;14;0;175;0;40;0;14;109;66;29;11;5;9;164;11;36;4;11;3;0;175;0;40;0;14;19;87;40;82;94;12;95;27;15;91;10;112;16;90;7;115;16;90;7;115;0;106;0;122;0;106;0;122;57;49;84;38;93;13;117;5;0;106;0;122;0;2;2;2;0;0;2;0;3;1;0;0;1;1;0;4;0;0;1;1;0;4;0;0;1;1;0;4;0;0;0;2;0;4;0;0;0;2;0;4;0;0;1;1;3;1;0;0;1;1;4;0;0;0;0;2;0;4;0;0;1;5;58;161;5;1;184;35;0;6;25;194;1;5;22;197;1;5;22;197;0;6;0;219;0;6;0;219;3;3;139;80;5;1;202;17;0;6;0;219;;
110001505000008;1;130;1;98;0;21;0;10;83;16;15;6;7;3;13;86;3;18;3;7;0;99;0;21;0;10;13;86;3;18;3;7;10;89;4;17;1;9;0;99;0;21;0;10;49;50;9;12;6;4;26;73;10;11;2;8;0;99;0;21;0;10;1;2;0;121;0;3;102;19;0;3;17;104;0;3;0;121;0;3;17;104;0;3;15;106;0;3;0;121;1;2;60;61;0;3;35;86;0;3;0;121;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;120;0;0;98;22;0;0;17;103;0;0;0;120;0;0;17;103;0;0;14;106;0;0;0;120;0;0;60;60;0;0;35;85;0;0;0;120;0;0;;
110001505000009;1;229;0;169;0;48;0;8;158;11;42;6;3;5;59;110;10;38;1;7;14;155;1;47;0;8;57;112;9;39;1;7;7;162;2;46;0;8;0;169;0;48;0;8;6;163;2;46;0;8;43;126;14;34;1;7;0;169;0;48;0;8;0;95;0;120;87;8;110;10;34;61;34;86;12;83;3;117;31;64;34;86;3;92;6;114;0;95;0;120;4;91;4;116;19;76;37;83;0;95;0;120;0;0;0;7;0;2;0;0;6;1;0;2;0;0;5;2;0;2;0;0;2;5;0;2;0;0;5;2;0;2;0;0;0;7;0;2;0;0;0;7;0;2;0;0;0;7;0;2;0;0;0;7;0;2;0;0;0;7;0;2;0;218;0;0;202;16;0;0;69;149;0;0;14;204;0;0;66;152;0;0;8;210;0;0;0;218;0;0;7;211;0;0;58;160;0;0;0;218;0;0;;
110001505000010;1;33;0;25;0;6;0;2;7;18;4;2;2;0;0;25;0;6;0;2;0;25;0;6;0;2;0;25;0;6;0;2;0;25;0;6;0;2;0;25;0;6;0;2;0;25;0;6;0;2;6;19;1;5;0;2;0;25;0;6;0;2;0;18;0;15;8;10;5;10;0;18;0;15;0;18;0;15;0;18;0;15;0;18;0;15;0;18;0;15;0;18;0;15;3;15;4;11;0;18;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;12;15;0;0;0;27;0;0;0;27;0;0;0;27;0;0;0;27;0;0;0;27;0;0;0;27;0;0;4;23;0;0;0;27;0;0;;
