Cod_setor;Situacao_setor;V843;V844;V845;V846;V847;V848;V849;V850;V851;V852;V853;V854;V855;V856;V857;V858;V859;V860;V861;V862;V863;V864;V865;V866;V867;V868;V869;V870;V871;V872;V873;V874;V875;V876;V877;V878;V879;V880;V881;V882;V883;V884;V885;V886;V887;V888;V889;V890;V891;V892;V893;V894;V895;V896;V897;V898;V899;V900;V901;V902;V903;V904;V905;V906;V907;V908;V909;V910;V911;V912;V913;V914;V915;V916;V917;V918;V919;V920;V921;V922;V923;V924;V925;V926;V927;V928;V929;V930;V931;V932;V933;V934;V935;V936;V937;V938;V939;V940;V941;V942;V943;V944;V945;V946;V947;V948;V949;V950;V951;V952;V953;V954;V955;V956;V957;V958;V959;V960;V961;V962;V963;V964;V965;V966;V967;V968;V969;V970;V971;V972;V973;V974;V975;V976;V977;V978;V979;V980;V981;V982;V983;V984;V985;V986;V987;V988;V989;V990;V991;V992;V993;V994;V995;V996;V997;V998;V999;V1000;V1001;V1002;V1003;V1004;V1005;V1006;V1007;V1008;V1009;V1010;V1011;V1012;V1013;V1014;V1015;V1016;V1017;V1018;V1019;V1020;V1021;V1022;V1023;V1024;V1025;V1026;V1027;V1028;V1029;V1030;V1031;V1032;V1033;V1034;V1035;V1036;V1037;V1038;V1039;V1040;V1041;V1042;V1043;V1044;V1045;V1046;V1047;V1048;V1049;V1050;V1051;V1052;V1053;V1054;V1055;V1056;V1057;V1058;V1059;V1060;V1061;V1062;;;;;;;;;;;;;;;
110001505000001;1;0;9;3;39;4;60;0;73;26;477;1;66;9;0;42;0;64;0;71;2;495;8;66;1;5;4;28;14;42;22;40;33;301;202;37;30;3;6;13;29;26;38;15;58;161;342;14;53;5;4;25;17;41;23;39;34;292;211;34;33;0;9;1;41;1;63;3;70;18;485;4;63;0;9;0;42;0;64;0;73;0;503;0;67;4;5;22;20;33;31;33;40;237;266;32;35;1;8;1;41;2;62;5;68;35;468;5;62;0;9;9;33;8;56;11;62;109;394;16;51;14;375;6;18;0;1;14;329;0;1;383;6;24;0;1;0;338;5;1;0;233;156;15;9;0;1;205;138;0;1;120;269;7;17;0;1;105;238;0;1;218;171;15;9;0;1;203;140;0;1;12;377;0;24;0;1;15;328;0;1;0;389;0;24;0;1;0;343;0;1;188;201;6;18;0;1;167;176;0;1;25;364;0;24;0;1;24;319;0;1;74;315;1;23;1;0;76;267;1;0;;;;;;;;;;;;;;;
110001505000002;1;0;12;0;38;1;76;2;83;7;569;0;71;12;0;36;2;74;3;77;8;552;24;69;2;0;12;3;35;9;68;6;79;41;535;8;63;0;12;0;38;0;77;0;85;0;576;0;71;0;12;3;35;9;68;6;79;41;535;8;63;0;12;0;38;0;77;1;84;0;576;2;69;0;12;0;38;0;77;0;85;0;576;0;71;4;8;21;17;31;46;44;41;300;276;26;45;3;9;7;31;17;60;17;68;127;449;17;54;0;12;0;38;0;77;0;85;0;576;0;71;7;391;0;57;0;0;3;401;0;0;386;12;47;10;0;0;387;17;0;0;27;371;6;51;0;0;34;370;0;0;0;398;0;57;0;0;0;404;0;0;27;371;6;51;0;0;34;370;0;0;0;398;0;57;0;0;3;401;0;0;0;398;0;57;0;0;0;404;0;0;210;188;25;32;0;0;191;213;0;0;83;315;6;51;0;0;99;305;0;0;0;398;0;57;0;0;0;404;0;0;;;;;;;;;;;;;;;
110001505000003;1;0;9;0;38;0;56;0;66;0;420;0;62;8;1;35;3;54;2;58;8;369;51;61;1;1;8;6;32;10;46;10;56;51;369;8;54;0;9;0;38;0;56;0;66;0;420;0;62;1;8;6;32;10;46;10;56;51;369;8;54;0;9;0;38;1;55;0;66;7;413;0;62;0;9;0;38;0;56;0;66;0;420;0;62;2;7;8;30;15;41;13;53;75;345;15;47;1;8;10;28;9;47;9;57;105;315;10;52;0;9;1;37;0;56;2;64;9;411;0;62;0;224;0;94;0;3;0;327;0;3;203;21;87;7;3;0;289;38;3;0;29;195;16;78;0;3;41;286;0;3;0;224;0;94;0;3;0;327;0;3;29;195;16;78;0;3;41;286;0;3;1;223;1;93;0;3;6;321;0;3;0;224;0;94;0;3;0;327;0;3;53;171;21;73;0;3;54;273;0;3;44;180;15;79;1;2;84;243;0;3;2;222;2;92;0;3;8;319;0;3;;;;;;;;;;;;;;;
110001505000004;1;1;4;2;14;1;16;3;24;23;152;0;26;4;1;13;3;13;4;22;5;146;29;23;3;1;4;4;12;2;15;4;23;37;138;5;21;0;5;0;16;0;17;0;27;0;175;0;26;1;4;4;12;2;15;4;23;37;138;5;21;0;5;2;14;1;16;1;26;15;160;0;26;0;5;0;16;0;17;0;27;0;175;0;26;1;4;0;16;1;16;3;24;17;158;4;22;4;1;11;5;15;2;23;4;139;36;21;5;0;5;0;16;0;17;0;27;0;175;0;26;20;81;2;16;0;4;8;129;0;6;77;24;13;5;4;0;121;16;6;0;31;70;2;16;0;4;19;118;1;5;0;101;0;18;0;4;0;137;0;6;31;70;2;16;0;4;19;118;1;5;13;88;1;17;0;4;5;132;0;6;0;101;0;18;0;4;0;137;0;6;16;85;1;17;0;4;8;129;1;5;71;30;16;2;4;0;117;20;5;1;0;101;0;18;0;4;0;137;0;6;;;;;;;;;;;;;;;
110001505000005;1;3;19;34;88;30;99;23;79;171;509;29;93;13;9;77;45;88;41;65;37;470;210;81;41;0;22;0;122;0;129;0;102;0;680;0;122;0;22;0;122;0;129;0;102;0;680;0;122;0;22;0;122;0;129;0;102;0;680;0;122;0;22;0;122;0;129;0;102;0;680;0;122;0;22;0;122;0;129;0;102;0;680;0;122;0;22;0;122;0;129;1;101;5;675;3;119;2;20;14;108;13;116;9;93;59;621;11;111;0;22;0;122;0;129;0;102;0;680;0;122;99;288;10;46;7;4;172;545;2;4;261;126;35;21;9;2;485;232;4;2;0;387;0;56;0;11;0;717;0;6;0;387;0;56;0;11;0;717;0;6;0;387;0;56;0;11;0;717;0;6;0;387;0;56;0;11;0;717;0;6;0;387;0;56;0;11;0;717;0;6;4;383;1;55;0;11;4;713;0;6;31;356;13;43;0;11;62;655;2;4;0;387;0;56;0;11;0;717;0;6;;;;;;;;;;;;;;;
110001505000006;1;5;7;15;38;27;42;31;47;231;296;32;40;11;1;36;17;55;14;58;20;413;114;60;12;0;12;1;52;8;61;4;74;41;486;6;66;0;12;0;53;0;69;0;78;0;527;0;72;0;12;1;52;8;61;4;74;41;486;6;66;0;12;0;53;0;69;0;78;0;527;0;72;0;12;0;53;0;69;0;78;0;527;0;72;6;6;13;40;20;49;18;60;111;416;16;56;2;10;8;45;7;62;8;70;76;451;10;62;2;10;12;41;16;53;12;66;83;444;16;56;132;174;10;38;0;6;193;252;6;0;257;49;29;19;5;1;336;109;6;0;18;288;1;47;0;6;41;404;0;6;0;306;0;48;0;6;0;445;0;6;18;288;1;47;0;6;41;404;0;6;0;306;0;48;0;6;0;445;0;6;0;306;0;48;0;6;0;445;0;6;85;221;5;43;1;5;90;355;3;3;48;258;6;42;0;6;57;388;0;6;52;254;4;44;1;5;81;364;3;3;;;;;;;;;;;;;;;
110001505000007;1;3;5;13;33;23;40;24;55;136;366;21;57;6;2;37;9;43;20;65;14;403;99;63;15;2;6;7;39;6;57;7;72;54;448;10;68;3;5;5;41;3;60;4;75;51;451;5;73;3;5;5;41;3;60;4;75;51;451;5;73;0;8;0;46;0;63;0;79;0;502;0;78;0;8;0;46;0;63;0;79;0;502;0;78;4;4;25;21;38;25;51;28;308;194;48;30;5;3;41;5;60;3;78;1;459;43;73;5;0;8;0;46;0;63;0;79;0;502;0;78;119;227;20;32;8;8;73;285;0;4;266;80;35;17;8;8;304;54;4;0;44;302;3;49;3;13;36;322;0;4;21;325;4;48;0;16;46;312;0;4;21;325;4;48;0;16;46;312;0;4;0;346;0;52;0;16;0;358;0;4;0;346;0;52;0;16;0;358;0;4;207;139;36;16;12;4;219;139;0;4;334;12;48;4;16;0;314;44;4;0;0;346;0;52;0;16;0;358;0;4;;;;;;;;;;;;;;;
110001505000008;1;0;8;0;28;0;37;0;40;0;259;2;40;6;2;19;9;30;7;33;7;217;42;29;13;0;8;2;26;3;34;4;36;38;221;8;34;0;8;0;28;0;37;0;40;0;259;0;42;0;8;2;26;3;34;4;36;38;221;8;34;1;7;3;25;3;34;3;37;41;218;3;39;0;8;0;28;0;37;0;40;0;259;0;42;2;6;7;21;17;20;18;22;144;115;18;24;3;5;10;18;8;29;4;36;80;179;15;27;0;8;0;28;0;37;0;40;0;259;0;42;1;155;0;9;0;1;1;246;0;1;126;30;6;3;0;1;201;46;1;0;27;129;1;8;0;1;27;220;0;1;0;156;0;9;0;1;0;247;0;1;27;129;1;8;0;1;27;220;0;1;26;130;0;9;0;1;28;219;0;1;0;156;0;9;0;1;0;247;0;1;97;59;2;7;0;1;107;140;0;1;46;110;2;7;1;0;71;176;0;1;0;156;0;9;0;1;0;247;0;1;;;;;;;;;;;;;;;
110001505000009;1;0;11;0;53;0;60;0;65;0;522;0;52;9;2;45;8;50;10;55;10;478;44;47;5;3;8;11;42;9;51;15;50;171;351;17;35;0;11;1;52;1;59;4;61;33;489;2;50;3;8;9;44;7;53;15;50;166;356;17;35;0;11;2;51;0;60;0;65;15;507;4;48;0;11;0;53;0;60;0;65;0;522;0;52;0;11;2;51;2;58;0;65;12;510;2;50;2;9;16;37;18;42;22;43;151;371;14;38;0;11;0;53;0;60;0;65;0;522;0;52;0;331;0;30;0;6;0;392;0;4;312;19;28;2;5;1;335;57;4;0;138;193;5;25;2;4;79;313;2;2;26;305;1;29;1;5;13;379;0;4;131;200;5;25;2;4;77;315;2;2;14;317;1;29;0;6;6;386;0;4;0;331;0;30;0;6;0;392;0;4;12;319;1;29;0;6;5;387;0;4;74;257;8;22;1;5;140;252;0;4;0;331;0;30;0;6;0;392;0;4;;;;;;;;;;;;;;;
110001505000010;1;0;1;0;9;0;16;0;17;0;63;0;9;1;0;5;4;7;9;6;11;25;38;3;6;0;1;0;9;0;16;0;17;0;63;0;9;0;1;0;9;0;16;0;17;0;63;0;9;0;1;0;9;0;16;0;17;0;63;0;9;0;1;0;9;0;16;0;17;0;63;0;9;0;1;0;9;0;16;0;17;0;63;0;9;0;1;0;9;0;16;0;17;0;63;0;9;0;1;2;7;3;13;4;13;17;46;2;7;0;1;0;9;0;16;0;17;0;63;0;9;0;38;0;9;0;1;0;67;0;0;20;18;1;8;1;0;25;42;0;0;0;38;0;9;0;1;0;67;0;0;0;38;0;9;0;1;0;67;0;0;0;38;0;9;0;1;0;67;0;0;0;38;0;9;0;1;0;67;0;0;0;38;0;9;0;1;0;67;0;0;0;38;0;9;0;1;0;67;0;0;3;35;7;2;0;1;18;49;0;0;0;38;0;9;0;1;0;67;0;0;;;;;;;;;;;;;;;
