Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
110001505000001;1;834;1;7;8;20;21;13;16;16;27;16;17;17;16;24;23;16;29;19;19;12;18;17;14;16;23;8;18;10;22;20;18;11;21;7;9;19;12;10;11;13;16;11;10;11;5;9;10;15;7;8;10;4;3;6;2;11;4;3;6;2;3;2;8;5;3;4;4;1;2;7;1;2;0;2;1;2;281;194;245;9;12;8;14;6;
110001505000002;1;713;2;4;6;16;12;23;13;12;14;23;19;20;19;32;15;14;17;18;15;7;20;8;14;16;10;8;18;18;16;16;13;12;9;14;11;13;12;7;11;16;13;10;6;7;4;13;6;8;6;3;6;10;6;6;3;4;1;3;2;2;4;4;0;1;2;3;2;3;3;1;3;0;1;1;0;3;225;166;240;4;15;8;13;0;
110001505000003;1;535;2;3;6;9;14;14;18;11;14;11;19;11;17;13;17;12;13;16;12;14;7;5;8;9;16;14;12;12;10;12;13;7;9;8;10;5;9;16;6;4;12;8;3;5;7;4;2;4;4;3;4;6;3;0;3;1;2;1;2;3;0;1;1;2;1;2;2;1;1;1;0;2;1;1;1;3;166;118;171;8;20;9;7;1;
110001505000004;1;218;0;4;5;4;2;4;5;4;4;10;11;3;7;5;6;7;6;4;1;3;5;6;3;3;3;5;5;3;2;3;1;7;1;2;6;4;2;7;4;4;2;0;3;2;6;2;3;2;5;3;0;1;1;1;0;2;0;0;0;1;0;0;1;2;3;1;1;1;0;0;1;1;0;0;0;2;74;48;54;2;6;5;11;3;
110001505000005;1;801;2;7;14;23;20;19;29;21;16;18;29;23;23;21;24;28;22;24;17;22;17;23;11;19;21;21;11;18;15;9;11;13;6;15;11;15;13;11;4;10;7;12;8;9;10;6;3;6;2;4;1;3;2;3;3;5;6;2;6;5;4;2;1;1;0;1;1;2;1;2;2;4;0;0;0;1;253;173;250;13;16;9;17;0;
110001505000006;1;643;4;6;17;11;15;17;13;18;8;22;22;21;19;24;19;12;15;16;17;15;9;15;12;14;10;8;17;8;6;10;10;12;10;12;8;13;8;7;8;13;7;9;8;12;9;7;4;10;4;2;5;3;3;6;3;3;1;4;1;1;1;0;4;2;0;2;0;2;0;0;1;1;3;1;1;2;206;146;196;6;18;8;10;0;
110001505000007;1;654;7;8;10;13;19;22;14;13;14;16;16;15;13;18;13;23;14;9;12;15;12;18;13;16;19;10;12;7;12;10;15;8;11;9;9;9;11;11;10;8;10;10;6;7;9;8;11;6;5;3;5;4;3;4;4;1;2;2;6;2;3;2;2;3;2;4;2;0;1;2;1;1;0;2;3;4;193;161;194;8;20;9;11;0;
110001505000008;1;318;2;1;5;5;8;15;7;4;10;4;7;6;9;12;11;4;7;8;11;6;4;5;7;12;8;7;7;7;8;6;3;9;9;3;7;5;2;2;1;4;4;4;4;3;2;4;2;1;2;3;3;3;1;0;3;2;1;0;2;2;0;2;1;0;2;2;1;2;1;0;0;0;0;1;0;2;107;74;91;2;8;3;6;0;
110001505000009;1;703;6;9;14;8;9;10;13;18;9;17;19;29;10;9;24;27;18;10;14;15;13;19;16;17;22;16;14;17;17;12;9;11;13;11;16;13;7;15;12;4;19;9;12;8;10;9;4;4;7;6;5;4;5;3;5;2;3;0;2;1;1;5;4;0;1;2;2;1;1;0;2;2;0;0;1;1;205;141;197;5;12;16;17;1;
110001505000010;1;92;0;2;1;5;3;2;2;3;3;7;1;1;1;0;2;2;2;2;3;1;1;2;1;3;0;0;1;3;1;1;2;3;4;2;2;0;3;1;2;2;0;2;1;0;0;1;2;0;0;0;0;1;0;0;1;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;29;21;26;1;0;1;3;0;
