Cod_setor;Situacao_setor;V001;V002;V003
110001505000001;1;159;0;1
110001505000002;1;150;0;0
110001505000003;1;118;1;0
110001505000004;1;42;0;0
110001505000005;1;297;0;1
110001505000006;1;152;1;0
110001505000007;1;139;0;0
110001505000008;1;88;0;0
110001505000009;1;131;3;0
110001505000010;1;28;0;0
110001505000011;1;122;0;0
110001505000012;1;191;0;0
110001505000013;1;200;0;0
110001505000014;1;158;1;0
110001505000015;1;32;0;0
110001505000016;1;69;0;0
110001505000017;1;108;3;0
110001505000018;1;134;0;0
110001505000019;4;94;0;0
110001505000020;8;104;0;0
110001505000021;8;15;0;0
110001505000022;8;98;1;0
110001505000023;8;53;0;0
110001505000024;8;147;0;0
110001505000025;8;53;0;0
110001505000026;8;36;0;0
110001505000027;8;68;1;0
110001505000028;8;42;0;0
110001505000029;8;18;0;0
110001505000030;8;20;0;0
110001505000031;8;83;0;0
110001505000033;8;149;0;0
110001515000001;2;24;0;0
110001515000002;8;75;0;0
110001515000003;8;41;0;1
110001520000001;1;30;0;0
110001520000004;8;133;0;0
110001525000001;1;31;0;0
110001525000002;8;127;0;0
110001525000003;8;30;0;0
110001525000004;8;22;0;0
110001525000005;8;14;0;0
110001525000006;8;32;0;0
110001525000007;8;74;0;0
110001530000001;1;91;3;0
110001530000002;8;28;0;0
110001530000004;8;6;0;0
110001530000005;8;30;0;0
110001535000001;2;22;0;0
110001535000002;8;84;0;0
110001535000003;8;67;2;0
110001535000004;8;71;0;0
110001535000005;8;124;1;0
110001535000006;8;59;0;0
110002305000001;1;3;0;0
110002305000002;1;60;0;0
110002305000003;1;108;0;0
110002305000004;1;112;0;0
110002305000005;1;115;0;0
110002305000006;1;93;0;0
110002305000007;1;132;0;0
110002305000008;1;176;1;0
110002305000009;1;168;1;0
110002305000010;1;126;0;0
110002305000011;1;133;0;0
110002305000012;1;204;0;0
110002305000013;1;132;0;0
110002305000014;1;104;0;1
110002305000015;1;128;0;0
110002305000016;1;242;0;1
110002305000017;1;183;0;0
110002305000018;1;112;0;0
110002305000019;1;164;0;0
110002305000020;1;182;1;0
110002305000021;1;7;"X";"X"
110002305000022;1;112;0;0
110002305000023;1;114;2;0
110002305000024;1;199;2;1
110002305000025;1;264;0;0
110002305000026;1;236;0;0
110002305000027;1;188;0;0
110002305000028;1;213;1;0
110002305000029;1;163;0;0
110002305000030;1;88;0;0
110002305000031;1;186;1;0
110002305000032;1;164;0;0
110002305000033;1;95;0;0
110002305000034;1;90;0;0
110002305000035;1;179;2;0
110002305000036;1;163;0;0
110002305000037;1;120;1;0
110002305000038;1;31;0;0
110002305000039;1;312;0;0
110002305000040;1;62;0;0
110002305000041;1;115;0;0
110002305000042;1;122;0;0
110002305000043;1;17;0;0
110002305000044;1;380;0;1
110002305000045;1;282;2;0
110002305000046;1;93;0;0
110002305000047;1;46;0;0
110002305000048;1;33;1;0
110002305000049;1;90;0;0
110002305000050;1;101;0;0
110002305000051;1;115;0;0
110002305000052;1;73;0;0
110002305000053;1;153;0;0
110002305000054;1;121;0;0
110002305000055;1;208;0;0
110002305000056;1;244;0;0
110002305000057;1;74;5;0
110002305000058;1;168;0;0
110002305000059;1;140;0;0
110002305000060;1;174;0;0
110002305000061;1;140;0;0
110002305000062;1;155;0;0
110002305000063;1;207;0;0
110002305000064;1;233;1;0
110002305000065;1;311;4;0
110002305000066;1;147;1;0
110002305000067;1;154;1;1
110002305000068;1;121;0;0
110002305000069;1;260;0;0
110002305000070;1;76;0;0
110002305000071;1;81;0;0
110002305000072;1;133;0;0
110002305000073;1;274;2;0
110002305000074;1;149;0;0
110002305000075;1;128;0;0
110002305000076;1;180;0;0
110002305000077;1;338;0;0
110002305000078;1;321;0;0
110002305000079;1;258;1;0
110002305000080;1;327;3;0
110002305000081;8;57;0;0
110002305000082;8;332;0;0
110002305000083;8;291;4;0
110002305000084;8;236;0;0
110002305000085;8;45;0;0
110002305000086;8;155;0;0
110002305000087;8;51;0;0
110002305000088;8;46;0;0
110002305000089;8;41;0;0
110002305000090;8;63;0;0
110002305000091;8;2;"X";"X"
110002305000092;8;58;0;0
110002305000093;8;60;0;0
110002305000094;8;49;0;0
110002305000095;8;76;0;0
110002305000096;8;41;0;0
110002305000097;8;124;0;0
110002305000098;8;121;1;0
110002305000099;8;10;0;0
110002305000100;8;89;0;0
110002305000101;8;59;0;0
110002305000102;8;57;0;0
110002305000103;8;37;0;1
110002305000104;8;78;0;0
110002305000105;8;78;0;0
110002305000106;8;44;0;0
110002305000107;8;42;0;0
110002305000108;8;152;0;0
110002305000109;8;77;0;0
110002305000110;8;21;0;0
110002305000111;1;196;0;0
110002305000112;1;121;0;0
110002305000113;1;107;0;0
110002305000114;1;162;1;0
110002305000115;8;154;0;0
110002305000116;1;78;0;0
110002305000117;1;177;1;0
110002305000118;1;163;0;0
110002305000119;1;120;0;0
110002305000120;1;130;0;0
110002305000121;1;96;0;0
110002305000122;1;84;1;0
110002305000123;1;9;0;0
110002305000124;1;17;0;0
110002305000125;1;315;0;0
110002305000126;1;460;0;0
110003105000001;1;150;0;0
110003105000002;1;97;0;0
110003105000003;1;118;0;0
110003105000004;1;130;0;0
110003105000005;8;86;0;0
110003105000006;8;38;0;0
110003105000007;8;44;0;0
110003105000008;5;35;0;0
110003105000009;8;39;0;0
110003105000010;8;27;0;0
110003105000011;8;178;0;0
110003105000012;8;31;0;0
110003105000013;8;73;0;0
110003105000014;8;46;0;0
110003105000015;8;39;0;0
110004905000001;1;171;0;0
110004905000002;1;110;0;0
110004905000003;1;118;0;0
110004905000004;1;93;0;0
110004905000005;1;31;0;0
110004905000006;1;75;1;0
110004905000007;1;52;0;0
110004905000008;1;58;0;0
110004905000009;1;96;0;0
110004905000010;1;32;0;0
110004905000011;1;32;0;0
110004905000012;1;86;0;0
110004905000013;1;88;1;0
110004905000014;1;68;0;0
110004905000015;1;174;0;0
