Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;
140002705000001;1;469;2;3;8;13;11;11;20;19;12;17;16;14;11;19;13;11;9;8;3;6;7;13;6;17;11;8;5;9;11;9;6;10;3;6;1;9;7;7;5;7;4;5;6;5;9;2;4;3;6;2;8;1;2;7;0;1;0;2;3;1;2;2;2;1;0;2;1;1;0;1;2;1;0;0;0;0;145;60;150;4;17;15;26;1;447;2;2;11;14;9;15;6;12;17;18;11;12;11;11;9;5;12;10;11;8;11;11;6;14;11;13;11;6;6;8;7;10;8;11;9;5;6;2;7;9;5;4;0;2;6;7;4;7;5;2;3;2;1;5;3;2;0;0;0;3;0;1;1;2;2;1;0;0;1;0;0;0;0;0;0;1;119;121;106;8;9;10;23;1
140002705000002;8;124;2;2;1;1;0;4;3;1;1;7;1;1;0;4;3;3;1;5;2;2;2;2;5;0;5;1;1;4;3;3;0;1;2;2;2;2;3;2;2;2;1;3;1;1;1;1;0;2;4;2;2;5;0;0;1;0;0;2;1;0;0;1;0;2;0;2;0;0;1;1;1;0;0;0;0;1;58;3;21;0;1;1;6;8;68;1;0;3;1;0;2;2;4;1;0;0;1;1;0;0;2;6;3;2;1;4;2;0;2;4;0;1;2;0;1;1;0;2;2;0;2;1;0;0;0;0;2;1;0;2;0;0;0;1;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;38;10;0;2;1;4;1
140002705000003;8;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
140002705000004;8;77;1;1;2;1;0;2;4;0;2;1;1;0;1;2;2;0;0;2;5;5;5;1;0;2;2;0;1;1;1;1;1;3;1;2;1;0;1;1;0;0;1;2;2;1;2;1;0;1;1;3;0;1;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;39;0;11;0;0;0;3;0;47;0;1;1;1;3;1;1;1;1;1;0;0;1;3;1;2;1;1;1;0;2;1;4;1;0;3;0;0;2;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;29;5;1;0;0;2;0
140002705000005;5;73;2;3;3;2;1;4;1;5;6;1;3;3;1;3;1;1;1;1;2;2;2;0;1;1;3;1;2;0;1;1;1;2;0;1;1;1;0;0;2;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;28;0;3;4;3;0;65;0;1;5;3;4;3;3;6;3;0;4;2;0;4;2;1;3;1;1;1;2;2;2;1;1;0;0;1;0;0;1;1;2;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;23;0;3;0;1;0
140002705000006;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000007;8;107;0;1;1;0;0;1;4;6;3;2;2;4;2;3;2;2;2;0;0;1;2;0;1;3;2;3;3;1;6;1;4;3;1;3;2;2;0;3;0;3;0;1;3;0;1;3;1;1;1;3;1;1;1;0;2;2;1;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;1;42;1;33;0;3;3;7;2;83;1;2;1;2;2;3;2;1;4;5;3;3;1;1;2;3;1;3;3;0;2;1;0;0;0;2;3;0;1;3;1;1;2;1;0;1;0;2;0;0;0;1;0;1;3;6;0;2;1;1;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;31;29;0;4;0;2;0
140002705000008;5;50;2;1;1;0;0;2;2;2;1;0;2;2;2;1;2;0;1;0;1;1;2;0;0;1;0;2;0;1;1;0;2;2;0;0;0;2;1;2;0;2;0;0;0;2;3;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;18;1;0;0;1;1;44;0;0;2;1;1;0;2;1;1;2;1;0;0;1;1;0;3;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;2;0;1;2;0;2;1;1;1;1;1;1;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;19;8;0;1;0;0;2
140002705000009;8;21;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;9;0;0;1;0;0;9;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0
140002705000010;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
