Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;
140002705000001;1;1219;182;25;13;893;106;16;0;2;104;8;23;2;1;110;16;23;1;2;112;14;18;2;1;99;12;13;1;1;54;9;5;1;0;45;3;5;2;0;73;8;16;3;2;80;8;17;4;1;64;7;8;2;0;55;15;6;1;1;56;3;10;1;0;36;3;7;1;0;38;4;15;2;1;24;2;8;3;1;21;3;10;1;1;21;3;2;0;0;26;4;10;1;0;31;5;7;1;1;67;8;9;1;1;55;7;7;0;1;28;5;2;1;0;27;2;2;1;0;30;5;13;3;1;36;3;10;3;0;29;3;1;1;0;26;5;4;1;1;30;2;8;0;0;24;1;1;0;0;18;2;8;2;1;14;0;3;3;1;10;1;7;1;0;14;2;5;0;0;20;1;6;1;1;33;6;16;0;1;45;6;9;1;0;44;5;6;1;0;26;4;3;0;0;18;1;3;1;0;43;3;3;0;1;44;5;7;1;1;35;4;7;1;0;29;10;2;0;0;26;1;2;1;0;12;2;6;1;0;20;2;7;0;0;10;2;5;0;0;11;2;3;0;1;7;1;0;0;0;4;1
140002705000002;8;254;61;14;0;172;7;5;2;0;29;1;3;1;0;12;0;6;0;0;22;0;1;0;0;10;1;0;0;0;4;0;1;0;0;6;1;8;3;0;17;1;6;0;0;21;1;0;2;0;16;2;2;1;0;9;0;5;1;0;8;1;6;1;0;6;0;2;1;0;9;0;3;1;0;6;0;6;1;0;4;0;8;0;0;3;0;0;0;0;4;0;2;1;0;3;0;5;0;0;12;0;1;0;0;8;1;0;0;0;2;0;1;0;0;6;1;3;2;0;10;0;1;0;0;13;1;0;2;0;11;2;2;0;0;5;0;4;1;0;5;1;2;1;0;4;0;1;1;0;7;0;3;0;0;5;0;4;1;0;4;0;6;0;0;2;0;0;0;0;1;0;1;0;0;4;0;1;0;0;10;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;5;1;0;7;1;5;0;0;8;0;0;0;0;5;0;0;1;0;4;0;1;0;0;3;0;4;0;0;2;0;1;0;0;2;0;0;1;0;1;0;2;0;0;0;0;2;0;0;1;0;0;0;0;4;0
140002705000003;8;16;0;0;0;11;5;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
140002705000004;8;169;17;0;0;108;44;1;0;0;15;11;3;0;0;8;5;0;0;0;12;2;0;0;0;7;6;0;0;0;1;2;0;0;0;6;4;1;0;0;12;6;2;0;0;9;8;2;0;0;6;2;1;0;0;7;2;1;0;0;3;0;1;0;0;7;2;2;0;0;5;0;1;0;0;7;0;1;0;0;6;0;1;0;0;4;0;1;0;0;2;0;1;0;0;1;2;0;0;0;7;2;0;0;0;4;4;0;0;0;1;1;0;0;0;3;3;1;0;0;8;5;1;0;0;4;5;0;0;0;3;1;1;0;0;6;1;0;0;0;2;0;1;0;0;5;2;2;0;0;4;0;0;0;0;5;0;1;0;0;4;0;1;0;0;3;0;0;0;0;2;1;1;0;0;3;2;0;0;0;5;0;0;0;0;3;2;0;0;0;0;1;0;0;0;3;1;0;0;0;4;1;1;0;0;5;3;2;0;0;3;1;0;0;0;1;1;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;2;0;0;0;0;2;0;0;0;0;1;0;1;0;0;1;0
140002705000005;5;208;0;0;0;0;208;0;0;0;0;38;0;0;0;0;30;0;0;0;0;33;0;0;0;0;23;0;0;0;0;13;0;0;0;0;10;0;0;0;0;15;0;0;0;0;15;0;0;0;0;7;0;0;0;0;13;0;0;0;0;7;0;0;0;0;5;0;0;0;0;5;0;0;0;0;4;0;0;0;0;7;0;0;0;0;6;0;0;0;0;9;0;0;0;0;6;0;0;0;0;18;0;0;0;0;11;0;0;0;0;7;0;0;0;0;4;0;0;0;0;8;0;0;0;0;7;0;0;0;0;5;0;0;0;0;7;0;0;0;0;5;0;0;0;0;2;0;0;0;0;3;0;0;0;0;3;0;0;0;0;4;0;0;0;0;6;0;0;0;0;2;0;0;0;0;13;0;0;0;0;15;0;0;0;0;12;0;0;0;0;6;0;0;0;0;6;0;0;0;0;7;0;0;0;0;8;0;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;3;0;0;0;0;2;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5
140002705000006;8;7;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000007;8;238;22;13;0;202;1;3;0;0;15;0;1;0;0;20;0;3;0;0;28;0;1;2;0;20;0;1;1;0;13;0;0;1;0;7;0;0;0;0;15;1;1;1;0;10;0;3;0;0;22;0;1;3;0;15;0;1;2;0;9;0;0;2;0;11;0;2;1;0;17;0;3;1;0;6;0;3;1;0;9;0;0;0;0;5;0;0;0;0;4;0;1;0;0;6;0;2;0;0;14;0;1;1;0;11;0;1;0;0;7;0;0;1;0;4;0;0;0;0;6;0;0;1;0;8;0;2;0;0;14;0;1;2;0;11;0;0;2;0;6;0;0;2;0;4;0;0;0;0;9;0;3;1;0;3;0;2;0;0;6;0;0;0;0;5;0;0;0;0;4;0;0;0;0;6;0;1;0;0;14;0;0;1;0;9;0;0;1;0;6;0;0;0;0;3;0;0;0;0;9;1;1;0;0;2;0;1;0;0;8;0;0;1;0;4;0;1;0;0;3;0;0;0;0;7;0;2;1;0;8;0;0;0;0;3;0;1;1;0;3;0;0;0;0;0;0;0;0;0;1;0
140002705000008;5;116;26;5;0;85;0;5;0;0;10;0;3;0;0;10;0;2;0;0;11;0;1;0;0;11;0;1;0;0;6;0;0;0;0;5;0;3;1;0;5;0;4;0;0;3;0;0;0;0;5;0;2;1;0;5;0;1;1;0;11;0;3;2;0;7;0;1;0;0;4;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;3;0;1;0;0;1;0;2;0;0;5;0;1;0;0;8;0;1;0;0;5;0;0;0;0;3;0;1;0;0;2;0;1;0;0;2;0;0;0;0;4;0;1;1;0;2;0;0;1;0;6;0;2;0;0;4;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;5;0;0;0;0;6;0;0;0;0;3;0;0;0;0;1;0;0;0;0;2;0;2;1;0;3;0;3;0;0;1;0;0;0;0;1;0;1;0;0;3;0;1;0;0;5;0;1;2;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0
140002705000009;8;40;4;1;0;35;0;0;0;0;2;0;1;0;0;5;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;0;0;5;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000010;8;35;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
