Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;
140002705000001;1;8;0;1;51;4;8;0;1;53;4
140002705000002;8;3;1;0;17;0;2;1;0;12;1
140002705000003;8;0;0;0;0;0;0;0;0;0;1
140002705000004;8;0;0;0;9;7;1;0;0;6;4
140002705000005;5;0;0;0;0;16;0;0;0;0;22
140002705000006;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000007;8;1;0;0;8;0;2;0;0;7;0
140002705000008;5;3;0;0;8;0;2;0;0;2;0
140002705000009;8;0;0;0;1;0;0;0;0;1;0
140002705000010;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000011;8;1;0;0;6;9;0;0;0;3;11
140002705000012;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000013;8;0;0;0;8;0;1;0;0;2;1
140002705000014;8;0;1;0;2;0;1;0;0;5;0
140002705000015;8;0;0;0;0;0;0;0;0;1;2
140002705000016;8;0;0;0;2;0;0;0;0;2;0
140002705000017;8;0;0;0;1;4;0;0;0;1;1
140002705000018;8;1;0;0;3;20;1;0;0;7;19
140002705000019;5;3;1;0;11;33;1;1;0;7;31
140002705000020;8;0;0;0;2;0;1;0;0;2;0
140002705000021;8;5;1;0;17;0;3;0;0;16;0
140002705000022;5;4;2;0;26;0;3;1;0;39;0
140002705000024;8;0;0;0;0;15;0;0;0;0;15
140002705000025;8;0;0;0;0;14;0;0;0;0;13
140002705000026;8;0;0;0;0;10;0;0;0;0;13
140002705000028;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000033;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000034;8;0;0;0;0;145;0;0;0;0;148
140002705000035;8;0;0;0;0;97;0;0;0;0;93
140002705000036;5;0;0;0;0;76;0;0;0;0;75
140002705000037;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000040;8;2;0;0;0;2;0;0;0;0;0
140002705000045;7;0;0;0;0;0;0;0;0;1;2
140002705000046;7;0;0;0;2;8;0;0;0;2;5
140002705000047;7;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000049;7;0;0;0;0;2;0;0;0;0;0
140002705000051;7;0;1;0;3;0;0;1;0;6;0
140002705000052;7;0;0;0;1;0;0;0;0;5;0
140002705000053;7;0;0;0;5;8;0;0;0;1;6
140002705000054;7;0;0;0;0;4;0;0;0;0;3
140002705000055;7;0;0;0;5;1;0;0;0;5;2
140002705000056;7;0;0;0;2;15;0;0;0;3;18
140002705000057;7;0;0;0;11;0;0;0;0;11;0
140002705000058;7;0;0;0;7;12;0;0;0;8;12
140005005000001;1;8;0;0;29;3;5;1;0;34;3
140005005000002;1;11;0;0;32;1;9;0;0;32;2
140005005000003;1;9;0;0;33;0;12;2;0;30;1
140005005000004;1;8;3;0;22;2;5;1;0;18;0
140005005000005;8;1;0;0;11;8;0;0;0;12;4
140005005000006;8;1;0;0;3;1;0;0;0;2;1
140005005000007;8;10;0;0;38;1;5;0;0;34;0
140005005000008;8;1;3;1;29;4;2;4;0;33;4
140005005000009;8;4;2;0;3;0;3;3;0;8;0
140005005000010;8;6;0;2;20;0;4;0;0;10;4
140005005000011;8;9;2;1;12;3;7;1;0;19;2
140005005000012;8;0;0;0;0;0;0;0;0;0;0
140005005000013;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140005005000014;8;0;0;0;0;0;0;0;0;0;3
140005005000015;8;4;1;0;8;5;4;1;0;5;3
140005005000016;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140005005000017;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140005005000018;8;0;0;0;1;0;0;0;0;5;0
140005005000019;5;2;0;0;13;0;1;1;0;15;0
140005005000021;8;0;0;0;1;0;0;0;0;2;0
140005005000022;8;2;0;0;4;0;3;0;0;3;0
140005005000024;8;0;4;0;9;0;0;4;1;7;0
140005005000025;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140005005000026;8;0;0;0;0;32;0;0;0;0;31
140005005000031;8;0;"X";"X";"X";"X";"X";"X";"X";"X";"X"
140005005000032;8;0;0;0;0;47;0;0;0;0;40
140005005000033;8;0;0;0;0;401;0;0;0;0;389
140005005000035;8;0;0;0;0;11;0;0;0;0;9
