Cod_setor;Situacao_setor;V001;V002;V003
140002705000001;1;309;0;0
140002705000002;8;57;1;2
140002705000003;8;2;0;0
140002705000004;8;42;4;0
140002705000005;5;75;0;0
140002705000006;8;0;"X";"X"
140002705000007;8;43;0;0
140002705000008;5;30;0;0
140002705000009;8;10;0;0
140002705000010;8;13;"X";"X"
140002705000011;8;57;2;0
140002705000012;8;4;"X";"X"
140002705000013;8;14;2;0
140002705000014;8;16;0;0
140002705000015;8;5;0;0
140002705000016;8;11;0;0
140002705000017;8;19;0;0
140002705000018;8;92;0;0
140002705000019;5;196;1;0
140002705000020;8;17;0;0
140002705000021;8;104;1;0
140002705000022;5;203;2;0
140002705000024;8;19;41;1
140002705000025;8;9;44;1
140002705000026;8;15;32;1
140002705000028;8;4;"X";"X"
140002705000033;8;0;"X";"X"
140002705000034;8;28;540;1
140002705000035;8;1;361;1
140002705000036;5;0;285;0
140002705000037;8;2;"X";"X"
140002705000040;8;4;2;0
140002705000045;7;4;1;0
140002705000046;7;31;1;0
140002705000047;7;1;"X";"X"
140002705000049;7;5;0;0
140002705000051;7;19;0;0
140002705000052;7;13;0;0
140002705000053;7;36;0;0
140002705000054;7;11;0;0
140002705000055;7;35;0;0
140002705000056;7;74;0;0
140002705000057;7;44;0;0
140002705000058;7;106;0;0
140005005000001;1;197;5;1
140005005000002;1;238;2;0
140005005000003;1;227;1;2
140005005000004;1;150;0;0
140005005000005;8;66;2;0
140005005000006;8;25;0;0
140005005000007;8;199;1;2
140005005000008;8;136;10;0
140005005000009;8;46;1;0
140005005000010;8;97;0;1
140005005000011;8;145;3;0
140005005000012;8;5;0;0
140005005000013;8;0;"X";"X"
140005005000014;8;6;0;0
140005005000015;8;54;5;2
140005005000016;8;2;"X";"X"
140005005000017;8;0;"X";"X"
140005005000018;8;19;0;0
140005005000019;5;70;1;0
140005005000021;8;17;0;0
140005005000022;8;39;0;0
140005005000024;8;49;2;0
140005005000025;8;1;"X";"X"
140005005000026;8;2;126;1
140005005000031;8;0;"X";"X"
140005005000032;8;10;156;4
140005005000033;8;22;1551;35
140005005000035;8;19;20;0
140005005000036;8;0;60;8
140005005000037;8;0;402;6
140005005000038;8;9;71;9
140005005000039;5;0;31;0
140005005000040;1;351;1;0
140005005000042;7;42;0;0
140005005000043;8;0;44;14
140005005000045;8;29;0;0
140005005000046;8;25;0;0
140005005000047;8;176;1;0
140005005000050;8;7;30;0
140005005000052;7;27;0;0
140005005000053;7;116;1;0
140005005000054;7;36;0;0
140005005000055;7;108;2;1
140010005000001;1;32;0;0
140010005000002;1;57;0;0
140010005000003;1;166;0;2
140010005000004;1;22;0;0
140010005000005;1;80;0;7
140010005000006;1;47;1;0
140010005000007;1;73;0;0
140010005000008;1;7;0;0
140010005000009;1;39;1;0
140010005000010;1;54;0;0
140010005000011;1;51;0;0
140010005000012;1;44;1;0
140010005000013;1;40;2;0
140010005000014;1;23;1;0
140010005000015;1;224;3;0
140010005000016;1;104;1;0
140010005000017;1;82;0;0
140010005000018;1;152;0;0
140010005000019;1;155;1;1
140010005000020;1;0;0;0
140010005000021;1;183;2;0
140010005000022;1;136;0;0
140010005000023;1;106;0;0
140010005000024;1;136;1;0
140010005000025;1;94;2;0
140010005000026;1;95;0;1
140010005000028;1;311;2;0
140010005000029;1;145;1;1
140010005000030;1;268;0;0
140010005000031;1;115;0;0
140010005000032;1;136;3;0
140010005000033;1;271;4;0
140010005000034;1;240;3;0
140010005000035;1;179;2;0
140010005000036;1;99;1;0
140010005000037;1;281;4;0
140010005000038;1;107;9;0
140010005000039;1;190;0;0
140010005000040;1;88;0;0
140010005000041;1;191;0;0
140010005000042;1;147;0;1
140010005000043;1;104;0;0
140010005000044;1;117;0;0
140010005000045;1;169;0;0
140010005000046;1;91;0;0
140010005000047;1;50;0;0
140010005000048;1;46;0;0
140010005000049;1;40;0;0
140010005000050;1;91;0;0
140010005000051;1;58;0;0
140010005000052;1;107;1;0
140010005000053;1;64;0;1
140010005000054;1;120;0;0
140010005000055;1;16;0;0
140010005000056;1;123;0;0
140010005000057;1;104;0;0
140010005000058;1;116;0;0
140010005000059;1;123;0;0
140010005000060;1;117;0;0
140010005000061;1;52;1;0
140010005000062;1;84;1;2
140010005000063;1;72;0;0
140010005000064;1;115;1;0
140010005000065;1;42;0;0
140010005000066;1;77;0;0
140010005000067;1;48;0;0
140010005000068;1;116;0;0
140010005000069;1;124;0;0
140010005000070;1;106;1;0
140010005000071;1;71;0;0
140010005000072;1;96;0;0
140010005000073;1;155;1;0
140010005000074;1;135;0;0
140010005000075;1;118;0;0
140010005000076;1;128;0;0
