Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
140002705000001;1;1219;1218;309;207;288;146;43;12;7;8;86;0;26;1;56;27;2;0;0;0;1;27;2;4;1;2;2;4;1;2;1;3;2;3;28;22;24;29;32;26;36;32;26;27;27;32;30;36;28;27;23;32;22;17;21;19;15;16;19;25;12;31;22;22;16;18;17;20;13;21;12;21;13;14;13;9;13;18;9;9;7;7;18;11;10;10;13;6;14;6;4;14;6;4;0;4;3;5;3;5;4;6;2;6;3;1;5;1;3;3;3;0;2;1;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0
140002705000002;8;254;247;69;43;57;6;12;2;1;0;12;0;2;0;9;14;11;0;4;5;7;5;2;0;0;1;0;1;0;0;1;0;0;0;7;13;4;8;3;2;6;5;0;7;6;5;2;8;1;2;1;5;3;6;7;8;5;3;6;5;6;2;9;3;2;6;4;5;1;1;4;4;2;4;4;2;3;2;1;6;2;1;3;1;0;2;5;4;2;6;1;0;1;1;1;3;1;1;0;1;0;2;1;2;0;1;1;2;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000003;8;16;16;5;3;1;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000004;8;169;169;44;30;47;3;2;0;1;0;0;0;1;0;11;0;0;0;24;6;0;4;0;0;1;1;1;1;0;0;0;0;0;0;6;8;3;6;2;4;3;3;4;3;5;1;3;2;1;0;2;7;3;2;1;4;6;6;7;2;4;3;3;3;1;1;3;2;1;3;2;3;1;0;1;1;2;0;1;3;3;1;2;1;1;1;1;3;3;2;1;2;0;0;3;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000005;5;208;208;42;30;91;22;1;4;0;0;13;0;4;0;1;0;0;0;0;0;0;5;0;1;0;0;0;0;0;2;1;0;0;1;12;5;5;11;3;8;8;6;5;7;4;12;9;1;7;5;1;7;3;3;4;2;3;3;4;2;3;2;4;1;3;1;1;1;2;3;3;3;2;1;1;1;3;1;1;1;1;1;1;4;0;0;0;1;0;0;0;4;0;0;1;0;1;2;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000006;8;7;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
140002705000007;8;238;224;60;36;63;24;8;3;0;0;14;2;3;0;6;3;2;0;1;0;11;1;0;0;0;0;0;0;0;0;0;1;0;0;6;3;3;5;3;5;6;2;5;4;6;7;7;7;5;7;3;4;4;5;3;4;3;1;4;1;1;4;2;5;6;2;8;4;5;5;3;4;2;3;0;6;0;3;0;3;5;1;4;9;1;3;2;5;3;1;1;2;3;4;1;2;1;1;0;2;1;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000008;5;116;116;33;21;43;7;2;0;0;1;3;0;0;0;1;2;3;0;0;0;0;3;0;0;0;2;0;0;0;0;0;1;0;0;2;5;4;1;4;1;5;2;1;2;4;3;2;2;3;2;2;2;3;0;4;1;2;2;3;1;1;1;1;3;0;1;1;0;3;2;2;0;1;4;1;4;1;3;1;2;1;3;5;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000009;8;40;40;13;7;19;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;1;1;0;2;1;2;1;1;0;0;0;0;0;0;2;1;1;0;1;0;0;0;1;1;0;0;1;3;0;0;1;0;1;1;1;0;0;0;0;0;1;1;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002705000010;8;35;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
