Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
140002705000001;1;24;123;77;20;19;13;3;0;1;29;3366;58487;58287;26915;40091;43733;18000;0;23000;309;280;271879;9;75;44;14;9;8;3;0;1;15;1516;36084;34083;19390;19100;28533;18000;0;23000;178;163;179706;15;48;33;6;10;5;0;0;0;14;1850;22403;24204;7525;20991;15200;0;0;0;131;117;92173;24;123;77;20;19;13;3;0;1;29;3366;58487;58287;26915;40091;43733;18000;0;23000;309;280;271879;9;75;44;14;9;8;3;0;1;15;1516;36084;34083;19390;19100;28533;18000;0;23000;178;163;179706;15;48;33;6;10;5;0;0;0;14;1850;22403;24204;7525;20991;15200;0;0;0;131;117;92173;
140002705000002;8;0;23;25;2;2;0;0;0;0;17;0;11000;16705;2500;3563;0;0;0;0;69;52;33768;0;23;24;2;2;0;0;0;0;14;0;11000;16193;2500;3563;0;0;0;0;65;51;33256;0;0;1;0;0;0;0;0;0;3;0;0;512;0;0;0;0;0;0;4;1;512;0;23;25;2;2;0;0;0;0;17;0;11000;16705;2500;3563;0;0;0;0;69;52;33768;0;23;24;2;2;0;0;0;0;14;0;11000;16193;2500;3563;0;0;0;0;65;51;33256;0;0;1;0;0;0;0;0;0;3;0;0;512;0;0;0;0;0;0;4;1;512;
140002705000003;8;0;2;0;0;0;0;0;0;0;3;0;1020;0;0;0;0;0;0;0;5;2;1020;0;1;0;0;0;0;0;0;0;3;0;510;0;0;0;0;0;0;0;4;1;510;0;1;0;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;1;1;510;0;2;0;0;0;0;0;0;0;3;0;1020;0;0;0;0;0;0;0;5;2;1020;0;1;0;0;0;0;0;0;0;3;0;510;0;0;0;0;0;0;0;4;1;510;0;1;0;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;1;1;510;
140002705000004;8;6;24;9;0;1;1;0;0;1;2;1200;10070;7030;0;2500;4000;0;0;14000;44;42;38800;6;24;9;0;1;1;0;0;1;2;1200;10070;7030;0;2500;4000;0;0;14000;44;42;38800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;9;0;1;1;0;0;1;2;1200;10070;7030;0;2500;4000;0;0;14000;44;42;38800;6;24;9;0;1;1;0;0;1;2;1200;10070;7030;0;2500;4000;0;0;14000;44;42;38800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140002705000005;5;3;17;1;2;0;0;0;0;0;19;402;8670;995;2266;0;0;0;0;0;42;23;12333;2;16;1;1;0;0;0;0;0;18;268;8160;995;1100;0;0;0;0;0;38;20;10523;1;1;0;1;0;0;0;0;0;1;134;510;0;1166;0;0;0;0;0;4;3;1810;3;17;1;2;0;0;0;0;0;19;402;8670;995;2266;0;0;0;0;0;42;23;12333;2;16;1;1;0;0;0;0;0;18;268;8160;995;1100;0;0;0;0;0;38;20;10523;1;1;0;1;0;0;0;0;0;1;134;510;0;1166;0;0;0;0;0;4;3;1810;
140002705000006;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
140002705000007;8;0;22;2;1;0;0;0;0;0;36;0;11220;1350;1500;0;0;0;0;0;61;25;14070;0;18;1;1;0;0;0;0;0;30;0;9180;600;1500;0;0;0;0;0;50;20;11280;0;4;1;0;0;0;0;0;0;6;0;2040;750;0;0;0;0;0;0;11;5;2790;0;21;2;1;0;0;0;0;0;35;0;10710;1350;1500;0;0;0;0;0;59;24;13560;0;17;1;1;0;0;0;0;0;29;0;8670;600;1500;0;0;0;0;0;48;19;10770;0;4;1;0;0;0;0;0;0;6;0;2040;750;0;0;0;0;0;0;11;5;2790;
140002705000008;5;0;16;8;3;0;0;0;0;0;6;0;8160;7294;3732;0;0;0;0;0;33;27;19186;0;10;6;2;0;0;0;0;0;6;0;5100;5630;2600;0;0;0;0;0;24;18;13330;0;6;2;1;0;0;0;0;0;0;0;3060;1664;1132;0;0;0;0;0;9;9;5856;0;16;8;3;0;0;0;0;0;6;0;8160;7294;3732;0;0;0;0;0;33;27;19186;0;10;6;2;0;0;0;0;0;6;0;5100;5630;2600;0;0;0;0;0;24;18;13330;0;6;2;1;0;0;0;0;0;0;0;3060;1664;1132;0;0;0;0;0;9;9;5856;
140002705000009;8;0;3;0;0;0;0;0;0;0;10;0;1530;0;0;0;0;0;0;0;13;3;1530;0;3;0;0;0;0;0;0;0;9;0;1530;0;0;0;0;0;0;0;12;3;1530;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;10;0;1530;0;0;0;0;0;0;0;13;3;1530;0;3;0;0;0;0;0;0;0;9;0;1530;0;0;0;0;0;0;0;12;3;1530;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
140002705000010;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
