Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
430003405000001;1;0;102090;102090;0;1;8;25;34;13;1;0;0;1;15;
430003405000002;1;0;205896;205896;0;3;7;27;34;29;9;3;4;0;4;
430003405000003;1;0;125233;125233;0;2;10;28;35;14;3;3;0;0;1;
430003415000002;8;0;790224;790224;0;2;1;23;64;74;29;24;22;6;1;
430003415000003;8;1;59860;59340;520;0;0;1;3;11;4;1;3;0;2;
430003415000004;8;0;40111;40111;0;0;0;9;11;4;1;0;0;1;1;
430003415000005;8;0;267469;267469;0;4;9;27;45;24;4;6;2;3;0;
430003415000006;8;0;37150;37150;0;0;1;6;13;6;1;1;0;0;0;
430003425000001;8;0;223810;223810;0;5;14;38;57;19;5;2;5;3;3;
430003425000002;8;0;170996;170996;0;1;10;17;54;33;4;3;0;1;3;
430003425000003;8;0;223722;223722;0;9;8;36;30;23;9;9;1;0;2;
430003425000004;8;0;231614;231614;0;6;20;34;36;18;4;7;5;0;0;
430003435000001;8;0;69750;69750;0;1;3;8;17;25;4;0;1;0;1;
430003435000002;8;0;52989;52989;0;1;3;8;4;13;5;1;1;1;3;
430005905000001;1;1;1185149;1184579;570;2;10;48;146;170;40;19;7;6;2;
430005905000002;8;0;101490;101490;0;0;2;3;6;17;4;5;0;0;1;
430005905000003;8;0;317315;317315;0;1;5;12;39;43;14;9;3;1;1;
430005905000004;8;0;10017;10017;0;1;0;2;5;2;0;0;0;0;1;
430005905000005;8;0;373960;373960;0;1;4;6;8;2;1;1;1;3;5;
430005905000006;7;0;31810;31810;0;2;8;14;8;4;0;0;0;0;4;
430005905000007;8;0;163361;163361;0;0;4;7;22;11;4;4;1;1;0;
430005905000008;8;0;79010;79010;0;0;0;2;6;8;2;5;0;0;0;
430005905000009;8;0;331116;331116;0;0;2;8;22;16;6;13;2;2;2;
430005915000001;1;0;24695;24695;0;0;1;4;4;7;0;1;0;0;0;
430005915000002;8;0;181153;181153;0;1;5;11;32;30;6;6;0;0;3;
430005925000001;1;0;16975;16975;0;0;2;0;6;1;1;1;0;0;0;
430005925000002;8;0;146340;146340;0;0;4;7;30;30;8;2;0;0;5;
430005928000001;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
430005928000002;8;0;95444;95444;0;0;1;2;20;17;6;0;0;1;0;
430005928000003;8;2;82888;82589;299;2;1;10;20;13;4;1;0;0;0;
430005928000004;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
430010905000001;1;0;624496;624496;0;2;4;16;95;103;26;13;8;4;0;
430010905000002;1;0;628549;628549;0;1;4;21;99;109;29;12;11;1;2;
430010905000003;1;1;926260;925060;1200;0;4;24;81;131;55;30;24;5;6;
430010905000004;1;0;1038387;1038387;0;0;1;19;112;149;53;42;18;7;3;
430010905000005;1;0;1035698;1035698;0;1;3;20;101;154;54;42;16;4;1;
430010905000006;1;0;276857;276857;0;4;14;47;123;40;6;1;0;0;3;
430010905000007;8;0;322330;322330;0;5;13;22;56;58;12;6;2;1;3;
430010905000008;8;2;324237;317531;6706;1;7;23;58;44;11;7;2;1;1;
430010905000009;8;0;289532;289532;0;15;15;31;64;50;11;6;0;0;9;
430010905000010;8;1;361054;359566;1488;4;21;35;73;78;9;2;0;1;1;
430010905000011;8;0;696245;696245;0;3;3;13;45;96;37;11;5;3;2;
430010905000012;8;0;291296;291296;0;0;4;15;40;64;13;4;1;0;0;
430010905000013;8;0;216459;216459;0;1;2;14;33;36;17;0;1;0;0;
430010905000014;8;0;448427;448427;0;2;7;14;74;89;24;5;0;0;7;
430010905000015;8;0;413272;413272;0;2;16;42;93;84;14;5;1;0;1;
430010905000016;8;0;253596;253596;0;2;10;39;61;53;8;1;1;0;0;
430010905000017;8;0;243938;243938;0;0;4;8;54;50;12;5;1;0;1;
430010905000018;8;0;665858;665858;0;0;8;18;59;108;43;16;3;0;0;
430010905000019;8;2;333653;332923;730;1;3;17;44;33;10;14;5;2;5;
430010905000020;8;0;722458;722458;0;2;10;33;48;62;24;20;17;3;2;
430010905000021;8;0;270990;270990;0;0;0;9;31;30;5;8;1;2;0;
430010905000022;8;0;407022;407022;0;1;3;17;35;28;8;2;6;3;1;
430010905000023;8;0;413746;413746;0;2;15;28;73;60;20;7;4;0;1;
430010905000024;1;0;414357;414357;0;0;3;18;90;90;19;8;2;1;0;
430010905000025;1;0;181830;181830;0;18;26;60;90;17;1;2;0;0;7;
430020805000001;1;1;730763;730463;300;0;1;7;69;135;39;32;9;1;2;
430020805000002;1;1;429710;427360;2350;0;3;6;55;75;23;15;7;1;1;
430020805000003;1;0;530707;530707;0;6;21;65;162;108;11;6;0;0;2;
430020805000004;1;2;539971;535701;4270;1;13;37;98;88;37;9;6;0;0;
430020805000005;8;4;336346;331558;4788;2;5;15;38;52;8;9;3;1;1;
430020805000006;8;0;590476;590476;0;2;6;18;38;63;15;20;15;2;1;
430020805000007;8;0;137964;137964;0;0;6;10;17;13;3;3;4;1;0;
430020805000008;5;0;101556;101556;0;0;4;6;20;12;8;2;0;0;0;
430020805000009;8;1;303505;303405;100;1;3;23;37;42;13;8;5;1;0;
430020805000010;3;0;27936;27936;0;1;3;8;13;1;0;1;0;0;0;
430020805000011;8;0;254644;254644;0;1;2;5;30;19;8;9;2;2;0;
430020805000012;8;2;272067;271217;850;0;3;12;25;24;13;11;5;0;1;
430020805000013;1;0;404390;404390;0;0;5;18;67;76;20;4;5;1;2;
430020815000001;1;0;81069;81069;0;0;9;11;17;11;4;1;1;0;0;
430020815000002;8;0;259105;259105;0;1;1;17;43;37;11;7;3;0;0;
430020815000003;8;0;714802;714802;0;1;2;14;30;38;18;22;11;8;0;
430020815000004;8;0;156310;156310;0;0;2;4;10;14;6;5;2;2;0;
430030705000001;1;0;280896;280896;0;3;2;9;22;55;18;10;2;0;14;
430030705000002;1;0;300267;300267;0;6;5;35;97;68;13;4;1;0;3;
430030705000003;8;0;82013;82013;0;8;12;17;26;13;2;2;0;0;6;
430030705000004;8;1;129140;128640;500;8;13;38;66;20;2;0;0;0;1;
430030705000005;8;0;120887;120887;0;7;10;18;36;17;1;1;3;0;3;
430030705000006;8;0;93381;93381;0;8;6;17;34;22;2;0;0;0;0;
430030705000007;8;0;54027;54027;0;8;4;8;20;17;1;1;0;0;5;
430030705000008;7;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
430030705000009;7;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
430030705000010;8;0;74298;74298;0;12;15;21;34;12;0;1;0;0;1;
430030705000011;8;0;32659;32659;0;5;14;13;14;3;0;0;0;0;4;
430030705000012;8;0;51013;51013;0;6;7;11;29;5;1;0;0;0;1;
430030705000013;8;0;92715;92715;0;0;3;9;16;14;5;1;1;1;4;
430030705000014;8;1;178014;176414;1600;1;3;12;38;41;8;2;0;0;0;
430030705000015;8;0;166545;166545;0;2;8;26;38;26;5;5;0;0;2;
430030705000016;8;1;131761;131183;578;8;9;25;45;26;6;0;0;0;0;
430030705000017;8;0;65001;65001;0;6;6;6;20;13;1;2;0;0;8;
430030705000018;8;0;78892;78892;0;8;8;22;35;14;2;0;0;0;5;
430030705000019;8;0;31170;31170;0;3;3;9;12;4;1;0;0;0;1;
430030705000020;8;0;95348;95348;0;5;12;12;28;19;3;2;1;0;0;
430030705000021;8;0;46953;46953;0;2;4;8;13;9;4;0;0;0;0;
430030705000022;8;0;36971;36971;0;3;1;4;12;4;0;2;0;0;0;
430030705000023;8;0;85286;85286;0;4;8;9;13;15;1;2;1;0;8;
430030705000024;8;0;96015;96015;0;10;10;17;36;21;4;0;0;0;2;
430030705000025;8;0;62815;62815;0;5;12;12;32;12;0;1;0;0;2;
430030705000026;1;0;414563;414563;0;1;5;16;56;91;21;8;5;2;3;
430030705000027;1;0;496879;496879;0;0;1;20;88;83;16;12;5;5;1;
430040605000001;8;0;87447;87447;0;0;1;19;23;21;2;4;1;0;1;
430040605000002;8;35;97432;92526;4906;30;7;20;22;32;2;5;1;0;28;
430040605000003;8;1;220170;219770;400;0;7;28;49;40;7;8;4;0;2;
430040605000004;8;0;255194;255194;0;0;1;11;25;17;4;5;8;3;5;
430040605000005;8;1;137493;137293;200;0;2;19;27;18;6;1;0;3;6;
430040605000006;8;0;129305;129305;0;0;1;23;48;14;5;3;2;0;0;
430040605000007;8;0;137391;137391;0;0;5;25;58;23;1;0;1;1;0;
430040605000008;8;0;147487;147487;0;0;0;16;26;21;3;1;4;2;0;
430040605000009;8;3;150208;148536;1672;3;11;21;51;11;4;4;0;1;3;
430040605000010;8;0;130506;130506;0;3;10;22;38;26;3;0;1;0;2;
430040605000012;8;0;110454;110454;0;3;10;22;32;21;4;5;3;0;2;
430040605000013;8;0;109248;109248;0;0;1;18;23;10;4;2;0;1;3;
430040605000014;8;0;56493;56493;0;0;4;14;16;10;2;0;2;0;0;
430040605000015;8;0;411737;411737;0;4;2;22;29;27;6;5;1;1;3;
430040605000016;8;1;203022;202480;542;0;18;38;55;23;6;1;3;2;1;
430040605000017;8;0;178401;178401;0;2;8;34;38;20;0;1;4;5;5;
430040605000018;8;0;28630;28630;0;0;0;7;8;9;0;2;0;0;0;
430040605000019;8;0;77957;77957;0;0;2;6;21;24;2;1;1;0;0;
430040605000020;8;0;224481;224481;0;0;3;25;33;35;5;2;1;3;4;
430040605000021;8;0;82435;82435;0;0;3;28;27;18;2;0;0;1;0;
430040605000022;8;1;51898;51298;600;0;2;10;27;5;1;0;1;0;3;
