Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
420005105000001;1;0;459444;459444;0;2;5;32;67;88;23;11;5;0;1;
420005105000002;8;0;169102;169102;0;1;9;21;52;26;3;1;0;1;0;
420005105000003;8;1;149927;149927;0;6;17;33;45;27;3;3;0;0;6;
420005105000004;8;1;147587;147137;450;8;28;34;48;23;2;2;0;0;0;
420005105000005;8;0;256033;256033;0;12;27;43;76;44;10;3;0;0;0;
420010105000001;1;0;730166;730166;0;2;21;97;167;96;25;16;5;2;1;
420010105000002;1;0;364261;364261;0;2;14;52;118;60;5;4;0;0;5;
420010105000003;1;0;572519;572519;0;2;10;38;136;106;25;11;1;0;2;
420010105000004;1;0;899051;899051;0;1;1;16;75;100;49;39;25;2;2;
420010105000005;1;0;769707;769707;0;1;7;20;64;109;43;31;10;3;2;
420010105000006;1;0;138992;138992;0;1;7;21;43;26;3;1;1;0;1;
420010105000007;1;0;464516;464516;0;0;8;27;85;83;23;6;3;0;2;
420010105000008;1;0;339664;339664;0;0;0;4;30;41;15;17;4;3;1;
420010105000009;1;0;651361;651361;0;2;9;34;116;104;28;9;3;2;0;
420010105000010;1;0;530438;530438;0;1;4;13;43;74;26;20;4;2;1;
420010105000011;3;2;46594;45574;1020;0;2;7;15;10;0;0;0;0;0;
420010105000012;3;0;17640;17640;0;1;1;1;4;3;0;0;0;1;0;
420010105000013;3;0;14259;14259;0;0;1;1;5;4;0;0;0;0;0;
420010105000014;3;0;102069;102069;0;1;7;15;15;8;2;0;0;1;0;
420010105000015;3;0;15450;15450;0;0;0;3;7;2;0;0;0;0;1;
420010105000016;8;0;76925;76925;0;0;4;18;29;10;1;0;1;0;0;
420010105000017;8;0;84212;84212;0;1;2;8;24;10;1;4;0;0;0;
420010105000018;8;0;282608;282608;0;4;15;53;91;33;5;6;0;0;0;
420010105000019;8;0;51865;51865;0;0;2;8;17;6;1;0;0;0;3;
420010105000020;8;0;124580;124580;0;4;8;21;24;14;5;4;0;0;4;
420010105000021;8;3;379485;376825;2660;2;13;26;75;40;6;4;2;3;0;
420010105000022;7;1;80488;79978;510;9;29;29;20;7;3;2;0;0;2;
420010105000023;7;0;67392;67392;0;8;18;20;18;11;1;0;0;0;3;
420010105000024;7;1;75804;75704;100;4;2;12;17;6;5;2;0;0;3;
420010105000025;8;2;94192;92742;1450;19;20;21;35;8;1;1;0;0;3;
420010105000026;7;0;61090;61090;0;6;21;19;20;8;2;0;0;0;1;
420010105000027;8;0;5062;5062;0;0;1;0;0;3;0;0;0;0;2;
420010105000028;7;3;104901;102746;2155;8;10;29;29;15;1;2;0;0;3;
420010105000029;7;0;42948;42948;0;8;13;21;24;1;0;0;0;0;2;
420010105000030;7;0;22512;22512;0;5;9;11;9;0;0;0;0;0;2;
420010105000031;7;0;28296;28296;0;19;12;8;10;2;0;0;0;0;7;
420010105000032;7;0;74322;74322;0;3;15;21;21;10;2;1;0;0;1;
420010105000033;7;1;25545;25545;0;15;7;9;8;3;0;0;0;0;14;
420010105000034;7;0;51519;51519;0;9;13;24;17;4;0;0;0;0;30;
420010105000035;7;0;50460;50460;0;12;13;22;11;4;1;0;0;0;26;
420010105000036;8;0;7272;7272;0;9;7;3;0;1;0;0;0;0;19;
420010105000037;7;0;127604;127604;0;27;19;34;22;25;4;1;0;0;9;
420010105000038;7;0;73744;73744;0;13;24;12;12;9;2;2;0;0;22;
420010105000039;8;0;52400;52400;0;2;4;17;15;3;2;0;1;0;6;
420010105000040;8;1;157726;156586;1140;3;9;30;55;17;5;3;1;0;1;
420010105000041;8;0;19112;19112;0;1;0;1;3;2;1;0;1;0;0;
420010105000042;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
420010105000043;8;0;5490;5490;0;0;0;2;1;2;0;0;0;0;0;
420010105000044;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
420010105000046;1;0;17366;17366;0;1;4;7;4;2;0;0;0;0;0;
420010105000048;3;0;17550;17550;0;0;0;2;6;1;0;1;0;0;0;
420010105000050;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
420010105000052;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
420010105000053;8;0;10920;10920;0;0;0;1;6;2;0;0;0;0;1;
420010105000054;1;1;161562;159892;1670;18;38;80;47;15;0;0;0;0;4;
420010105000055;8;0;7350;7350;0;0;0;1;3;0;0;1;0;0;0;
420020005000001;1;1;361746;361236;510;0;0;10;41;77;24;7;3;0;1;
420020005000002;1;0;737976;737976;0;0;2;13;47;92;40;31;15;2;2;
420020005000003;1;1;400074;399574;500;0;2;16;67;79;16;6;6;1;0;
420020005000004;1;0;460122;460122;0;0;0;5;30;81;25;16;3;4;0;
420020005000005;1;0;228282;228282;0;0;1;6;18;41;8;5;2;2;1;
420020005000009;1;0;463475;463475;0;0;0;11;56;108;25;5;4;0;0;
420020005000010;1;0;502488;502488;0;2;2;6;51;97;37;14;2;1;1;
420020005000011;1;0;481987;481987;0;4;3;21;76;106;22;6;2;1;14;
420020005000012;8;1;378572;377972;600;0;4;10;63;85;22;1;1;0;1;
420020005000013;8;0;259924;259924;0;0;2;18;54;50;12;2;0;0;2;
420020005000014;8;0;252561;252561;0;5;2;18;60;46;10;5;1;0;1;
420020005000015;8;0;243186;243186;0;5;11;28;73;40;7;2;0;0;4;
420020005000016;8;0;98997;98997;0;4;9;26;45;12;2;0;0;0;0;
420020005000017;8;1;271391;270741;650;3;5;15;54;61;8;3;2;0;0;
420020005000018;1;0;268137;268137;0;0;3;10;46;47;12;8;3;0;2;
420020005000019;1;1;272033;271391;642;0;3;15;54;73;11;1;1;0;0;
420020005000020;1;0;298745;298745;0;0;0;3;22;57;13;13;4;1;0;
420020005000021;8;0;236677;236677;0;1;4;11;54;47;10;2;0;0;2;
420030905000001;1;0;300196;300196;0;0;0;4;17;36;19;12;7;0;0;
420030905000002;1;0;368067;368067;0;0;1;5;27;64;29;5;6;0;1;
420030905000003;1;0;11090;11090;0;0;0;0;1;4;1;0;0;0;1;
420030905000004;1;0;35280;35280;0;0;0;0;5;6;0;4;0;0;0;
420030905000005;1;0;15170;15170;0;0;0;3;4;3;0;0;0;0;0;
420030905000006;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
420030905000007;8;1;195878;192268;3610;0;6;15;30;32;4;3;3;0;1;
420030905000008;8;0;936904;936904;0;0;0;11;64;73;21;13;4;3;1;
420030905000009;8;0;284822;284822;0;0;4;8;29;34;13;11;5;0;1;
420030905000010;8;0;283469;283469;0;0;1;15;46;36;10;3;2;1;3;
