Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
420005105000001;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;2;2;0;0;1;1;0;0;0;0;0;1;2;2;2;0;1;0;0;1;1;1;2;1;0;0;0;1;1;2;0;0;0;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;1;1;4;4;2;3;3;5;2;2;0;1
420005105000002;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;1;1;2;1;0;2;0;0
420005105000003;8;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;2;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;13;0;0;0;0;2;0;2;1;1;1;2;4;0;0;0
420005105000004;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1
420005105000005;8;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;2;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;1;1;0;3;2;2;2;3;1;2;0;4
420010105000001;1;195;0;0;0;1;0;1;4;5;2;3;2;5;3;4;5;3;3;4;3;8;2;3;4;4;6;3;3;1;3;0;3;4;6;4;4;3;6;4;4;5;3;3;1;3;4;2;4;4;3;1;4;1;4;4;2;4;1;3;2;1;2;1;0;0;4;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;160;1;15;19;20;17;10;18;17;11;10;8;6;5;2;1
420010105000002;1;72;0;0;0;0;0;0;0;0;1;0;1;0;1;2;0;1;0;1;0;1;0;3;0;0;1;1;0;4;3;1;4;3;3;3;1;2;1;0;1;1;1;1;2;0;0;1;1;0;1;1;0;0;2;1;2;0;0;1;0;1;1;1;3;1;2;1;1;1;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;50;0;1;4;3;3;8;13;4;2;2;2;0;5;3;0
420010105000003;1;110;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;3;3;0;2;1;1;1;1;0;2;1;2;0;2;4;2;5;3;2;5;4;2;0;0;4;2;2;4;1;1;2;0;2;3;2;3;2;1;1;5;2;3;1;2;0;1;0;0;2;2;1;1;1;2;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;92;0;2;4;9;4;6;16;11;11;7;4;10;2;5;1
420010105000004;1;179;0;0;0;0;0;3;1;2;2;2;2;4;1;4;5;2;3;5;5;4;5;3;5;7;1;2;6;3;5;3;5;1;4;2;4;2;2;4;6;3;4;3;9;1;0;5;3;3;1;2;0;3;1;5;3;0;1;0;2;0;4;0;2;2;1;1;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;177;0;10;16;19;21;19;16;17;17;14;12;3;8;2;3
420010105000005;1;85;0;0;1;0;2;2;0;0;1;1;2;1;2;0;0;1;1;2;2;4;0;1;2;0;1;1;1;0;5;0;0;3;2;3;1;0;0;0;3;0;2;2;1;2;2;2;1;2;1;2;0;2;2;1;0;1;1;0;2;1;0;0;4;1;1;2;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;80;3;4;5;10;4;7;9;3;8;8;2;5;5;4;3
