Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
280010005000001;1;4;263997;261647;2350;27;38;83;77;30;4;5;1;0;2;
280010005000002;1;0;178925;178925;0;6;7;44;54;16;3;5;0;1;3;
280010005000003;1;0;91417;91417;0;30;24;47;27;6;4;0;0;0;1;
280010005000004;8;0;62218;62218;0;25;23;29;27;3;1;0;0;0;4;
280010005000005;8;0;11121;11121;0;5;5;3;4;3;0;0;0;0;0;
280010005000006;1;0;5607;5607;0;1;1;5;1;1;0;0;0;0;0;
280020905000001;1;0;175481;175481;0;25;42;65;75;19;3;2;1;0;10;
280020905000002;1;4;163250;158520;4730;11;17;33;50;22;5;3;1;0;3;
280020905000003;1;0;217823;217823;0;6;10;36;66;29;11;6;2;0;5;
280020905000004;1;2;257040;252290;4750;31;65;102;79;21;5;1;0;0;11;
280020905000005;1;0;213244;213244;0;11;12;52;57;31;5;3;1;0;7;
280020905000006;1;0;342929;342929;0;32;58;100;82;40;8;8;6;0;6;
280020905000007;1;0;391881;391881;0;5;21;42;91;52;23;7;3;0;7;
280020905000008;1;0;321973;321973;0;3;18;37;72;29;11;10;7;0;0;
280020905000009;1;0;440462;440462;0;10;32;61;79;46;22;10;5;0;3;
280020905000010;1;0;268823;268823;0;29;35;70;88;38;6;3;0;0;35;
280020905000011;1;0;199795;199795;0;54;64;61;54;17;6;2;0;1;12;
280020905000012;1;1;104721;104211;510;17;42;47;40;11;1;0;0;0;2;
280020905000013;8;0;89434;89434;0;38;53;35;33;3;3;0;0;0;23;
280020905000014;5;0;111133;111133;0;11;21;66;48;8;0;0;0;0;4;
280020905000015;8;0;42070;42070;0;10;21;17;16;1;0;0;1;0;3;
280020905000016;5;0;60665;60665;0;35;34;24;22;3;0;0;0;0;3;
280020905000017;5;2;80693;80175;518;5;24;40;33;5;1;2;0;0;1;
280020905000018;5;0;45432;45432;0;2;9;14;22;4;0;0;0;0;0;
280020905000019;8;0;130005;130005;0;16;37;49;53;11;2;0;0;0;5;
280020905000020;8;1;106987;106477;510;28;35;49;49;6;0;1;0;0;16;
280020905000021;8;0;100363;100363;0;40;36;47;47;3;0;1;0;0;14;
280020905000022;5;0;39438;39438;0;11;25;24;15;3;0;0;0;0;0;
280020905000023;8;0;35534;35534;0;17;6;18;14;3;0;0;0;0;4;
280020905000024;8;0;32516;32516;0;11;15;7;18;3;0;0;0;0;5;
280020905000025;5;0;89401;89401;0;23;24;30;29;6;0;1;0;1;2;
280020905000026;8;0;120674;120674;0;33;37;49;48;9;1;1;0;0;15;
280020905000027;5;0;50851;50851;0;14;17;16;20;4;0;0;0;0;1;
280020905000028;8;0;99411;99411;0;22;34;54;37;2;0;2;0;0;25;
280020905000029;8;0;78520;78520;0;16;32;36;22;7;1;0;1;0;3;
280020905000030;5;1;33084;32922;162;12;10;9;17;2;0;0;0;0;0;
280020905000031;5;0;17788;17788;0;12;1;8;7;3;0;0;0;0;11;
280020905000032;5;0;56597;56597;0;8;26;26;22;5;0;1;0;0;0;
280020905000033;5;2;32725;31655;1070;10;14;15;21;0;0;0;0;0;1;
280020905000034;5;0;16090;16090;0;14;8;15;3;0;0;0;0;0;3;
280020905000035;5;0;33552;33552;0;9;15;12;12;1;0;0;0;0;1;
280020905000036;5;0;10851;10851;0;7;4;6;5;1;0;0;0;0;2;
280020905000037;1;0;198155;198155;0;27;57;69;69;16;5;2;0;0;5;
280020905000038;1;0;216118;216118;0;24;66;110;90;12;1;0;1;0;6;
