Cod_setor;Situacao_setor;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;V256;V257;V258;V259;V260;V261;V262;V263;V264;V265;V266;V267;V268;V269;V270;V271;V272;V273;V274;V275;V276;V277;V278;V279;V280;V281;V282;V283;V284;V285;V286;V287;V288;V289;V290;V291;V292;V293;V294;V295;V296;V297;V298;V299;V300;V301;V302;V303;V304;V305;V306;V307;V308;V309;V310;V311;V312;V313;V314;V315;V316;V317;V318;V319;V320;V321;V322;V323;V324;V325;V326;V327;V328;V329;V330;V331;V332;V333;V334;V335;V336;V337;V338;V339;V340;V341;V342;V343;V344;V345;V346;V347;V348;V349;V350;V351;V352;V353;V354;V355;V356;V357;V358;V359;V360;V361;V362;V363;V364;V365;V366;V367;V368;V369;V370;V371;V372;V373;V374;V375;V376;V377;V378;V379;V380;V381;V382;V383;V384;V385;V386;V387;V388;V389;V390;V391;V392;V393;V394;V395;V396;V397;V398;V399;V400;V401;V402;V403;V404;V405;V406;V407;V408;V409;V410;V411;V412;V413;V414;V415;V416;V417;V418;V419;V420;V421
280010005000001;1;9;69;32;153;0;0;78;0;184;1;0;0;78;0;185;0;0;0;78;0;181;4;0;0;78;0;185;0;0;0;11;67;29;156;0;0;0;78;0;185;0;0;54;24;158;27;0;0;27;51;70;115;0;0;0;78;0;185;0;0;10;55;11;70;14;63;1;27;5;5;0;2;64;1;81;0;77;0;28;0;10;0;2;0;65;0;81;0;77;0;28;0;10;0;2;0;64;1;81;0;76;1;26;2;10;0;2;0;65;0;81;0;77;0;28;0;10;0;2;0;12;53;11;70;11;66;3;25;3;7;0;2;0;65;0;81;0;77;0;28;0;10;0;2;51;14;60;21;67;10;22;6;10;0;2;0;25;40;27;54;29;48;11;17;4;6;1;1;0;65;0;81;0;77;0;28;0;10;0;2;21;141;20;81;161;1;101;0;162;0;101;0;159;3;100;1;162;0;101;0;29;133;11;90;0;162;0;101;126;36;86;15;54;108;43;58;0;162;0;101
280010005000002;1;17;18;28;67;0;0;35;0;94;1;0;0;35;0;94;1;0;0;35;0;94;1;0;0;35;0;94;1;0;0;0;35;0;95;0;0;0;35;0;95;0;0;25;10;73;22;0;0;9;26;1;94;0;0;0;35;0;95;0;0;6;7;14;30;15;32;6;10;3;4;1;2;13;0;43;1;47;0;16;0;7;0;3;0;13;0;43;1;47;0;16;0;7;0;3;0;13;0;43;1;47;0;16;0;7;0;3;0;13;0;43;1;47;0;16;0;7;0;3;0;0;13;0;44;0;47;0;16;0;7;0;3;0;13;0;44;0;47;0;16;0;7;0;3;13;0;32;12;37;10;9;7;5;2;2;1;0;13;6;38;2;45;2;14;0;7;0;3;0;13;0;44;0;47;0;16;0;7;0;3;18;47;27;38;64;1;65;0;64;1;65;0;64;1;65;0;64;1;65;0;0;65;0;65;0;65;0;65;48;17;50;15;3;62;7;58;0;65;0;65
280010005000003;1;0;10;0;127;0;2;10;0;125;2;0;2;10;0;125;2;0;2;10;0;123;4;0;2;10;0;125;2;0;2;0;10;0;127;0;2;0;10;0;127;0;2;0;10;80;47;0;2;0;10;0;127;0;2;0;10;0;127;0;2;0;54;0;47;0;27;0;6;0;4;0;1;51;3;46;1;27;0;6;0;4;0;1;0;51;3;46;1;27;0;6;0;4;0;1;0;51;3;46;1;25;2;6;0;4;0;1;0;51;3;46;1;27;0;6;0;4;0;1;0;0;54;0;47;0;27;0;6;0;4;0;1;0;54;0;47;0;27;0;6;0;4;0;1;32;22;28;19;14;13;3;3;3;1;0;1;0;54;0;47;0;27;0;6;0;4;0;1;0;54;0;47;0;27;0;6;0;4;0;1;0;71;0;68;68;3;67;1;68;3;67;1;68;3;65;3;68;3;67;1;0;71;0;68;0;71;0;68;39;32;41;27;0;71;0;68;0;71;0;68
280010005000004;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280010005000005;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280010005000006;1;0;0;0;8;0;1;0;0;7;1;1;0;0;0;8;0;1;0;0;0;0;8;0;1;0;0;8;0;1;0;0;0;0;8;0;1;0;0;0;8;0;1;0;0;0;8;0;1;0;0;0;8;0;1;0;0;0;8;0;1;0;2;0;5;0;1;0;1;0;0;0;0;1;1;5;0;1;0;1;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;2;0;5;0;1;0;1;0;0;0;0;0;8;0;1;8;0;0;1;8;0;1;0;0;8;0;1;8;0;1;0;0;8;0;1;0;8;0;1;0;8;0;1;0;8;0;1;0;8;0;1
280020905000001;1;0;91;0;150;0;1;91;0;139;11;1;0;91;0;124;26;0;1;70;21;85;65;0;1;91;0;97;53;0;1;42;49;39;111;0;1;0;91;0;150;0;1;48;43;15;135;0;1;8;83;28;122;0;1;0;91;0;150;0;1;0;67;0;65;0;75;0;19;0;6;0;10;66;1;61;4;71;4;18;1;6;0;9;1;61;6;55;10;68;7;18;1;6;0;7;3;46;21;35;30;48;27;16;3;4;2;6;4;54;13;45;20;57;18;18;1;6;0;8;2;19;48;22;43;29;46;7;12;1;5;3;7;0;67;0;65;0;75;0;19;0;6;0;10;14;53;10;55;24;51;9;10;5;1;1;9;12;55;10;55;7;68;3;16;0;6;4;6;0;67;0;65;0;75;0;19;0;6;0;10;0;154;0;88;145;9;86;2;132;22;83;5;96;58;59;29;119;35;69;19;49;105;32;56;0;154;0;88;42;112;21;67;19;135;17;71;0;154;0;88
280020905000002;1;43;14;35;49;0;0;57;0;84;0;0;0;52;5;82;2;0;0;57;0;84;0;0;0;57;0;84;0;0;0;43;14;35;49;0;0;0;57;0;84;0;0;43;14;35;49;0;0;56;1;84;0;0;0;0;57;0;84;0;0;10;18;17;16;29;18;14;7;7;2;1;2;28;0;33;0;47;0;21;0;9;0;3;0;26;2;30;3;45;2;21;0;9;0;3;0;28;0;33;0;47;0;21;0;9;0;3;0;28;0;33;0;47;0;21;0;9;0;3;0;10;18;17;16;29;18;14;7;7;2;1;2;0;28;0;33;0;47;0;21;0;9;0;3;10;18;17;16;29;18;14;7;7;2;1;2;28;0;32;1;47;0;21;0;9;0;3;0;0;28;0;33;0;47;0;21;0;9;0;3;45;35;33;28;80;0;61;0;74;6;60;1;80;0;61;0;80;0;61;0;45;35;33;28;0;80;0;61;45;35;33;28;80;0;60;1;0;80;0;61
280020905000003;1;48;17;19;87;0;0;64;1;104;2;0;0;65;0;100;6;0;0;63;2;80;26;0;0;63;2;80;26;0;0;8;57;0;106;0;0;0;65;0;106;0;0;55;10;20;86;0;0;8;57;60;46;0;0;0;65;0;106;0;0;1;15;4;32;26;40;19;10;16;3;1;4;16;0;35;1;64;2;29;0;19;0;5;0;16;0;33;3;63;3;29;0;19;0;5;0;11;5;26;10;57;9;28;1;18;1;3;2;11;5;26;10;57;9;28;1;18;1;3;2;0;16;0;36;3;63;2;27;2;17;1;4;0;16;0;36;0;66;0;29;0;19;0;5;1;15;5;31;28;38;21;8;17;2;3;2;10;6;21;15;29;37;7;22;1;18;0;5;0;16;0;36;0;66;0;29;0;19;0;5;38;61;29;43;97;2;71;1;97;2;68;4;80;19;63;9;80;19;63;9;7;92;1;71;0;99;0;72;45;54;30;42;35;64;33;39;0;99;0;72
280020905000004;1;61;48;41;163;0;0;109;0;198;6;0;0;96;13;142;62;0;0;93;16;137;67;0;0;96;13;141;63;0;0;25;84;7;197;0;0;0;109;0;204;0;0;73;36;90;114;0;0;28;81;93;111;0;0;6;103;8;196;0;0;18;78;33;69;34;45;11;9;4;2;2;8;95;1;99;3;78;1;20;0;5;1;10;0;66;30;74;28;66;13;19;1;6;0;7;3;64;32;71;31;65;14;17;3;6;0;7;3;66;30;73;29;66;13;19;1;6;0;7;3;6;90;11;91;8;71;4;16;2;4;1;9;0;96;0;102;0;79;0;20;0;6;0;10;33;63;55;47;53;26;14;6;5;1;3;7;44;52;35;67;30;49;7;13;2;4;3;7;5;91;4;98;3;76;1;19;0;6;1;9;60;124;42;87;179;5;128;1;140;44;98;31;135;49;95;34;139;45;98;31;20;164;12;117;0;184;0;129;95;89;68;61;72;112;49;80;6;178;8;121
