Cod_setor;Situacao_setor;V001;V002;V003
280010005000001;1;190;0;0
280010005000002;1;56;0;0
280010005000003;1;100;0;0
280010005000004;8;83;1;0
280010005000005;8;7;0;0
280010005000006;1;3;0;0
280020905000001;1;133;2;2
280020905000002;1;78;0;0
280020905000003;1;56;0;0
280020905000004;1;193;1;0
280020905000005;1;108;0;0
280020905000006;1;208;0;0
280020905000007;1;124;0;0
280020905000008;1;75;0;0
280020905000009;1;152;0;0
280020905000010;1;194;0;0
280020905000011;1;208;2;0
280020905000012;1;125;0;0
280020905000013;8;139;0;0
280020905000014;5;93;0;0
280020905000015;8;76;1;0
280020905000016;5;135;1;3
280020905000017;5;54;0;0
280020905000018;5;26;0;0
280020905000019;8;108;2;1
280020905000020;8;116;0;0
280020905000021;8;107;0;0
280020905000022;5;38;0;0
280020905000023;8;46;0;0
280020905000024;8;33;0;0
280020905000025;5;79;0;0
280020905000026;8;147;0;0
280020905000027;5;53;0;0
280020905000028;8;115;2;0
280020905000029;8;73;2;0
280020905000030;5;28;0;0
280020905000031;5;27;0;0
280020905000032;5;47;1;0
280020905000033;5;35;0;0
280020905000034;5;31;4;0
280020905000035;5;44;0;0
280020905000036;5;9;0;0
280020905000037;1;187;0;0
280020905000038;1;229;1;0
280020905000039;1;112;2;0
280030805000001;1;8;0;0
280030805000002;1;26;1;0
280030805000003;1;6;0;0
280030805000004;1;12;0;1
280030805000005;1;20;0;0
280030805000006;1;56;0;0
280030805000007;1;41;0;0
280030805000008;1;32;0;0
280030805000009;1;38;0;0
280030805000010;1;81;0;0
280030805000011;1;9;0;0
280030805000012;1;36;0;0
280030805000013;1;53;0;0
280030805000014;1;79;0;0
280030805000015;1;95;0;0
280030805000016;1;117;1;0
280030805000017;1;23;0;0
280030805000018;1;48;0;0
280030805000019;1;53;0;0
280030805000020;1;34;0;0
280030805000021;1;57;0;0
280030805000022;1;54;0;0
280030805000023;1;49;0;0
280030805000024;1;28;0;0
280030805000025;1;36;0;0
280030805000026;1;70;0;0
280030805000027;1;64;0;0
280030805000028;1;50;0;0
280030805000029;1;60;0;0
280030805000030;1;53;0;0
280030805000031;1;69;0;0
280030805000032;1;48;0;0
280030805000033;1;42;0;0
280030805000034;1;64;0;0
280030805000035;1;80;0;0
280030805000036;1;73;0;0
280030805000037;1;17;0;0
280030805000038;1;51;0;0
280030805000039;1;53;0;0
280030805000040;1;51;0;0
280030805000041;1;60;0;0
280030805000042;1;104;0;0
280030805000043;1;138;0;0
280030805000044;1;113;0;0
280030805000045;1;135;0;0
280030805000046;1;77;0;0
280030805000047;1;57;0;0
280030805000048;1;56;0;0
280030805000049;1;15;0;0
280030805000050;1;85;0;0
280030805000051;1;83;0;0
280030805000052;1;78;0;0
280030805000053;1;52;0;0
280030805000054;1;84;0;0
280030805000055;1;87;0;0
280030805000056;1;53;0;0
280030805000057;1;57;0;0
280030805000058;1;134;0;0
280030805000059;1;85;0;0
280030805000060;1;67;0;0
280030805000061;1;76;0;0
280030805000062;1;83;0;1
280030805000063;1;79;0;0
280030805000064;1;114;0;0
280030805000065;1;119;0;1
280030805000066;1;69;0;0
280030805000067;1;66;0;0
280030805000068;1;117;0;0
280030805000069;1;149;0;0
280030805000070;1;178;0;0
280030805000071;1;80;0;0
280030805000072;1;185;2;0
280030805000073;1;202;0;0
280030805000074;1;139;0;0
280030805000075;1;313;0;0
280030805000076;1;141;1;0
280030805000077;1;87;0;0
280030805000078;1;68;1;0
280030805000079;1;73;2;0
280030805000080;1;67;0;0
280030805000081;1;120;0;0
280030805000082;1;58;0;0
280030805000083;1;79;0;0
280030805000084;1;53;0;0
280030805000085;1;109;0;0
280030805000086;1;136;0;0
