Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
280010005000001;1;146;191;79;19;17;7;0;1;1;266;16380;89622;56992;25113;33640;22050;0;8000;12200;727;461;263997;50;98;42;12;14;5;0;1;1;148;5647;45924;29587;16383;28440;15050;0;8000;12200;371;223;161231;96;93;37;7;3;2;0;0;0;118;10733;43698;27405;8730;5200;7000;0;0;0;356;238;102766;145;189;77;19;17;7;0;1;1;265;16180;88762;55702;25113;33640;22050;0;8000;12200;721;456;261647;49;98;40;12;14;5;0;1;1;147;5447;45924;28297;16383;28440;15050;0;8000;12200;367;220;159741;96;91;37;7;3;2;0;0;0;118;10733;42838;27405;8730;5200;7000;0;0;0;354;236;101906;
280010005000002;1;51;141;33;8;11;7;1;0;1;125;7233;68935;27817;10900;21830;24760;5450;0;12000;378;253;178925;22;65;16;4;5;3;0;0;1;59;3347;31795;12770;5400;10250;11080;0;0;12000;175;116;86642;29;76;17;4;6;4;1;0;0;66;3886;37140;15047;5500;11580;13680;5450;0;0;203;137;92283;51;141;33;8;11;7;1;0;1;125;7233;68935;27817;10900;21830;24760;5450;0;12000;378;253;178925;22;65;16;4;5;3;0;0;1;59;3347;31795;12770;5400;10250;11080;0;0;12000;175;116;86642;29;76;17;4;6;4;1;0;0;66;3886;37140;15047;5500;11580;13680;5450;0;0;203;137;92283;
280010005000003;1;83;99;25;3;4;1;0;0;0;180;9894;48578;17785;3910;8250;3000;0;0;0;395;215;91417;38;54;9;1;2;1;0;0;0;98;4847;26184;7222;1250;4000;3000;0;0;0;203;105;46503;45;45;16;2;2;0;0;0;0;82;5047;22394;10563;2660;4250;0;0;0;0;192;110;44914;83;99;25;3;4;1;0;0;0;180;9894;48578;17785;3910;8250;3000;0;0;0;395;215;91417;38;54;9;1;2;1;0;0;0;98;4847;26184;7222;1250;4000;3000;0;0;0;203;105;46503;45;45;16;2;2;0;0;0;0;82;5047;22394;10563;2660;4250;0;0;0;0;192;110;44914;
280010005000004;8;91;81;5;2;1;1;0;0;0;115;11450;38455;4413;2600;2300;3000;0;0;0;296;181;62218;42;45;1;0;0;1;0;0;0;57;5641;20331;800;0;0;3000;0;0;0;146;89;29772;49;36;4;2;1;0;0;0;0;58;5809;18124;3613;2600;2300;0;0;0;0;150;92;32446;91;81;5;2;1;1;0;0;0;115;11450;38455;4413;2600;2300;3000;0;0;0;296;181;62218;42;45;1;0;0;1;0;0;0;57;5641;20331;800;0;0;3000;0;0;0;146;89;29772;49;36;4;2;1;0;0;0;0;58;5809;18124;3613;2600;2300;0;0;0;0;150;92;32446;
280010005000005;8;12;13;6;0;0;0;0;0;0;20;931;6160;4030;0;0;0;0;0;0;51;31;11121;4;6;5;0;0;0;0;0;0;11;336;2870;3390;0;0;0;0;0;0;26;15;6596;8;7;1;0;0;0;0;0;0;9;595;3290;640;0;0;0;0;0;0;25;16;4525;12;13;6;0;0;0;0;0;0;20;931;6160;4030;0;0;0;0;0;0;51;31;11121;4;6;5;0;0;0;0;0;0;11;336;2870;3390;0;0;0;0;0;0;26;15;6596;8;7;1;0;0;0;0;0;0;9;595;3290;640;0;0;0;0;0;0;25;16;4525;
280010005000006;1;6;6;3;0;0;0;0;0;0;10;918;2690;1999;0;0;0;0;0;0;25;15;5607;2;5;2;0;0;0;0;0;0;3;500;2180;1412;0;0;0;0;0;0;12;9;4092;4;1;1;0;0;0;0;0;0;7;418;510;587;0;0;0;0;0;0;13;6;1515;6;6;3;0;0;0;0;0;0;10;918;2690;1999;0;0;0;0;0;0;25;15;5607;2;5;2;0;0;0;0;0;0;3;500;2180;1412;0;0;0;0;0;0;12;9;4092;4;1;1;0;0;0;0;0;0;7;418;510;587;0;0;0;0;0;0;13;6;1515;
280020905000001;1;120;195;46;10;7;2;0;0;0;256;14147;92170;36421;13523;13370;5850;0;0;0;636;380;175481;39;113;29;8;5;2;0;0;0;121;5255;53286;22351;10900;9350;5850;0;0;0;317;196;106992;81;82;17;2;2;0;0;0;0;135;8892;38884;14070;2623;4020;0;0;0;0;319;184;68489;120;195;46;10;7;2;0;0;0;256;14147;92170;36421;13523;13370;5850;0;0;0;636;380;175481;39;113;29;8;5;2;0;0;0;121;5255;53286;22351;10900;9350;5850;0;0;0;317;196;106992;81;82;17;2;2;0;0;0;0;135;8892;38884;14070;2623;4020;0;0;0;0;319;184;68489;
280020905000002;1;38;122;54;14;7;5;0;1;0;137;5242;58373;43253;16782;15500;16300;0;8000;0;378;241;163450;20;59;27;5;4;2;0;1;0;54;3312;27690;21763;5880;9400;7000;0;8000;0;172;118;83045;18;63;27;9;3;3;0;0;0;83;1930;30683;21490;10902;6100;9300;0;0;0;206;123;80405;37;120;52;14;6;5;0;1;0;136;5042;57463;41633;16782;13500;16300;0;8000;0;371;235;158720;19;57;26;5;4;2;0;1;0;53;3112;26780;20743;5880;9400;7000;0;8000;0;167;114;80915;18;63;26;9;2;3;0;0;0;83;1930;30683;20890;10902;4100;9300;0;0;0;204;121;77805;
280020905000003;1;30;156;59;15;20;7;0;0;0;114;4736;76448;51308;19720;42575;25496;0;0;0;401;287;220283;16;70;27;6;8;5;0;0;0;47;2760;33950;22530;7850;17075;19196;0;0;0;179;132;103361;14;86;32;9;12;2;0;0;0;67;1976;42498;28778;11870;25500;6300;0;0;0;222;155;116922;30;156;59;15;20;7;0;0;0;114;4736;76448;51308;19720;42575;25496;0;0;0;401;287;220283;16;70;27;6;8;5;0;0;0;47;2760;33950;22530;7850;17075;19196;0;0;0;179;132;103361;14;86;32;9;12;2;0;0;0;67;1976;42498;28778;11870;25500;6300;0;0;0;222;155;116922;
280020905000004;1;166;269;78;11;10;5;0;0;0;402;22224;126895;62510;14021;19840;19600;0;0;0;941;539;265090;75;143;39;8;8;4;0;0;0;169;11506;66093;30910;10740;15440;15600;0;0;0;446;277;150289;91;126;39;3;2;1;0;0;0;233;10718;60802;31600;3281;4400;4000;0;0;0;495;262;114801;166;253;73;11;10;5;0;0;0;400;22224;118845;57760;14021;19840;19600;0;0;0;918;518;252290;75;139;34;8;8;4;0;0;0;167;11506;64083;26160;10740;15440;15600;0;0;0;435;268;143529;91;114;39;3;2;1;0;0;0;233;10718;54762;31600;3281;4400;4000;0;0;0;483;250;108761;
280020905000005;1;50;154;62;21;18;5;0;0;0;205;6578;73340;50786;27830;36960;17750;0;0;0;515;310;213244;22;77;34;14;10;4;0;0;0;95;2875;36510;27627;18770;21100;13800;0;0;0;256;161;120682;28;77;28;7;8;1;0;0;0;110;3703;36830;23159;9060;15860;3950;0;0;0;259;149;92562;50;154;62;21;18;5;0;0;0;205;6578;73340;50786;27830;36960;17750;0;0;0;515;310;213244;22;77;34;14;10;4;0;0;0;95;2875;36510;27627;18770;21100;13800;0;0;0;256;161;120682;28;77;28;7;8;1;0;0;0;110;3703;36830;23159;9060;15860;3950;0;0;0;259;149;92562;
280020905000006;1;191;274;81;19;22;14;2;0;0;296;25055;122122;63112;24905;43645;51590;13000;0;0;899;603;343429;71;149;41;13;12;7;2;0;0;131;10387;65961;31622;16760;23858;25314;13000;0;0;426;295;186902;120;125;40;6;10;7;0;0;0;165;14668;56161;31490;8145;19787;26276;0;0;0;473;308;156527;191;274;81;19;22;14;2;0;0;296;25055;122122;63112;24905;43645;51590;13000;0;0;899;603;343429;71;149;41;13;12;7;2;0;0;131;10387;65961;31622;16760;23858;25314;13000;0;0;426;295;186902;120;125;40;6;10;7;0;0;0;165;14668;56161;31490;8145;19787;26276;0;0;0;473;308;156527;
280020905000007;1;50;188;101;44;31;17;1;2;0;225;7526;91428;85221;58846;62800;62760;7000;16300;0;659;434;391881;19;88;57;23;18;8;1;1;0;91;3160;42298;46524;31310;37669;29650;7000;8000;0;306;215;205611;31;100;44;21;13;9;0;1;0;134;4366;49130;38697;27536;25131;33110;0;8300;0;353;219;186270;50;188;101;44;31;17;1;2;0;225;7526;91428;85221;58846;62800;62760;7000;16300;0;659;434;391881;19;88;57;23;18;8;1;1;0;91;3160;42298;46524;31310;37669;29650;7000;8000;0;306;215;205611;31;100;44;21;13;9;0;1;0;134;4366;49130;38697;27536;25131;33110;0;8300;0;353;219;186270;
280020905000008;1;49;173;72;19;26;23;0;1;0;157;6778;81860;62775;25350;52920;84010;0;10000;0;520;363;323693;13;84;39;11;14;16;0;1;0;59;2365;38530;33770;14700;28150;58710;0;10000;0;237;178;186225;36;89;33;8;12;7;0;0;0;98;4413;43330;29005;10650;24770;25300;0;0;0;283;185;137468;49;172;71;19;26;23;0;1;0;156;6778;81350;62075;25350;52920;84010;0;10000;0;517;361;322483;13;83;38;11;14;16;0;1;0;59;2365;38020;33070;14700;28150;58710;0;10000;0;235;176;185015;36;89;33;8;12;7;0;0;0;97;4413;43330;29005;10650;24770;25300;0;0;0;282;185;137468;
280020905000009;1;77;211;97;41;30;30;1;0;2;302;10428;99778;77548;54216;61068;106361;6800;0;26800;791;489;442999;27;103;62;20;14;19;1;0;2;114;4547;48185;48199;27130;29058;69800;6800;0;26800;362;248;260519;50;108;35;21;16;11;0;0;0;188;5881;51593;29349;27086;32010;36561;0;0;0;429;241;182480;77;211;97;41;30;30;1;0;2;302;10428;99778;77548;54216;61068;106361;6800;0;26800;791;489;442999;27;103;62;20;14;19;1;0;2;114;4547;48185;48199;27130;29058;69800;6800;0;26800;362;248;260519;50;108;35;21;16;11;0;0;0;188;5881;51593;29349;27086;32010;36561;0;0;0;429;241;182480;
280020905000010;1;85;224;70;18;15;9;0;0;0;380;10749;110395;62323;23756;30300;31300;0;0;0;801;421;268823;15;110;34;12;9;4;0;0;0;191;2514;53345;30179;16350;17700;16000;0;0;0;375;184;136088;70;114;36;6;6;5;0;0;0;189;8235;57050;32144;7406;12600;15300;0;0;0;426;237;132735;85;224;70;18;15;9;0;0;0;380;10749;110395;62323;23756;30300;31300;0;0;0;801;421;268823;15;110;34;12;9;4;0;0;0;191;2514;53345;30179;16350;17700;16000;0;0;0;375;184;136088;70;114;36;6;6;5;0;0;0;189;8235;57050;32144;7406;12600;15300;0;0;0;426;237;132735;
