Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
280010005000001;1;102;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;2;1;0;4;0;2;2;2;0;2;3;3;1;3;1;4;6;2;2;3;2;3;0;2;0;5;1;4;1;0;2;1;2;2;1;2;0;2;1;0;1;4;1;0;0;3;1;0;0;3;1;0;0;2;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;69;0;1;5;6;8;10;14;3;6;4;3;2;3;2;2
280010005000002;1;68;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3;0;0;0;1;2;2;1;1;1;1;1;1;1;1;2;3;1;1;0;3;2;3;1;2;0;2;4;1;0;1;1;1;0;1;1;0;0;4;0;1;0;3;2;2;2;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;3;3;5;5;6;7;5;5;0;4;7;1;1
280010005000003;1;68;0;0;0;1;0;0;1;0;0;0;0;2;2;0;2;1;1;2;1;3;0;0;3;2;1;0;2;0;0;1;1;0;2;2;1;0;2;0;0;2;2;1;2;0;2;2;1;0;0;0;1;2;0;2;2;0;1;0;1;0;2;2;0;1;0;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;48;1;1;6;7;6;3;5;2;4;1;4;1;2;3;2
280010005000004;8;62;0;0;0;0;0;1;2;3;2;1;0;2;1;0;1;0;2;2;5;1;2;1;2;2;0;2;0;0;1;0;2;3;1;0;0;1;0;0;0;2;0;1;0;1;1;1;0;2;0;0;2;1;0;2;1;0;0;1;1;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;47;0;9;4;9;7;3;6;3;0;1;3;0;0;2;0
280010005000005;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
280010005000006;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
280020905000001;1;88;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;0;1;0;0;5;2;0;0;1;0;5;2;1;1;3;4;0;0;1;2;2;1;4;1;3;3;0;2;4;2;3;1;0;1;2;2;0;2;1;1;2;1;0;1;2;2;0;1;1;0;2;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;6;6;1;8;4;5;6;1;2;1;1;2;1
280020905000002;1;61;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;1;0;0;1;1;2;0;1;0;0;0;0;1;1;3;0;0;2;1;1;2;2;1;3;2;2;0;0;2;1;1;1;2;0;1;0;0;0;0;2;1;0;1;1;1;0;1;0;0;0;2;3;3;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;47;0;0;4;3;5;0;6;6;7;5;1;0;1;6;3
280020905000003;1;72;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;2;1;1;0;0;1;2;1;2;0;1;1;1;2;0;0;1;1;1;0;1;0;2;0;3;2;0;2;3;4;2;2;2;3;0;1;2;1;0;2;2;1;2;1;0;0;0;0;1;1;0;3;1;0;1;1;0;1;0;0;0;0;0;53;0;0;1;3;1;4;4;4;3;2;4;10;4;4;9
280020905000004;1;130;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;1;2;1;1;1;3;1;2;2;2;4;4;4;1;2;4;3;6;4;2;4;2;1;0;1;2;3;3;1;5;1;2;2;5;1;2;2;1;3;3;3;1;2;1;1;2;1;1;1;2;0;1;2;1;1;3;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;81;0;0;5;6;7;11;14;3;10;5;8;3;2;3;4
280020905000005;1;106;0;0;0;0;0;1;0;0;0;1;1;0;0;2;2;1;1;0;0;2;1;2;2;2;2;0;5;1;2;2;2;0;2;1;3;4;2;0;0;2;4;3;1;3;2;3;4;3;3;2;4;0;1;1;1;1;3;3;2;1;0;3;2;2;1;0;1;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;76;0;2;5;4;7;9;6;6;10;11;2;4;5;2;3
280020905000006;1;124;0;0;0;0;0;0;1;1;2;0;1;3;0;0;3;4;1;4;1;0;5;1;2;0;3;2;2;0;1;3;0;2;3;4;2;0;1;3;2;2;2;3;3;1;5;2;2;2;3;3;1;0;0;3;1;5;3;1;1;0;1;1;2;1;3;2;1;0;1;2;2;1;0;2;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;75;0;4;7;7;7;4;8;3;9;7;3;2;5;4;5
280020905000007;1;100;0;0;0;0;0;1;0;0;0;1;0;0;0;1;2;2;0;0;2;0;2;0;1;1;0;1;1;1;3;1;1;3;3;2;1;1;2;3;1;3;2;1;1;1;0;3;0;1;3;2;2;3;1;2;3;5;1;1;4;1;1;0;0;2;2;3;1;0;1;1;1;2;5;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;2;3;4;4;7;10;9;5;9;8;8;4;3;8
280020905000008;1;61;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;2;0;1;1;1;1;1;0;1;1;1;0;0;2;0;1;1;2;3;1;0;0;1;1;1;1;1;2;0;1;3;0;0;1;1;1;4;0;1;3;0;0;4;0;2;1;0;0;0;0;3;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;47;0;1;2;2;5;3;2;5;4;4;5;3;5;2;4
280020905000009;1;97;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;2;1;1;1;3;1;3;2;4;1;1;3;1;3;1;1;1;3;4;3;1;1;2;2;2;2;3;3;0;3;2;1;2;2;1;1;0;2;1;3;1;1;1;0;1;3;0;0;2;0;0;2;2;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;69;0;0;5;8;10;7;10;4;10;3;5;3;3;0;1
280020905000010;1;117;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;2;2;3;2;0;1;7;0;1;0;0;1;1;6;2;5;2;5;3;1;4;0;3;3;4;2;1;3;1;2;2;4;1;3;2;1;0;2;3;2;2;4;1;2;1;2;1;2;2;2;2;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;2;8;9;3;17;9;11;5;3;3;1;4;1
280020905000011;1;135;0;0;0;0;0;0;0;0;0;1;0;1;2;2;1;4;1;5;1;0;6;8;7;6;4;3;2;3;3;3;3;5;2;5;4;4;3;2;3;3;6;1;0;4;1;0;3;1;1;0;4;3;1;2;1;0;1;0;1;1;3;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;85;0;1;6;10;24;9;10;9;5;1;6;2;2;0;0
280020905000012;1;59;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;2;0;1;2;2;2;1;2;1;0;0;1;1;1;0;3;1;1;3;0;0;1;0;1;0;2;2;0;1;3;2;1;1;0;0;2;1;1;1;0;1;0;1;1;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;1;5;2;6;4;3;1;0;3;0;0;0;2;0
280020905000013;8;91;0;0;0;1;0;1;0;0;1;0;0;1;1;1;2;1;2;4;2;2;5;3;2;3;1;1;3;1;4;2;1;1;2;0;1;0;3;3;2;1;2;0;2;1;3;0;0;0;3;2;3;2;3;0;2;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;41;1;2;4;9;8;4;0;3;3;2;1;0;1;2;1
280020905000014;5;58;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;1;0;1;2;0;0;0;0;1;0;1;1;0;0;0;1;2;1;2;0;5;2;1;0;3;1;1;2;0;0;1;2;0;1;3;1;3;0;1;2;1;1;1;0;3;0;1;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;3;2;2;3;2;8;1;3;3;0;1;0;2
280020905000015;8;28;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;2;0;0;1;2;1;0;2;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;1;2;3;3;2;1;0;3;2;0;0;0;0;0
280020905000016;5;51;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3;0;0;1;0;1;0;0;2;0;2;1;3;0;0;0;1;2;1;2;1;1;1;1;2;0;1;1;0;0;2;0;0;0;0;2;3;1;0;0;2;1;1;1;0;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;12;0;1;2;1;0;1;1;1;1;1;2;0;1;0;0
280020905000017;5;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;2;0;0;3;1;0;1;1;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;1;1;1;0;4;2;1;0;0;0;0
280020905000018;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;2;0;0;0;1;1;0;1
280020905000019;8;52;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;2;0;1;1;1;1;1;1;0;1;1;0;0;1;2;0;1;0;2;1;1;1;0;0;2;0;1;1;2;3;1;1;2;1;1;2;0;1;0;0;1;0;1;0;0;2;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;28;0;1;1;1;3;1;3;2;2;5;4;0;1;3;1
280020905000020;8;38;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;1;0;0;1;1;1;0;0;0;2;0;1;0;0;1;1;1;0;1;1;1;0;0;0;4;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;1;3;2;1;2;3;1;0;1;0;1;0
280020905000021;8;61;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;1;1;0;2;0;1;1;1;0;2;3;0;0;1;1;1;1;1;1;2;0;2;1;0;0;1;0;0;0;3;0;0;0;4;1;1;2;3;1;2;1;0;1;0;2;0;0;0;1;0;1;0;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;36;0;0;3;3;5;5;3;4;1;2;5;1;0;3;1
280020905000022;5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2;1;1;0;0;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;1;1;0;1;0;2;1;0;0;0;0
280020905000023;8;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;1;2;1;1;1;1;0;1;1;0;0
280020905000024;8;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
280020905000025;5;64;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;2;3;2;1;0;1;4;0;1;0;2;1;3;0;1;1;1;0;2;1;3;0;0;3;0;1;0;1;0;0;3;1;2;1;1;0;1;0;0;1;0;1;1;0;0;2;1;1;1;0;0;1;1;2;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;34;0;1;4;7;6;3;2;4;0;5;0;1;0;1;0
280020905000026;8;112;0;0;0;0;0;0;0;2;2;2;1;3;1;1;2;1;2;1;2;3;1;2;4;3;3;3;4;2;3;3;2;4;2;2;1;3;2;1;3;1;3;2;2;1;1;0;4;1;2;1;2;1;0;2;0;1;4;0;1;1;1;2;1;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;63;0;6;7;7;8;9;7;3;6;4;2;1;2;1;0
280020905000027;5;52;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;3;2;0;0;3;1;1;1;3;0;0;2;1;1;2;0;2;1;1;1;1;1;1;1;0;1;2;0;1;0;2;2;1;0;1;0;2;1;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;3;4;4;6;3;4;3;4;2;1;1;0;0
280020905000028;8;45;0;0;0;0;0;0;0;1;0;2;0;0;0;1;1;0;0;1;1;1;0;0;2;1;0;0;3;1;0;0;2;0;0;4;1;1;1;2;0;0;0;1;0;0;1;0;1;0;4;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;20;0;2;2;3;1;3;4;2;0;1;0;0;2;0;0
280020905000029;8;41;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;0;1;3;0;1;0;1;0;0;0;1;2;0;0;1;1;1;2;0;0;0;1;0;2;0;1;1;1;1;0;0;0;1;0;0;0;2;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;1;4;5;0;2;3;2;1;1;0;1;1;1
280020905000030;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
280020905000031;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
280020905000032;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;1;0;1;3;1;1;2;0;0;0;1;0
280020905000033;5;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;2;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;1;0;3;2;2;1;0;2;1;1;0;0;0
280020905000034;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0
280020905000035;5;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0
