Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
280010005000001;1;52;112;49;15;11;6;0;1;1;20;6446;53391;35210;19476;22440;18050;0;8000;12200;267;247;175213;27;63;34;10;10;5;0;1;1;14;3236;30128;23770;13446;20640;15050;0;8000;12200;165;151;126470;25;49;15;5;1;1;0;0;0;6;3210;23263;11440;6030;1800;3000;0;0;0;102;96;48743;51;111;47;15;11;6;0;1;1;20;6246;53041;33920;19476;22440;18050;0;8000;12200;263;243;173373;26;63;32;10;10;5;0;1;1;14;3036;30128;22480;13446;20640;15050;0;8000;12200;162;148;124980;25;48;15;5;1;1;0;0;0;6;3210;22913;11440;6030;1800;3000;0;0;0;101;95;48393;
280010005000002;1;12;75;25;4;7;5;0;0;1;10;1792;36685;21834;5100;14350;17260;0;0;12000;139;129;109021;7;37;11;3;3;2;0;0;1;7;1252;18125;8990;3900;6100;7080;0;0;12000;71;64;57447;5;38;14;1;4;3;0;0;0;3;540;18560;12844;1200;8250;10180;0;0;0;68;65;51574;12;75;25;4;7;5;0;0;1;10;1792;36685;21834;5100;14350;17260;0;0;12000;139;129;109021;7;37;11;3;3;2;0;0;1;7;1252;18125;8990;3900;6100;7080;0;0;12000;71;64;57447;5;38;14;1;4;3;0;0;0;3;540;18560;12844;1200;8250;10180;0;0;0;68;65;51574;
280010005000003;1;36;59;19;1;1;1;0;0;0;22;4580;28774;13293;1250;1800;3000;0;0;0;139;117;52697;19;29;7;1;1;1;0;0;0;13;2467;13684;5182;1250;1800;3000;0;0;0;71;58;27383;17;30;12;0;0;0;0;0;0;9;2113;15090;8111;0;0;0;0;0;0;68;59;25314;36;59;19;1;1;1;0;0;0;22;4580;28774;13293;1250;1800;3000;0;0;0;139;117;52697;19;29;7;1;1;1;0;0;0;13;2467;13684;5182;1250;1800;3000;0;0;0;71;58;27383;17;30;12;0;0;0;0;0;0;9;2113;15090;8111;0;0;0;0;0;0;68;59;25314;
280010005000004;8;47;46;5;2;1;0;0;0;0;11;5319;21425;4413;2600;2300;0;0;0;0;112;101;36057;17;26;1;0;0;0;0;0;0;6;1906;11451;800;0;0;0;0;0;0;50;44;14157;30;20;4;2;1;0;0;0;0;5;3413;9974;3613;2600;2300;0;0;0;0;62;57;21900;47;46;5;2;1;0;0;0;0;11;5319;21425;4413;2600;2300;0;0;0;0;112;101;36057;17;26;1;0;0;0;0;0;0;6;1906;11451;800;0;0;0;0;0;0;50;44;14157;30;20;4;2;1;0;0;0;0;5;3413;9974;3613;2600;2300;0;0;0;0;62;57;21900;
280010005000005;8;5;6;5;0;0;0;0;0;0;4;391;2870;3470;0;0;0;0;0;0;20;16;6731;3;6;4;0;0;0;0;0;0;2;268;2870;2830;0;0;0;0;0;0;15;13;5968;2;0;1;0;0;0;0;0;0;2;123;0;640;0;0;0;0;0;0;5;3;763;5;6;5;0;0;0;0;0;0;4;391;2870;3470;0;0;0;0;0;0;20;16;6731;3;6;4;0;0;0;0;0;0;2;268;2870;2830;0;0;0;0;0;0;15;13;5968;2;0;1;0;0;0;0;0;0;2;123;0;640;0;0;0;0;0;0;5;3;763;
280010005000006;1;2;4;2;0;0;0;0;0;0;1;500;1670;1412;0;0;0;0;0;0;9;8;3582;2;4;2;0;0;0;0;0;0;0;500;1670;1412;0;0;0;0;0;0;8;8;3582;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;4;2;0;0;0;0;0;0;1;500;1670;1412;0;0;0;0;0;0;9;8;3582;2;4;2;0;0;0;0;0;0;0;500;1670;1412;0;0;0;0;0;0;8;8;3582;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
280020905000001;1;45;126;31;9;6;2;0;0;0;23;6157;59604;23931;12423;11570;5850;0;0;0;242;219;119535;20;83;23;8;4;2;0;0;0;14;3270;39610;17361;10900;7550;5850;0;0;0;154;140;84541;25;43;8;1;2;0;0;0;0;9;2887;19994;6570;1523;4020;0;0;0;0;88;79;34994;45;126;31;9;6;2;0;0;0;23;6157;59604;23931;12423;11570;5850;0;0;0;242;219;119535;20;83;23;8;4;2;0;0;0;14;3270;39610;17361;10900;7550;5850;0;0;0;154;140;84541;25;43;8;1;2;0;0;0;0;9;2887;19994;6570;1523;4020;0;0;0;0;88;79;34994;
280020905000002;1;18;66;38;6;5;4;0;1;0;7;2618;30693;31828;7018;11200;13300;0;8000;0;145;138;104657;12;35;21;3;4;2;0;1;0;6;2000;16210;17883;3480;9400;7000;0;8000;0;84;78;63973;6;31;17;3;1;2;0;0;0;1;618;14483;13945;3538;1800;6300;0;0;0;61;60;40684;17;64;37;6;5;4;0;1;0;7;2418;29783;30808;7018;11200;13300;0;8000;0;141;134;102527;11;33;20;3;4;2;0;1;0;6;1800;15300;16863;3480;9400;7000;0;8000;0;80;74;61843;6;31;17;3;1;2;0;0;0;1;618;14483;13945;3538;1800;6300;0;0;0;61;60;40684;
280020905000003;1;14;87;36;7;13;6;0;0;0;8;2030;42747;31138;9250;27865;22496;0;0;0;171;163;135526;9;51;18;5;5;5;0;0;0;6;1380;25070;14860;6650;10565;19196;0;0;0;99;93;77721;5;36;18;2;8;1;0;0;0;2;650;17677;16278;2600;17300;3300;0;0;0;72;70;57805;14;87;36;7;13;6;0;0;0;8;2030;42747;31138;9250;27865;22496;0;0;0;171;163;135526;9;51;18;5;5;5;0;0;0;6;1380;25070;14860;6650;10565;19196;0;0;0;99;93;77721;5;36;18;2;8;1;0;0;0;2;650;17677;16278;2600;17300;3300;0;0;0;72;70;57805;
280020905000004;1;66;154;50;8;9;5;0;0;0;24;10051;72197;40507;10351;18140;19600;0;0;0;316;292;170846;33;94;29;6;7;4;0;0;0;13;5761;43245;23120;8140;13740;15600;0;0;0;186;173;109606;33;60;21;2;2;1;0;0;0;11;4290;28952;17387;2211;4400;4000;0;0;0;130;119;61240;66;153;49;8;9;5;0;0;0;23;10051;71697;39557;10351;18140;19600;0;0;0;313;290;169396;33;94;28;6;7;4;0;0;0;12;5761;43245;22170;8140;13740;15600;0;0;0;184;172;108656;33;59;21;2;2;1;0;0;0;11;4290;28452;17387;2211;4400;4000;0;0;0;129;118;60740;
280020905000005;1;13;72;39;13;13;2;0;0;0;27;1630;34880;32679;17570;26760;8000;0;0;0;179;152;121519;3;31;21;7;6;2;0;0;0;3;370;14800;17290;9580;12900;8000;0;0;0;73;70;62940;10;41;18;6;7;0;0;0;0;24;1260;20080;15389;7990;13860;0;0;0;0;106;82;58579;13;72;39;13;13;2;0;0;0;27;1630;34880;32679;17570;26760;8000;0;0;0;179;152;121519;3;31;21;7;6;2;0;0;0;3;370;14800;17290;9580;12900;8000;0;0;0;73;70;62940;10;41;18;6;7;0;0;0;0;24;1260;20080;15389;7990;13860;0;0;0;0;106;82;58579;
280020905000006;1;69;149;55;10;13;11;2;0;0;31;10422;66737;42546;13008;25167;39024;13000;0;0;340;309;209904;36;101;32;8;9;7;2;0;0;21;6019;45931;24232;10130;17708;25314;13000;0;0;216;195;142334;33;48;23;2;4;4;0;0;0;10;4403;20806;18314;2878;7459;13710;0;0;0;124;114;67570;69;149;55;10;13;11;2;0;0;31;10422;66737;42546;13008;25167;39024;13000;0;0;340;309;209904;36;101;32;8;9;7;2;0;0;21;6019;45931;24232;10130;17708;25314;13000;0;0;216;195;142334;33;48;23;2;4;4;0;0;0;10;4403;20806;18314;2878;7459;13710;0;0;0;124;114;67570;
280020905000007;1;15;98;61;26;22;11;1;2;0;15;2704;47745;51189;35133;45255;40750;7000;16300;0;251;236;246076;8;52;41;16;16;7;1;1;0;9;1380;24955;33674;21700;33669;25150;7000;8000;0;151;142;155528;7;46;20;10;6;4;0;1;0;6;1324;22790;17515;13433;11586;15600;0;8300;0;100;94;90548;15;98;61;26;22;11;1;2;0;15;2704;47745;51189;35133;45255;40750;7000;16300;0;251;236;246076;8;52;41;16;16;7;1;1;0;9;1380;24955;33674;21700;33669;25150;7000;8000;0;151;142;155528;7;46;20;10;6;4;0;1;0;6;1324;22790;17515;13433;11586;15600;0;8300;0;100;94;90548;
280020905000008;1;14;84;41;10;17;16;0;1;0;5;2310;40350;35770;13500;34150;59610;0;10000;0;188;183;195690;7;53;27;9;13;13;0;1;0;4;1180;24670;23330;12300;26150;48210;0;10000;0;127;123;145840;7;31;14;1;4;3;0;0;0;1;1130;15680;12440;1200;8000;11400;0;0;0;61;60;49850;14;84;40;10;17;16;0;1;0;5;2310;40350;35070;13500;34150;59610;0;10000;0;187;182;194990;7;53;26;9;13;13;0;1;0;4;1180;24670;22630;12300;26150;48210;0;10000;0;126;122;145140;7;31;14;1;4;3;0;0;0;1;1130;15680;12440;1200;8000;11400;0;0;0;61;60;49850;
280020905000009;1;20;105;57;21;23;20;1;0;2;19;3173;50213;46046;28292;46718;72325;6800;0;26800;268;249;280367;11;62;44;14;13;15;1;0;2;9;1990;29880;35026;18930;26558;56300;6800;0;26800;171;162;202284;9;43;13;7;10;5;0;0;0;10;1183;20333;11020;9362;20160;16025;0;0;0;97;87;78083;20;105;57;21;23;20;1;0;2;19;3173;50213;46046;28292;46718;72325;6800;0;26800;268;249;280367;11;62;44;14;13;15;1;0;2;9;1990;29880;35026;18930;26558;56300;6800;0;26800;171;162;202284;9;43;13;7;10;5;0;0;0;10;1183;20333;11020;9362;20160;16025;0;0;0;97;87;78083;
280020905000010;1;28;133;44;13;9;8;0;0;0;69;3870;65415;39299;17668;18600;27300;0;0;0;304;235;172152;10;77;29;10;6;3;0;0;0;52;1714;37285;25499;13950;11600;12000;0;0;0;187;135;102048;18;56;15;3;3;5;0;0;0;17;2156;28130;13800;3718;7000;15300;0;0;0;117;100;70104;28;133;44;13;9;8;0;0;0;69;3870;65415;39299;17668;18600;27300;0;0;0;304;235;172152;10;77;29;10;6;3;0;0;0;52;1714;37285;25499;13950;11600;12000;0;0;0;187;135;102048;18;56;15;3;3;5;0;0;0;17;2156;28130;13800;3718;7000;15300;0;0;0;117;100;70104;
280020905000011;1;74;122;30;5;6;4;0;0;1;29;11708;57688;23816;6390;13300;15300;0;0;15000;271;242;143202;20;71;17;4;5;4;0;0;1;14;3597;33570;13322;5360;11300;15300;0;0;15000;136;122;97449;54;51;13;1;1;0;0;0;0;15;8111;24118;10494;1030;2000;0;0;0;0;135;120;45753;74;122;30;5;6;4;0;0;1;29;11708;57688;23816;6390;13300;15300;0;0;15000;271;242;143202;20;71;17;4;5;4;0;0;1;14;3597;33570;13322;5360;11300;15300;0;0;15000;136;122;97449;54;51;13;1;1;0;0;0;0;15;8111;24118;10494;1030;2000;0;0;0;0;135;120;45753;
280020905000012;1;50;76;20;3;2;0;0;0;0;9;8155;34472;16285;4020;3800;0;0;0;0;160;151;66732;24;57;12;2;2;0;0;0;0;4;4120;25550;9160;2800;3800;0;0;0;0;101;97;45430;26;19;8;1;0;0;0;0;0;5;4035;8922;7125;1220;0;0;0;0;0;59;54;21302;50;76;20;3;2;0;0;0;0;8;8155;34472;16285;4020;3800;0;0;0;0;159;151;66732;24;57;12;2;2;0;0;0;0;4;4120;25550;9160;2800;3800;0;0;0;0;101;97;45430;26;19;8;1;0;0;0;0;0;4;4035;8922;7125;1220;0;0;0;0;0;58;54;21302;
