Cod_setor;Cod_Grandes Regi‰es;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
170025105000001;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17003;Miracema do Tocantins;0;Munic°pios n„o pertencentes a estrutura de RM;1700251;ABREUL∂NDIA;170025105;ABREUL∂NDIA;17002510500;ABREUL∂NDIA;1700251000;ABREUL∂NDIA (todos os setores);1;0;244;778;3,19;2,4;806,54;4010335,67;1009,21;4817667,38;523,16;2058702,72;861,83;3102307,34
170025105000002;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17003;Miracema do Tocantins;0;Munic°pios n„o pertencentes a estrutura de RM;1700251;ABREUL∂NDIA;170025105;ABREUL∂NDIA;17002510500;ABREUL∂NDIA;1700251000;ABREUL∂NDIA (todos os setores);8;0;115;300;2,61;1,87;648,06;973810,51;866,59;1114445,33;431,2;632388,52;717,7;848395,08
170025105000003;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17003;Miracema do Tocantins;0;Munic°pios n„o pertencentes a estrutura de RM;1700251;ABREUL∂NDIA;170025105;ABREUL∂NDIA;17002510500;ABREUL∂NDIA;1700251000;ABREUL∂NDIA (todos os setores);8;0;59;167;2,83;2,73;433,73;268023,79;595,12;271797,01;299,05;180862,25;521,32;199666,22
170025105000004;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17003;Miracema do Tocantins;0;Munic°pios n„o pertencentes a estrutura de RM;1700251;ABREUL∂NDIA;170025105;ABREUL∂NDIA;17002510500;ABREUL∂NDIA;1700251000;ABREUL∂NDIA (todos os setores);8;0;141;448;3,18;3,2;370,51;242088,72;555,77;260368,96;219,33;143551,69;462,27;190546,86
170025105000005;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17003;Miracema do Tocantins;0;Munic°pios n„o pertencentes a estrutura de RM;1700251;ABREUL∂NDIA;170025105;ABREUL∂NDIA;17002510500;ABREUL∂NDIA;1700251000;ABREUL∂NDIA (todos os setores);1;0;201;698;3,47;2,69;476,95;253956,17;626,58;239781,68;291,42;218362,76;576,55;267800,54
170030105000001;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17001;Bico do Papagaio;0;Munic°pios n„o pertencentes a estrutura de RM;1700301;AGUIARN‡POLIS;170030105;AGUIARN‡POLIS;17003010500;AGUIARN‡POLIS;1700301000;AGUIARN‡POLIS (todos os setores);1;0;286;1123;3,93;2,76;927,45;35035042,21;1269,15;47569000,34;676,81;23408097,22;1184,76;40408722,36
170030105000002;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17001;Bico do Papagaio;0;Munic°pios n„o pertencentes a estrutura de RM;1700301;AGUIARN‡POLIS;170030105;AGUIARN‡POLIS;17003010500;AGUIARN‡POLIS;1700301000;AGUIARN‡POLIS (todos os setores);1;0;294;1101;3,74;3,99;478,33;621522,26;645,09;731128,06;442,07;484090,83;717,42;588269,19
170030105000003;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17001;Bico do Papagaio;0;Munic°pios n„o pertencentes a estrutura de RM;1700301;AGUIARN‡POLIS;170030105;AGUIARN‡POLIS;17003010500;AGUIARN‡POLIS;1700301000;AGUIARN‡POLIS (todos os setores);8;0;102;385;3,77;3,76;453,32;1139597,92;592,81;1411036,13;355,93;514927,18;597,24;721076,91
170030105000004;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17001;Bico do Papagaio;0;Munic°pios n„o pertencentes a estrutura de RM;1700301;AGUIARN‡POLIS;170030105;AGUIARN‡POLIS;17003010500;AGUIARN‡POLIS;1700301000;AGUIARN‡POLIS (todos os setores);7;8;56;245;4,38;4,46;368,55;145317,82;458,64;139388,51;307,55;318041,04;573,7;441767,55
170030105000005;1;Regi„o Norte;TO;Tocantins;1701;Ocidental do Tocantins;17001;Bico do Papagaio;0;Munic°pios n„o pertencentes a estrutura de RM;1700301;AGUIARN‡POLIS;170030105;AGUIARN‡POLIS;17003010500;AGUIARN‡POLIS;1700301000;AGUIARN‡POLIS (todos os setores);8;8;97;390;4,02;5,58;439,42;2295714,27;553,56;2835837,46;261,01;766264,74;480,73;1308751,8
