Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
170025105000001;1;778;778;777;0;0;600;22;125;3;24;4;760;13;0;5;764;8;162;588;6;0;0;14;755;609;124;19;3;23;746;679;67;24;1;7;0;0;751;751;0;27;694;56;1;395;395;394;0;0;313;11;55;2;11;3;387;5;0;3;388;5;79;300;4;0;0;7;382;311;60;10;1;13;379;345;34;9;1;6;0;0;383;383;0;12;358;24;1;383;383;383;0;0;287;11;70;1;13;1;373;8;0;2;376;3;83;288;2;0;0;7;373;298;64;9;2;10;367;334;33;15;0;1;0;0;368;368;0;15;336;32;0
170025105000002;8;300;300;300;0;0;165;0;0;65;70;0;7;41;104;148;169;5;17;120;17;0;10;131;154;130;18;2;4;146;7;7;0;254;12;25;0;2;176;170;6;124;145;21;4;168;168;168;0;0;94;0;0;35;39;0;4;24;56;84;94;3;9;65;11;0;6;74;85;71;10;1;3;83;4;4;0;140;7;16;0;1;98;94;4;70;83;9;2;132;132;132;0;0;71;0;0;30;31;0;3;17;48;64;75;2;8;55;6;0;4;57;69;59;8;1;1;63;3;3;0;114;5;9;0;1;78;76;2;54;62;12;2
170025105000003;8;167;167;167;0;0;83;0;0;68;16;0;3;0;128;36;73;4;15;37;15;0;2;94;71;54;15;1;1;96;6;3;3;135;3;22;0;1;64;41;23;103;35;0;6;92;92;92;0;0;44;0;0;41;7;0;1;0;71;20;40;3;8;19;9;0;1;52;39;29;8;1;1;53;3;1;2;74;1;13;0;1;35;25;10;57;22;0;3;75;75;75;0;0;39;0;0;27;9;0;2;0;57;16;33;1;7;18;6;0;1;42;32;25;7;0;0;43;3;2;1;61;2;9;0;0;29;16;13;46;13;0;3
170025105000004;8;448;448;443;5;0;385;0;0;51;12;0;0;0;408;40;360;1;39;274;21;0;25;88;359;325;18;2;14;89;2;2;0;404;25;17;0;0;228;211;17;220;208;0;3;253;253;250;3;0;217;0;0;29;7;0;0;0;229;24;202;1;19;155;12;0;15;51;201;181;11;1;8;52;1;1;0;230;14;8;0;0;129;119;10;124;117;0;2;195;195;193;2;0;168;0;0;22;5;0;0;0;179;16;158;0;20;119;9;0;10;37;158;144;7;1;6;37;1;1;0;174;11;9;0;0;99;92;7;96;91;0;1
170025105000005;1;698;698;698;0;0;567;6;104;0;21;0;671;18;0;9;673;9;77;587;0;0;0;25;673;590;71;7;5;25;666;469;197;27;5;0;0;0;683;679;4;15;669;7;3;353;353;353;0;0;293;2;48;0;10;0;340;10;0;3;342;5;43;294;0;0;0;11;342;303;32;5;2;11;337;238;99;14;2;0;0;0;346;343;3;7;339;2;2;345;345;345;0;0;274;4;56;0;11;0;331;8;0;6;331;4;34;293;0;0;0;14;331;287;39;2;3;14;329;231;98;13;3;0;0;0;337;336;1;8;330;5;1
170030105000001;1;1123;1123;1123;0;0;597;312;139;20;55;0;1113;7;0;3;1027;368;499;160;0;0;0;96;882;755;99;28;0;241;1046;418;628;77;0;0;0;0;1092;1092;0;31;722;370;0;558;558;558;0;0;294;155;69;9;31;0;553;3;0;2;515;183;253;79;0;0;0;43;442;380;49;13;0;116;524;207;317;34;0;0;0;0;543;543;0;15;353;190;0;565;565;565;0;0;303;157;70;11;24;0;560;4;0;1;512;185;246;81;0;0;0;53;440;375;50;15;0;125;522;211;311;43;0;0;0;0;549;549;0;16;369;180;0
170030105000002;1;1126;1101;1092;0;8;898;0;140;3;54;6;1097;0;0;4;1048;36;11;790;211;0;0;53;829;702;121;6;0;272;1038;1038;0;54;0;9;0;0;1101;1101;0;0;1027;67;7;552;544;538;0;5;441;0;68;2;29;4;542;0;0;2;515;20;4;388;103;0;0;29;408;347;57;4;0;136;515;515;0;25;0;4;0;0;544;544;0;0;506;34;4;574;557;554;0;3;457;0;72;1;25;2;555;0;0;2;533;16;7;402;108;0;0;24;421;355;64;2;0;136;523;523;0;29;0;5;0;0;557;557;0;0;521;33;3
170030105000003;8;385;385;385;0;0;231;0;0;102;52;0;170;201;0;14;316;4;0;249;63;0;0;69;238;214;24;0;0;147;7;2;5;365;0;6;0;7;332;328;4;53;250;76;2;210;210;210;0;0;127;0;0;59;24;0;88;113;0;9;178;2;0;140;36;0;0;32;134;122;12;0;0;76;4;1;3;201;0;3;0;2;180;178;2;30;141;37;0;175;175;175;0;0;104;0;0;43;28;0;82;88;0;5;138;2;0;109;27;0;0;37;104;92;12;0;0;71;3;1;2;164;0;3;0;5;152;150;2;23;109;39;2
170030105000004;7;245;245;245;0;0;237;0;0;8;0;0;225;18;0;2;245;0;0;221;24;0;0;0;223;215;8;0;0;22;202;202;0;43;0;0;0;0;233;233;0;12;227;6;0;142;142;142;0;0;138;0;0;4;0;0;131;10;0;1;142;0;0;128;14;0;0;0;129;123;6;0;0;13;119;119;0;23;0;0;0;0;135;135;0;7;133;2;0;103;103;103;0;0;99;0;0;4;0;0;94;8;0;1;103;0;0;93;10;0;0;0;94;92;2;0;0;9;83;83;0;20;0;0;0;0;98;98;0;5;94;4;0
170030105000005;8;390;390;390;0;0;316;0;0;68;6;0;0;76;0;314;236;0;0;101;135;0;0;154;101;64;22;15;0;289;0;0;0;382;0;6;0;2;318;318;0;72;275;43;0;210;210;210;0;0;168;0;0;39;3;0;0;40;0;170;131;0;0;60;71;0;0;79;60;38;13;9;0;150;0;0;0;205;0;3;0;2;172;172;0;38;148;24;0;180;180;180;0;0;148;0;0;29;3;0;0;36;0;144;105;0;0;41;64;0;0;75;41;26;9;6;0;139;0;0;0;177;0;3;0;0;146;146;0;34;127;19;0
