Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
170025105000001;1;637;3;4;12;24;17;12;22;15;13;26;15;16;11;15;11;9;10;8;6;16;18;11;12;9;14;9;7;10;17;12;13;12;11;12;8;8;7;13;9;10;10;8;5;7;9;7;11;7;8;5;4;6;1;4;6;5;5;5;1;5;2;2;3;3;3;3;1;2;0;0;0;0;0;3;1;8;220;146;174;4;11;7;12;2;
170025105000002;8;233;1;3;6;7;2;5;5;3;1;3;6;2;3;1;5;1;3;1;6;4;1;1;3;2;2;6;4;4;3;2;2;4;4;7;1;4;9;2;2;2;2;3;5;2;2;2;4;2;6;4;4;4;5;4;4;7;4;7;4;3;3;2;4;3;1;1;0;2;1;1;1;0;0;0;0;3;95;75;33;1;5;0;1;0;
170025105000003;8;120;5;0;2;3;3;3;3;0;3;0;0;0;0;3;1;3;0;4;2;4;2;3;3;0;1;4;4;1;6;4;3;2;0;2;2;0;2;1;1;0;2;0;3;1;3;0;3;1;3;0;2;2;2;3;3;1;0;2;0;0;1;0;1;1;1;0;0;0;0;0;0;0;2;0;0;3;48;34;18;3;1;1;0;0;
170025105000004;8;324;6;7;4;8;15;8;8;8;9;3;5;6;6;8;6;2;4;6;8;7;9;7;8;9;6;6;6;9;6;8;4;2;7;3;6;4;3;2;3;5;7;4;8;4;5;5;0;2;5;5;7;2;4;2;2;2;1;4;2;1;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;115;96;58;2;3;2;2;4;
170025105000005;1;525;1;3;12;19;18;15;22;16;16;17;16;19;7;9;14;4;8;13;12;14;11;16;16;15;12;17;16;10;7;7;6;9;6;10;5;11;7;7;4;5;6;5;3;6;4;6;5;1;5;2;1;3;1;2;2;3;1;3;2;1;0;0;0;3;3;1;0;1;0;0;0;1;0;0;1;1;164;113;152;2;14;14;7;5;
170030105000001;1;850;8;11;22;21;22;26;17;23;30;27;24;26;15;24;24;20;18;30;30;26;20;16;19;25;25;29;21;20;25;16;15;11;10;15;10;9;9;9;7;9;6;12;6;3;8;6;1;7;3;4;4;1;1;4;2;2;0;3;3;1;1;0;2;2;0;1;1;0;0;0;0;0;0;0;0;2;253;204;232;11;11;16;32;5;
170030105000002;1;783;0;8;13;13;26;20;21;15;26;20;22;19;13;23;22;21;25;21;22;23;27;25;21;17;24;20;24;20;14;19;12;9;18;6;11;7;7;9;8;12;5;8;8;3;8;5;2;9;5;5;3;2;3;2;5;6;0;0;2;3;1;3;0;1;0;2;2;2;1;0;0;0;3;0;0;1;235;175;180;20;29;30;41;0;
170030105000003;8;245;4;0;7;6;9;8;3;12;7;6;7;7;6;11;4;5;3;8;8;7;1;3;4;7;3;2;5;5;4;4;6;2;5;2;4;2;1;4;4;1;3;1;3;1;1;2;2;1;4;1;1;3;1;3;2;2;2;4;1;2;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;4;70;53;71;3;4;7;5;1;
170030105000004;7;187;2;2;1;3;6;7;4;6;9;6;6;1;7;6;7;3;2;6;5;3;4;5;5;1;0;4;3;3;4;2;1;3;2;3;4;4;3;1;2;2;7;0;3;1;1;4;0;2;3;1;3;1;2;0;2;1;1;0;2;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;52;35;62;4;3;10;6;0;
170030105000005;8;252;0;3;1;1;6;6;8;7;15;9;10;8;16;8;9;8;11;8;6;5;2;4;5;5;4;2;4;9;3;1;2;3;2;1;2;0;7;3;3;1;1;2;1;1;1;3;1;1;0;5;2;1;2;1;1;1;1;2;6;1;2;2;0;3;2;1;0;0;0;0;0;0;0;0;0;0;58;49;116;1;2;8;7;0;
