Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
170025105000001;1;31;84;40;16;12;10;0;0;2;49;4327;40516;29540;21872;24720;34820;0;0;41000;244;195;196795;8;50;20;14;7;6;0;0;2;25;1302;24275;14623;19272;15144;22476;0;0;41000;132;107;138092;23;34;20;2;5;4;0;0;0;24;3025;16241;14917;2600;9576;12344;0;0;0;112;88;58703;31;84;40;16;12;10;0;0;2;49;4327;40516;29540;21872;24720;34820;0;0;41000;244;195;196795;8;50;20;14;7;6;0;0;2;25;1302;24275;14623;19272;15144;22476;0;0;41000;132;107;138092;23;34;20;2;5;4;0;0;0;24;3025;16241;14917;2600;9576;12344;0;0;0;112;88;58703;
170025105000002;8;12;45;13;6;6;3;1;0;0;29;1962;21729;10769;7707;13360;12000;7000;0;0;115;86;74527;6;37;10;6;6;3;1;0;0;24;1190;17779;8225;7707;13360;12000;7000;0;0;93;69;67261;6;8;3;0;0;0;0;0;0;5;772;3950;2544;0;0;0;0;0;0;22;17;7266;12;45;13;6;6;3;1;0;0;29;1962;21729;10769;7707;13360;12000;7000;0;0;115;86;74527;6;37;10;6;6;3;1;0;0;24;1190;17779;8225;7707;13360;12000;7000;0;0;93;69;67261;6;8;3;0;0;0;0;0;0;5;772;3950;2544;0;0;0;0;0;0;22;17;7266;
170025105000003;8;8;23;8;2;1;1;0;0;0;16;940;10980;6070;2600;2000;3000;0;0;0;59;43;25590;5;19;7;1;1;1;0;0;0;11;690;9050;5320;1200;2000;3000;0;0;0;45;34;21260;3;4;1;1;0;0;0;0;0;5;250;1930;750;1400;0;0;0;0;0;14;9;4330;8;23;8;2;1;1;0;0;0;16;940;10980;6070;2600;2000;3000;0;0;0;59;43;25590;5;19;7;1;1;1;0;0;0;11;690;9050;5320;1200;2000;3000;0;0;0;45;34;21260;3;4;1;1;0;0;0;0;0;5;250;1930;750;1400;0;0;0;0;0;14;9;4330;
170025105000004;8;27;37;24;1;4;1;0;0;0;47;3511;16945;19176;1200;8110;3300;0;0;0;141;94;52242;15;33;22;1;4;1;0;0;0;29;2068;15115;17912;1200;8110;3300;0;0;0;105;76;47705;12;4;2;0;0;0;0;0;0;18;1443;1830;1264;0;0;0;0;0;0;36;18;4537;27;37;24;1;4;1;0;0;0;47;3511;16945;19176;1200;8110;3300;0;0;0;141;94;52242;15;33;22;1;4;1;0;0;0;29;2068;15115;17912;1200;8110;3300;0;0;0;105;76;47705;12;4;2;0;0;0;0;0;0;18;1443;1830;1264;0;0;0;0;0;0;36;18;4537;
170025105000005;1;24;79;38;6;5;1;0;0;0;48;3466;39794;29006;8800;10800;4000;0;0;0;201;153;95866;8;56;25;4;3;0;0;0;0;29;1354;28130;19843;6000;6300;0;0;0;0;125;96;61627;16;23;13;2;2;1;0;0;0;19;2112;11664;9163;2800;4500;4000;0;0;0;76;57;34239;24;79;38;6;5;1;0;0;0;48;3466;39794;29006;8800;10800;4000;0;0;0;201;153;95866;8;56;25;4;3;0;0;0;0;29;1354;28130;19843;6000;6300;0;0;0;0;125;96;61627;16;23;13;2;2;1;0;0;0;19;2112;11664;9163;2800;4500;4000;0;0;0;76;57;34239;
170030105000001;1;19;91;64;15;13;5;1;0;1;77;2504;44710;49671;20228;26240;16099;5800;0;100000;286;209;265252;3;51;46;9;9;2;1;0;1;4;600;25650;36295;11950;18700;5788;5800;0;100000;126;122;204783;16;40;18;6;4;3;0;0;0;73;1904;19060;13376;8278;7540;10311;0;0;0;160;87;60469;19;91;64;15;13;5;1;0;1;77;2504;44710;49671;20228;26240;16099;5800;0;100000;286;209;265252;3;51;46;9;9;2;1;0;1;4;600;25650;36295;11950;18700;5788;5800;0;100000;126;122;204783;16;40;18;6;4;3;0;0;0;73;1904;19060;13376;8278;7540;10311;0;0;0;160;87;60469;
170030105000002;1;50;101;46;14;6;2;1;1;0;77;6288;48422;33231;19399;11186;8500;7000;8134;0;298;221;142160;3;27;15;5;2;2;1;0;0;6;600;13220;10575;6750;3400;8500;7000;0;0;61;55;50045;47;74;31;9;4;0;0;1;0;71;5688;35202;22656;12649;7786;0;0;8134;0;237;166;92115;50;98;46;14;6;2;1;1;0;76;6288;46892;33231;19399;11186;8500;7000;8134;0;294;218;140630;3;24;15;5;2;2;1;0;0;6;600;11690;10575;6750;3400;8500;7000;0;0;58;52;48515;47;74;31;9;4;0;0;1;0;70;5688;35202;22656;12649;7786;0;0;8134;0;236;166;92115;
170030105000003;8;28;34;13;1;0;1;0;1;0;24;3312;16915;10482;1530;0;4000;0;10000;0;102;78;46239;3;12;7;1;0;1;0;1;0;6;620;5740;5637;1530;0;4000;0;10000;0;31;25;27527;25;22;6;0;0;0;0;0;0;18;2692;11175;4845;0;0;0;0;0;0;71;53;18712;28;34;13;1;0;1;0;1;0;24;3312;16915;10482;1530;0;4000;0;10000;0;102;78;46239;3;12;7;1;0;1;0;1;0;6;620;5740;5637;1530;0;4000;0;10000;0;31;25;27527;25;22;6;0;0;0;0;0;0;18;2692;11175;4845;0;0;0;0;0;0;71;53;18712;
170030105000004;7;15;21;7;1;1;0;0;0;0;11;1734;10046;5359;1500;2000;0;0;0;0;56;45;20639;2;9;4;1;0;0;0;0;0;1;300;4380;3192;1500;0;0;0;0;0;17;16;9372;13;12;3;0;1;0;0;0;0;10;1434;5666;2167;0;2000;0;0;0;0;39;29;11267;15;21;7;1;1;0;0;0;0;11;1734;10046;5359;1500;2000;0;0;0;0;56;45;20639;2;9;4;1;0;0;0;0;0;1;300;4380;3192;1500;0;0;0;0;0;17;16;9372;13;12;3;0;1;0;0;0;0;10;1434;5666;2167;0;2000;0;0;0;0;39;29;11267;
170030105000005;8;33;33;9;1;0;0;0;0;1;20;4338;16048;6128;1110;0;0;0;0;15000;97;77;42624;8;17;7;1;0;0;0;0;1;4;1400;8098;4480;1110;0;0;0;0;15000;38;34;30088;25;16;2;0;0;0;0;0;0;16;2938;7950;1648;0;0;0;0;0;0;59;43;12536;33;33;9;1;0;0;0;0;1;20;4338;16048;6128;1110;0;0;0;0;15000;97;77;42624;8;17;7;1;0;0;0;0;1;4;1400;8098;4480;1110;0;0;0;0;15000;38;34;30088;25;16;2;0;0;0;0;0;0;16;2938;7950;1648;0;0;0;0;0;0;59;43;12536;
